,Mittelwert,Std.Abw.,Min,Max
Anbieter,412.6,25.744902408049636,379.0,447.0
Nachfrager,16837.2,338.5774652867494,16352.0,17233.0
Netzwerkeffekte,9417.492666666667,188.3922334356935,9140.523333333334,9615.546666666667
Neue Anbieter,0.8,1.3038404810405297,0.0,3.0
Neue Nachfrager,50.4,5.813776741499454,43.0,59.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.2,0.0,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,1044.0,1.5811388300841898,1042.0,1046.0
