,Mittelwert,Std.Abw.,Min,Max
Anbieter,420.2,36.23120202256613,361.0,458.0
Nachfrager,16309.4,590.0104236367355,15652.0,17235.0
Netzwerkeffekte,9136.976133333334,315.1478715795352,8785.236133333332,9632.7928
Neue Anbieter,3.0,1.5811388300841898,1.0,5.0
Neue Nachfrager,53.8,4.147288270665545,47.0,58.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.19859860370222832,0.0027360972649353712,0.19373828735576054,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,2054.0,1.5811388300841898,2052.0,2056.0
