,Mittelwert,Std.Abw.,Min,Max
Anbieter,396.6,33.60505914293263,358.0,429.0
Nachfrager,16491.6,341.94560971008235,16103.0,16913.0
Netzwerkeffekte,9223.596,190.46950564329202,8996.966666666667,9434.716666666667
Neue Anbieter,1.8,0.8366600265340756,1.0,3.0
Neue Nachfrager,50.8,8.67179335547152,40.0,64.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.19994170531298655,0.00013035088288912202,0.19970852656493282,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,44.0,1.5811388300841898,42.0,46.0
