,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4724.06,0,0,0,0,0.015,0.02
1,110,7791,4724.66,0,3,0,0,0.017592384947456,0.024798913364785527
2,110,7793,4725.26,0,2,0,0,0.018706752727659155,0.02686178386515286
3,111,7794,4725.82,1,1,0,0,0.01953367862518956,0.028392554110227848
4,111,7794,4726.193333333334,0,0,0,0,0.01953367862518956,0.028392554110227848
5,111,7794,4726.46,0,0,0,0,0.01953367862518956,0.028392554110227848
6,111,7795,4726.735,0,1,0,0,0.01999964559117679,0.029255132448687604
7,112,7799,4727.259999999999,1,4,0,0,0.021973823334110562,0.03290964678473329
8,112,7802,4727.86,0,3,0,0,0.023121948224731032,0.035035007020082755
9,113,7805,4728.550909090909,1,3,0,0,0.024437177714084622,0.03746970422059414
10,113,7808,4729.276666666667,0,3,0,0,0.025457081416521053,0.039357706815740946
11,113,7812,4730.075384615384,0,4,0,0,0.02675427795599132,0.041759022182166886
12,113,7817,4730.9742857142855,0,5,0,0,0.02829437112839122,0.04460997752168838
13,113,7822,4731.953333333334,0,5,0,0,0.02976135970691054,0.0473256047291186
14,114,7826,4732.985,1,4,0,0,0.031076133941501227,0.049759459181268784
15,114,7829,4734.001176470589,0,3,0,0,0.03189739052576665,0.05127973463342221
16,114,7833,4735.037777777778,0,4,0,0,0.03296656118363439,0.05325893813262211
17,114,7839,4736.154736842105,0,6,0,0,0.03452126008616606,0.05613693098198588
18,114,7849,4737.46,0,10,0,0,0.03700154056612412,0.0607283212982149
19,114,7855,4738.81238095238,0,6,0,0,0.03843322889667733,0.06337860217970265
20,114,7859,4740.150909090909,0,4,0,0,0.03936712695690167,0.06510739476776174
21,114,7866,4741.555652173913,0,7,0,0,0.040965727238431254,0.06806665599303255
22,115,7876,4743.11,1,10,0,0,0.04332403539621386,0.07243225630550611
23,117,7884,4744.764,2,8,0,0,0.045320376831282316,0.07612779913097521
24,117,7891,4746.452307692308,0,7,0,0,0.04678128845577835,0.07883217693815407
25,117,7895,4748.104444444445,0,4,0,0,0.04760326540925481,0.08035378590732158
26,117,7904,4749.831428571429,0,9,0,0,0.04942117837171366,0.08371902949127381
