,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4719.8,0,0,0,0,0.015,0.02
1,110,7789,4720.0,0,1,0,0,0.016201474652077174,0.02222411905722657
2,110,7789,4720.1,0,0,0,0,0.016201474652077174,0.02222411905722657
3,110,7791,4720.4,0,2,0,0,0.017592384947456,0.024798913364785527
4,110,7792,4720.7,0,1,0,0,0.01817071061601957,0.025869485381025542
5,110,7793,4721.0,0,1,0,0,0.018706752727659155,0.02686178386515286
6,111,7795,4721.425,1,2,0,0,0.01999964559117679,0.029255132448687604
7,111,7800,4722.0888888888885,0,5,0,0,0.0221052318205086,0.03315290461657676
8,112,7808,4723.14,1,8,0,0,0.025234242804282443,0.03894519740215577
9,112,7810,4724.109090909091,0,2,0,0,0.02589678450792652,0.040171666580456414
10,112,7812,4725.016666666666,0,2,0,0,0.026542483145749862,0.04136695658771983
11,112,7815,4725.923076923077,0,3,0,0,0.027483115317003825,0.04310821507728467
12,112,7818,4726.828571428572,0,3,0,0,0.028394275639409508,0.04479491652683053
13,112,7819,4727.653333333334,0,1,0,0,0.028692096409700198,0.04534622973988604
14,112,7826,4728.6375,0,7,0,0,0.030705332653361932,0.04907304752042436
15,112,7829,4729.611764705882,0,3,0,0,0.031534548453407474,0.050608056736179505
16,112,7831,4730.544444444445,0,2,0,0,0.03207756248904782,0.051613261351126
17,112,7838,4731.599999999999,0,7,0,0,0.033923185167656016,0.05502979998957774
18,112,7841,4732.64,0,3,0,0,0.03469069555997171,0.056450582764493176
19,112,7844,4733.666666666667,0,3,0,0,0.035445589989053866,0.05784801140188732
20,113,7851,4734.809090909091,1,7,0,0,0.03732307212390523,0.061323526918178994
21,113,7855,4735.95652173913,0,4,0,0,0.038276033645441215,0.06308760897949214
22,114,7857,4737.075,1,2,0,0,0.03890213287760062,0.06424661739598532
23,115,7862,4738.24,1,5,0,0,0.04020991166364642,0.06666752216967524
24,115,7865,4739.384615384615,0,3,0,0,0.04089057312516775,0.06792753387734801
25,115,7874,4740.644444444444,0,9,0,0,0.042888431558616685,0.07162588490605466
26,115,7878,4741.900000000001,0,4,0,0,0.043756786720393126,0.07323334725277089
27,115,7885,4743.213793103449,0,7,0,0,0.04525006285515685,0.07599763687243763
28,115,7888,4744.5,0,3,0,0,0.04588040021004178,0.07716449072246068
29,115,7892,4745.7806451612905,0,4,0,0,0.046712380569763436,0.07870461757415584
30,115,7897,4747.075,0,5,0,0,0.047535108639220044,0.08022761697745588
31,116,7900,4748.357575757575,1,3,0,0,0.048281516037566016,0.08160933478252662
32,116,7902,4749.599999999999,0,2,0,0,0.048281516037566016,0.08160933478252662
33,116,7907,4750.857142857143,0,5,0,0,0.049087683257651726,0.08310167744194447
34,116,7913,4752.144444444444,0,6,0,0,0.050084055745326574,0.08494612004762296
35,116,7920,4753.475675675676,0,7,0,0,0.050937862699280356,0.08652665136736253
36,117,7925,4754.8263157894735,1,5,0,0,0.05106844423390053,0.08676837838105234
37,117,7931,4756.2,0,6,0,0,0.05054489056362356,0.08579919797135267
38,117,7940,4757.64,0,9,0,0,0.05191235282692428,0.08833058627370857
39,117,7945,4759.082926829268,0,5,0,0,0.05249177914849924,0.08940319577224903
