,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4726.7,0,0,0,0,0.015,0.02
1,109,7788,4726.566666666667,0,0,1,0,0.015,0.02
2,109,7789,4726.65,0,1,0,0,0.015556839114885725,0.02103079701688702
3,109,7789,4726.7,0,0,0,0,0.015556839114885725,0.02103079701688702
4,109,7791,4726.933333333333,0,2,0,0,0.017174194348299855,0.024024776615809453
5,109,7793,4727.271428571429,0,2,0,0,0.018353436454032052,0.02620773972361084
6,110,7796,4727.799999999999,1,3,0,0,0.020150834592028103,0.029535007132231776
7,110,7796,4728.211111111111,0,0,0,0,0.020150834592028103,0.029535007132231776
8,110,7799,4728.719999999999,0,3,0,0,0.02143708868292111,0.03191606630068356
9,110,7800,4729.190909090909,0,1,0,0,0.02184134489187535,0.0326644082958999
10,110,7803,4729.733333333333,0,3,0,0,0.022997946488932188,0.03480546025166565
11,110,7804,4730.238461538461,0,1,0,0,0.023367555481219392,0.03548966478485914
12,110,7807,4730.8,0,3,0,0,0.024437177714084622,0.03746970422059414
13,110,7811,4731.446666666667,0,4,0,0,0.025787581702843072,0.03996951496663019
14,110,7814,4732.125,0,3,0,0,0.02675427795599132,0.041759022182166886
15,110,7819,4732.9,0,5,0,0,0.02829437112839122,0.04460997752168838
16,111,7824,4733.777777777777,1,5,0,0,0.02995218335612923,0.04767884939729621
17,111,7830,4734.752631578946,0,6,0,0,0.031625576485339535,0.05077656397868512
18,111,7832,4735.69,0,2,0,0,0.032167343355171296,0.051779459893038046
19,111,7840,4736.766666666666,0,8,0,0,0.03426591746059347,0.05566425151373705
20,111,7845,4737.881818181818,0,5,0,0,0.035528726401922006,0.058001910012973126
21,111,7857,4739.21304347826,0,12,0,0,0.03843322889667697,0.063378602179702
22,111,7862,4740.5583333333325,0,5,0,0,0.03959820107680888,0.06553514940480627
23,111,7871,4742.012,0,9,0,0,0.041637983128036904,0.06931110766150493
24,111,7875,4743.446153846153,0,4,0,0,0.042523189380349005,0.07094976403427125
25,111,7877,4744.8185185185175,0,2,0,0,0.04296123377235769,0.07176065328482131
26,111,7885,4746.2642857142855,0,8,0,0,0.04468500105667343,0.07495161837146891
27,111,7889,4747.693103448275,0,4,0,0,0.045530901072215114,0.07651751270125928
28,111,7895,4749.1466666666665,0,6,0,0,0.04678128845577835,0.07883217693815407
29,111,7900,4750.603225806451,0,5,0,0,0.04780737060933561,0.0807316168206862
30,111,7903,4752.025,0,3,0,0,0.04855115947887709,0.08210848731598978
31,112,7910,4753.499999999999,1,7,0,0,0.049885760167923766,0.0845790436620306
32,112,7918,4755.029411764705,0,8,0,0,0.05145898044918072,0.087491322504293
33,112,7926,4756.608571428571,0,8,0,0,0.052620018933450426,0.08964058783800045
34,112,7932,4758.2,0,6,0,0,0.053385569793450376,0.09105774320957521
