,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4718.0,0,0,0,0,0.015,0.02
1,111,7789,4718.333333333333,1,1,0,0,0.016717942949857654,0.023180183325050303
2,111,7791,4718.799999999999,0,2,0,0,0.017983352797698006,0.025522656512410664
3,111,7792,4719.199999999999,0,1,0,0,0.01853198913910148,0.026538268901979536
4,111,7794,4719.666666666666,0,2,0,0,0.01953367862518956,0.028392554110227848
5,111,7799,4720.428571428571,0,5,0,0,0.02170775768517797,0.0324171173091915
6,111,7804,4721.374999999999,0,5,0,0,0.023610110745691276,0.03593867283110454
7,111,7808,4722.377777777777,0,4,0,0,0.025009304861783148,0.03852880179718725
8,111,7811,4723.359999999999,0,3,0,0,0.02600552028420898,0.04037295365032013
9,111,7815,4724.381818181817,0,4,0,0,0.027276777902065168,0.042726251982191044
10,111,7818,4725.383333333332,0,3,0,0,0.02819414381723811,0.04442444096259009
11,111,7820,4726.323076923076,0,2,0,0,0.028790753234108877,0.045528859080349815
12,111,7824,4727.3,0,4,0,0,0.02995218335612923,0.04767884939729621
13,111,7825,4728.186666666666,0,1,0,0,0.03023647996424874,0.048205127253371075
14,111,7830,4729.15,0,5,0,0,0.031625576485339535,0.05077656397868512
15,111,7837,4730.247058823528,0,7,0,0,0.03349098823868967,0.054229735315281885
16,111,7842,4731.388888888888,0,5,0,0,0.034775179218277566,0.05660697533934894
17,111,7844,4732.473684210526,0,2,0,0,0.03527888066045479,0.05753940614407882
18,111,7850,4733.629999999999,0,6,0,0,0.03675906497113227,0.060279460732741166
19,111,7857,4734.87619047619,0,7,0,0,0.03843322889667697,0.063378602179702
20,111,7863,4736.172727272727,0,6,0,0,0.0398283486047601,0.0659611887740139
21,112,7865,4737.426086956521,1,2,0,0,0.04043766467540405,0.06708912891178599
22,112,7869,4738.674999999999,0,4,0,0,0.04134011105840187,0.068759699485273
23,112,7872,4739.895999999999,0,3,0,0,0.04200832868204217,0.0699966756865966
24,112,7878,4741.161538461538,0,6,0,0,0.04332403539621418,0.07243225630550672
25,113,7881,4742.414814814814,1,3,0,0,0.044115291090484454,0.0738969953790469
26,113,7890,4743.771428571427,0,9,0,0,0.046019725496708616,0.07742240380010534
27,113,7895,4745.137931034482,0,5,0,0,0.047056282840989,0.0793412349126356
28,113,7903,4746.573333333333,0,8,0,0,0.04868563325095395,0.0823574194750297
29,114,7913,4748.122580645161,1,10,0,0,0.05080707750125921,0.08628454734059916
30,114,7923,4749.7625,0,10,0,0,0.05242758873127502,0.08928436918694163
31,115,7931,4751.460606060606,1,8,0,0,0.053702620615820276,0.09164465428166745
32,115,7939,4753.2,0,8,0,0,0.055022311993001755,0.09408761114020163
33,115,7944,4754.925714285714,0,5,0,0,0.055582198338573585,0.09512404906164622
34,116,7957,4756.783333333333,1,13,0,0,0.05718144834509661,0.0980845130303435
35,116,7962,4758.621621621621,0,5,0,0,0.05718144834509661,0.0980845130303435
36,116,7971,4760.505263157895,0,9,0,0,0.05809234383248356,0.09977072422850441
37,116,7979,4762.415384615384,0,8,0,0,0.05899506034921467,0.10144179486213264
38,116,7981,4764.259999999999,0,2,0,0,0.05863493497065805,0.10077514599354936
39,117,7983,4766.053658536585,1,2,0,0,0.058574790322600476,0.10066380876499963
40,117,7987,4767.819047619047,0,4,0,0,0.05893512739756576,0.1013308495170205
41,118,7993,4769.595348837209,1,6,0,0,0.05941361676133966,0.10221660878860385
42,118,8003,4771.427272727273,0,10,0,0,0.061012531250107624,0.10517645166102435
43,118,8008,4773.244444444444,0,5,0,0,0.061012531250107624,0.10517645166102435
44,119,8016,4775.095652173913,1,8,0,0,0.06130600628574059,0.10571972023389273
45,119,8022,4776.944680851063,0,6,0,0,0.06148170912141139,0.1060449738915946
46,120,8028,4778.799999999999,1,6,0,0,0.06229792991771148,0.10755592730606504
47,121,8033,4780.648979591837,1,5,0,0,0.06223982944341409,0.10744837416551785
48,122,8039,4782.504,1,6,0,0,0.062181698328082916,0.10734076430358495
49,122,8050,4784.415686274509,0,11,0,0,0.06305047915871653,0.1089490146304851
50,123,8054,4786.3076923076915,1,4,0,0,0.06339610840153684,0.10958882886573545
51,123,8066,4788.264150943396,0,12,0,0,0.06476821524455376,0.11212881501761049
52,124,8077,4790.277777777777,1,11,0,0,0.06623660382505905,0.11484703384950137
53,124,8085,4792.305454545454,0,8,0,0,0.06657289783586957,0.11546956709810695
54,124,8092,4794.335714285714,0,7,0,0,0.06713131073001194,0.11650327742858779
55,124,8104,4796.421052631579,0,12,0,0,0.06763169904354299,0.11742957510970309
56,124,8117,4798.568965517241,0,13,0,0,0.06895623546195184,0.11988150090362695
57,125,8127,4800.752542372881,1,10,0,0,0.0693946519475233,0.120693078958042
58,125,8134,4802.933333333333,0,7,0,0,0.06879143554006589,0.11957643025876374
59,125,8142,4806.573333333333,0,8,0,0,0.06846118445081362,0.11896508341094976
60,125,8154,4810.333333333333,0,12,0,0,0.06901112083318095,0.11998310238136317
61,125,8168,4814.216666666666,0,14,0,0,0.069995014910545,0.12180444548167282
62,125,8175,4818.15,0,7,0,0,0.07032130360351907,0.12240845730909387
63,125,8190,4822.223333333332,0,15,0,0,0.07053837178812213,0.12281028475111151
64,126,8207,4826.453333333333,1,17,0,0,0.07258277636132476,0.12659480002497106
65,125,8219,4830.746666666667,0,12,1,0,0.07295597473287513,0.12728564906523676
66,126,8228,4835.086666666666,1,9,0,0,0.07322191544892845,0.12777794727031672
67,127,8236,4839.473333333332,1,8,0,0,0.07428052581067135,0.12973760199599854
68,127,8245,4843.919999999999,0,9,0,0,0.07527875360352182,0.13158547906414436
69,127,8255,4848.426666666666,0,10,0,0,0.07621795004749836,0.13332407979610011
70,129,8263,4852.996666666667,2,8,0,0,0.07663339101333347,0.13409312654017336
71,130,8274,4857.663333333333,1,11,0,0,0.07689243298074737,0.13457265407356797
72,131,8287,4862.426666666666,1,13,0,0,0.07823205429354148,0.137052504385933
73,131,8300,4867.3099999999995,0,13,0,0,0.07889731493233568,0.13828400674198094
74,132,8315,4872.3,1,15,0,0,0.08037079097996915,0.1410116432778352
75,133,8333,4877.406666666666,1,18,0,0,0.08218038229106267,0.1443614821727603
76,133,8346,4882.593333333333,0,13,0,0,0.08327601033449544,0.14638966246505175
77,134,8357,4887.876666666666,1,11,0,0,0.08401872509928011,0.14776454462306088
78,134,8369,4893.219999999999,0,12,0,0,0.08416685671617885,0.14803875960675006
79,134,8378,4898.583333333333,0,9,0,0,0.08480719758156505,0.14922413153229516
80,135,8392,4904.033333333334,1,14,0,0,0.08520000443148107,0.1499512789583328
81,136,8402,4909.5633333333335,1,10,0,0,0.0850528125133749,0.1496788035053021
82,136,8417,4915.203333333333,0,15,0,0,0.0860803986259514,0.15158102745315777
83,136,8432,4920.963333333333,0,15,0,0,0.08724704416298643,0.15374067232578323
84,137,8452,4926.869999999999,1,20,0,0,0.08850186839428234,0.15606354986753568
85,137,8462,4932.839999999999,0,10,0,0,0.08806855236856682,0.15526141356867212
86,138,8471,4938.816666666667,1,9,0,0,0.08792386893807545,0.15499358172181255
87,138,8482,4944.853333333333,0,11,0,0,0.08850186839428234,0.15606354986753568
88,139,8498,4950.9766666666665,1,16,0,0,0.08974757754063217,0.15836955394957614
89,139,8509,4957.103333333333,0,11,0,0,0.08960429794325367,0.15810432081919726
90,139,8525,4963.289999999999,0,16,0,0,0.08989073952953265,0.15863456936811496
91,139,8536,4969.5,0,11,0,0,0.09046221970503301,0.15969246929713973
92,140,8552,4975.796666666666,1,16,0,0,0.09069978929860749,0.16013224808029847
93,142,8564,4982.176666666666,2,12,0,0,0.0900814399555633,0.1589875859307388
94,143,8582,4988.606666666666,1,18,0,0,0.09112661167647297,0.16092236361292345
95,144,8594,4995.113333333333,1,12,0,0,0.09155241089636132,0.16171058511877762
96,145,8609,5001.686666666666,1,15,0,0,0.09254202233418203,0.16354251195493785
97,145,8623,5008.319999999999,0,14,0,0,0.09324558424554896,0.1648449160067459
98,145,8635,5015.053333333333,0,12,0,0,0.09352625024599127,0.1653644730354523
99,147,8649,5021.913333333333,2,14,0,0,0.09436568395063467,0.16691839720401294
100,148,8664,5028.889999999999,1,15,0,0,0.09492319740482495,0.16795044252929806
101,149,8671,5035.876666666666,1,7,0,0,0.09408629728438479,0.16640120842465164
102,149,8684,5042.8933333333325,0,13,0,0,0.09408629728438479,0.16640120842465164
103,150,8699,5050.016666666666,1,15,0,0,0.0940862972843846,0.16640120842465123
104,150,8713,5057.193333333333,0,14,0,0,0.09343274274928885,0.16519137591263755
