,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4718.348,0,0,0,0,0.015,0.02
1,110,7789,4718.548,0,1,0,0,0.016201474652077174,0.02222411905722657
2,110,7789,4718.647999999999,0,0,0,0,0.016201474652077174,0.02222411905722657
3,110,7791,4718.947999999999,0,2,0,0,0.017592384947456,0.024798913364785527
4,110,7791,4719.148,0,0,0,0,0.017592384947456,0.024798913364785527
5,110,7792,4719.376571428571,0,1,0,0,0.01817071061601957,0.025869485381025542
6,110,7794,4719.697999999999,0,2,0,0,0.019211341771698684,0.0277958577609074
7,111,7798,4720.2591111111105,1,4,0,0,0.021299915426653555,0.031662136970689765
8,111,7804,4721.067999999999,0,6,0,0,0.023610110745691276,0.03593867283110454
9,111,7806,4721.838909090909,0,2,0,0,0.024320975219617753,0.03725459507784676
10,111,7809,4722.631333333333,0,3,0,0,0.025345919243085928,0.03915192810209739
11,111,7810,4723.347999999999,0,1,0,0,0.025677903050096068,0.03976648248373609
12,111,7816,4724.219428571428,0,6,0,0,0.027585736946281744,0.04329818389682327
13,111,7819,4725.094666666666,0,3,0,0,0.02849386180760132,0.04497926622919724
14,111,7825,4726.085499999999,0,6,0,0,0.03023647996424874,0.048205127253371075
15,111,7831,4727.171529411764,0,6,0,0,0.031897390525766234,0.05127973463342146
16,111,7834,4728.236888888888,0,3,0,0,0.03270187865828124,0.052768969036948665
17,112,7838,4729.33747368421,1,4,0,0,0.033923185167656016,0.05502979998957774
18,113,7842,4730.467999999999,1,4,0,0,0.035111581890774804,0.05722970973787289
19,113,7845,4731.576571428571,0,3,0,0,0.03585984230391804,0.058614857765559455
20,113,7848,4732.666181818181,0,3,0,0,0.036596769614170216,0.05997902643252963
21,113,7854,4733.81756521739,0,6,0,0,0.038039383385739645,0.06264953202831393
22,114,7860,4735.039666666667,1,6,0,0,0.03959820107680923,0.06553514940480692
23,114,7868,4736.355999999999,0,8,0,0,0.04141471389292159,0.06889780109706443
24,114,7875,4737.732615384614,0,7,0,0,0.042961233772358026,0.07176065328482192
25,114,7887,4739.273925925925,0,12,0,0,0.045530901072215434,0.07651751270125987
26,114,7893,4740.8337142857135,0,6,0,0,0.04678128845577866,0.07883217693815464
27,115,7902,4742.485931034482,1,9,0,0,0.048752783902797504,0.08248172592145551
28,116,7906,4744.121333333333,1,4,0,0,0.04968698034633407,0.0842110708640815
29,116,7909,4745.70929032258,0,3,0,0,0.05028187214927059,0.08531230940757598
30,116,7916,4747.32925,0,7,0,0,0.05145898044918043,0.08749132250429245
31,116,7922,4748.960121212121,0,6,0,0,0.052620018933450426,0.08964058783800045
32,117,7931,4750.665647058823,1,9,0,0,0.05408161887182753,0.09234623982272239
33,117,7938,4752.393714285713,0,7,0,0,0.05539593941041901,0.09477925441202878
34,117,7950,4754.225777777777,0,12,0,0,0.05742517182091155,0.09853568362001541
35,117,7958,4756.08854054054,0,8,0,0,0.058514610075435694,0.10055240563688836
36,117,7967,4757.995368421052,0,9,0,0,0.05929420231443101,0.10199555381535201
37,118,7974,4759.922358974359,1,7,0,0,0.059592480940336354,0.10254771459135548
38,118,7980,4761.842999999999,0,6,0,0,0.060304890728207064,0.10386649745790923
39,119,7989,4763.811414634146,1,9,0,0,0.06148170912141139,0.1060449738915946
40,120,7999,4765.838476190476,1,10,0,0,0.0631658069564083,0.10916250457155942
41,120,8011,4767.938697674418,0,12,0,0,0.06419849899080671,0.11107418038592694
42,121,8023,4770.116181818181,1,12,0,0,0.06584306099510218,0.11411852400834184
43,122,8031,4772.312444444444,1,8,0,0,0.06629271839348083,0.11495091076508936
44,122,8040,4774.530608695652,0,9,0,0,0.06679657247810043,0.11588362413505228
45,122,8046,4776.7309787234035,0,6,0,0,0.06729833468278801,0.11681246510536511
46,122,8057,4778.977166666667,0,11,0,0,0.06835090644008442,0.11876094142191
47,124,8065,4781.245959183673,2,8,0,0,0.0691208199427035,0.12018617273297487
48,126,8075,4783.5599999999995,2,10,0,0,0.07048413887542251,0.12270989107700814
49,126,8082,4785.865647058823,0,7,0,0,0.07113344546564271,0.12391185997314329
50,126,8087,4788.140307692307,0,5,0,0,0.0709714217960904,0.12361192860917311
51,126,8094,4790.40837735849,0,7,0,0,0.07102545199456264,0.123711947027273
52,126,8105,4792.714666666666,0,11,0,0,0.07151072405676534,0.12461026214330038
53,126,8117,4795.068,0,12,0,0,0.07231557040235896,0.1261001596557274
54,126,8129,4797.465857142857,0,12,0,0,0.07231557040235896,0.1261001596557274
55,127,8140,4799.902385964912,1,11,0,0,0.0732219154489282,0.12777794727031627
56,127,8154,4802.39972413793,0,14,0,0,0.07391094052049463,0.1290534413391494
57,128,8165,4804.931050847457,1,11,0,0,0.07501675300238336,0.13110047463314
58,128,8176,4807.487999999999,0,11,0,0,0.07626994612553442,0.1334203327364856
59,128,8185,4811.5779999999995,0,9,0,0,0.07658152664312223,0.13399711741174236
60,129,8197,4815.794666666667,1,12,0,0,0.07761529435332315,0.13591078447165772
61,129,8205,4820.081333333333,0,8,0,0,0.07735754210045967,0.13543364440328784
62,131,8216,4824.491333333333,2,11,0,0,0.07818075633847008,0.13695754378125125
63,132,8227,4828.997999999999,1,11,0,0,0.07812944052717086,0.13686255012187581
64,132,8233,4833.564666666666,0,6,0,0,0.07782116916345697,0.13629189121230337
65,133,8237,4838.168,1,4,0,0,0.07715101112780637,0.13505132300233977
66,134,8252,4842.907999999999,1,15,0,0,0.07838584128996301,0.13733718836898953
67,134,8256,4847.641333333333,0,4,0,0,0.07807810683267781,0.13676752335788836
68,135,8266,4852.421333333333,1,10,0,0,0.07823205429354148,0.137052504385933
69,136,8278,4857.308,1,12,0,0,0.07853946854421485,0.1376215766440981
70,136,8290,4862.2846666666655,0,12,0,0,0.07853946854421485,0.1376215766440981
71,136,8299,4867.341333333333,0,9,0,0,0.0779753856858884,0.13657737031574177
72,137,8311,4872.464666666666,1,12,0,0,0.07859064225471618,0.13771630725248687
73,137,8318,4877.628,0,7,0,0,0.0782833344192781,0.13714743198570434
74,137,8331,4882.861333333333,0,13,0,0,0.07935614536258452,0.1391333742273354
75,137,8346,4888.184666666666,0,15,0,0,0.07996574821357816,0.1402618452407609
76,137,8358,4893.598,0,12,0,0,0.08037079097996915,0.1410116432778352
77,137,8367,4899.054666666666,0,9,0,0,0.08001643764806515,0.14035567937787538
78,137,8376,4904.554666666666,0,9,0,0,0.08032021955259207,0.14091802759049124
79,137,8381,4910.074666666666,0,5,0,0,0.08032021955259207,0.14091802759049124
80,137,8388,4915.634666666666,0,7,0,0,0.08032021955259229,0.14091802759049168
81,137,8395,4921.2046666666665,0,7,0,0,0.07971204621067857,0.13979220282381102
82,137,8405,4926.808,0,10,0,0,0.07940703990497472,0.13922758805152485
83,138,8417,4932.458,1,12,0,0,0.07950877732499684,0.13941592006028844
84,138,8433,4938.197999999999,0,16,0,0,0.08016840446166931,0.1406369939154885
85,139,8442,4943.914666666666,1,9,0,0,0.07950877732499684,0.13941592006028844
86,139,8456,4949.711333333334,0,14,0,0,0.07986431845251715,0.14007408275725305
87,139,8463,4955.481333333332,0,7,0,0,0.07925430448647723,0.1389448507050428
88,139,8477,4961.344666666667,0,14,0,0,0.08001643764806515,0.14035567937787538
89,139,8495,4967.357999999999,0,18,0,0,0.08082518244361632,0.14185279353597133
90,140,8509,4973.448,1,14,0,0,0.08183016722518334,0.14371317885582938
91,140,8514,4979.528,0,5,0,0,0.08072432299937757,0.1416660867988422
92,140,8518,4985.551333333333,0,4,0,0,0.07955962025306017,0.13951003833821912
93,140,8528,4991.604666666666,0,10,0,0,0.08016840446166931,0.1406369939154885
94,142,8543,4997.7013333333325,2,15,0,0,0.08193030877749327,0.14389855666178447
95,143,8558,5003.874666666667,1,15,0,0,0.08193030877749304,0.14389855666178406
96,143,8574,5010.1179999999995,0,16,0,0,0.08372205217842608,0.14721535626033203
97,143,8585,5016.394666666666,0,11,0,0,0.08377153573414033,0.14730695812566733
98,143,8594,5022.7013333333325,0,9,0,0,0.08322637310187782,0.14629777611953296
99,144,8605,5029.028,1,11,0,0,0.08317672038745687,0.14620586111475467
100,145,8624,5035.444666666666,1,19,0,0,0.08475803016152121,0.14913311488394135
101,145,8638,5041.881333333334,0,14,0,0,0.08495461089702752,0.14949701682674746
102,145,8651,5048.321333333332,0,13,0,0,0.08583631557462046,0.15112919123249957
103,145,8659,5054.754666666666,0,8,0,0,0.08510189120110592,0.14976965589615152
104,145,8674,5061.2480000000005,0,15,0,0,0.08510189120110592,0.14976965589615152
105,145,8686,5067.801333333333,0,12,0,0,0.08510189120110569,0.1497696558961511
106,146,8698,5074.371333333333,1,12,0,0,0.08564078933757348,0.1507672413326393
107,146,8706,5080.928,0,8,0,0,0.08549399233274396,0.1504954969263627
108,146,8720,5087.511333333333,0,14,0,0,0.08681050474523794,0.15293256901992783
109,146,8731,5094.134666666666,0,11,0,0,0.0873923061151017,0.1540095751074032
110,146,8743,5100.8279999999995,0,12,0,0,0.08811675289496534,0.1553506403444064
