,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4731.7028,0,0,0,0,0.015,0.02
1,110,7791,4732.3028,0,3,0,0,0.017592384947456,0.024798913364785527
2,110,7791,4732.6028,0,0,0,0,0.017592384947456,0.024798913364785527
3,110,7792,4732.9028,0,1,0,0,0.01817071061601957,0.025869485381025542
4,110,7792,4733.1028,0,0,0,0,0.01817071061601957,0.025869485381025542
5,110,7793,4733.3313714285705,0,1,0,0,0.018706752727659155,0.02686178386515286
6,110,7794,4733.5778,0,1,0,0,0.019211341771698684,0.0277958577609074
7,110,7795,4733.836133333333,0,1,0,0,0.019691192354021687,0.028684136862693478
8,110,7796,4734.1028,0,1,0,0,0.020150834592028103,0.029535007132231776
9,110,7799,4734.4846181818175,0,3,0,0,0.02143708868292111,0.03191606630068356
10,110,7804,4735.0527999999995,0,5,0,0,0.023367555481219392,0.03548966478485914
11,110,7807,4735.67203076923,0,3,0,0,0.024437177714084622,0.03746970422059414
12,110,7811,4736.374228571428,0,4,0,0,0.025787581702843072,0.03996951496663019
13,110,7816,4737.1828,0,5,0,0,0.02738013084417786,0.04291757457711709
14,111,7821,4738.1028,1,5,0,0,0.029084930102901953,0.046073426857078825
15,111,7827,4739.126329411764,0,6,0,0,0.030798381880865686,0.04924529631468191
16,111,7828,4740.069466666666,0,1,0,0,0.031076133941501227,0.049759459181268784
17,111,7833,4741.071221052632,0,5,0,0,0.03243548897071617,0.052275839714796296
18,111,7836,4742.0628,0,3,0,0,0.033229582966396526,0.053745832931855364
19,111,7839,4743.045657142857,0,3,0,0,0.03400911610022367,0.055188871697331665
20,111,7843,4744.048254545454,0,4,0,0,0.035027708619372655,0.05707444708543577
21,111,7850,4745.14627826087,0,7,0,0,0.03675906497113227,0.060279460732741166
22,111,7855,4746.277799999999,0,5,0,0,0.03796026842428364,0.06250307775798718
23,111,7859,4747.4148,0,4,0,0,0.03890213287760026,0.06424661739598467
24,112,7862,4748.548953846153,1,3,0,0,0.03975173472598996,0.06581936440216708
25,112,7870,4749.776874074074,0,8,0,0,0.041563649459306434,0.06917350431803766
26,112,7880,4751.131371428571,0,10,0,0,0.043756786720393126,0.07323334725277089
27,113,7889,4752.592455172414,1,9,0,0,0.04581063648654026,0.07703534706830654
28,113,7893,4754.036133333332,0,4,0,0,0.046643408453819854,0.07857693931043039
29,113,7901,4755.541509677419,0,8,0,0,0.04828151603756572,0.08160933478252605
