,Mittelwert,Std.Abw.,Min,Max
Anbieter,413.6666666666667,13.012814197295423,401.0,427.0
Nachfrager,16123.666666666666,273.0940009105534,15964.0,16439.0
Netzwerkeffekte,9009.605555555556,127.92644094397662,8935.036666666665,9157.32
Neue Anbieter,1.3333333333333333,1.1547005383792517,0.0,2.0
Neue Nachfrager,49.333333333333336,5.686240703077327,43.0,54.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,10043.0,1.0,10042.0,10044.0
