,Mittelwert,Std.Abw.,Min,Max
Anbieter,394.0,59.19459434779497,326.0,434.0
Nachfrager,16192.333333333334,731.5615717992118,15371.0,16774.0
Netzwerkeffekte,9070.660577777777,414.68657403089543,8600.7028,9385.136133333332
Neue Anbieter,3.0,2.6457513110645907,1.0,6.0
Neue Nachfrager,48.333333333333336,11.015141094572202,41.0,61.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.19833924110676052,0.0028765187822126135,0.1950177233202816,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,12067.0,1.0,12066.0,12068.0
