,Mittelwert,Std.Abw.,Min,Max
Anbieter,384.3333333333333,19.655363983740756,362.0,399.0
Nachfrager,16408.666666666668,453.25967538854957,15987.0,16888.0
Netzwerkeffekte,9187.896133333334,262.8137331098038,8934.376133333333,9459.109466666667
Neue Anbieter,1.6666666666666667,2.0816659994661326,0.0,4.0
Neue Nachfrager,46.333333333333336,5.507570547286102,41.0,52.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,12043.0,1.0,12042.0,12044.0
