,Mittelwert,Std.Abw.,Min,Max
Anbieter,401.3333333333333,16.502525059315417,383.0,415.0
Nachfrager,16641.666666666668,375.7450376696056,16220.0,16941.0
Netzwerkeffekte,9329.496133333332,223.15814708657027,9082.662799999998,9516.979466666666
Neue Anbieter,2.0,2.6457513110645907,0.0,5.0
Neue Nachfrager,52.333333333333336,3.0550504633038935,49.0,55.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,12073.0,1.0,12072.0,12074.0
