,Mittelwert,Std.Abw.,Min,Max
Anbieter,417.3333333333333,38.37099599089569,389.0,461.0
Nachfrager,16666.0,470.0180847584484,16134.0,17025.0
Netzwerkeffekte,9349.0528,245.3032360841034,9070.796133333333,9534.046133333333
Neue Anbieter,1.6666666666666667,0.5773502691896257,1.0,2.0
Neue Nachfrager,47.666666666666664,3.511884584284246,44.0,51.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.19935103357281905,0.0011240428242838515,0.19805310071845716,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,12064.0,1.0,12063.0,12065.0
