,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4743.53,0,0,0,0,0.015,0.02
1,110,7790,4743.929999999999,0,2,0,0,0.016951801330622955,0.023613092068029626
2,110,7793,4744.58,0,3,0,0,0.018706752727659155,0.02686178386515286
3,110,7797,4745.45,0,4,0,0,0.02059350936299568,0.03035446794445968
4,111,7798,4746.196666666666,1,1,0,0,0.021299915426653555,0.031662136970689765
5,111,7801,4746.987142857142,0,3,0,0,0.022493391686713278,0.03387144974292112
6,111,7803,4747.73,0,2,0,0,0.023245143812130182,0.03526306148067996
7,111,7804,4748.374444444444,0,1,0,0,0.023610110745691276,0.03593867283110454
8,111,7807,4749.07,0,3,0,0,0.024667766277954757,0.03789656001684038
9,111,7809,4749.748181818181,0,2,0,0,0.025345919243085928,0.03915192810209739
10,111,7816,4750.663333333333,0,7,0,0,0.027585736946281744,0.04329818389682327
11,111,7818,4751.53,0,2,0,0,0.02819414381723811,0.04442444096259009
12,111,7823,4752.487142857142,0,5,0,0,0.029665550808691196,0.047148247349157964
13,111,7824,4753.356666666666,0,1,0,0,0.02995218335612923,0.04767884939729621
14,111,7827,4754.23,0,3,0,0,0.030798381880865686,0.04924529631468191
15,111,7830,4755.1064705882345,0,3,0,0,0.031625576485339535,0.05077656397868512
16,111,7836,4756.0855555555545,0,6,0,0,0.033229582966396526,0.053745832931855364
17,111,7839,4757.056315789472,0,3,0,0,0.03400911610022367,0.055188871697331665
18,111,7843,4758.049999999999,0,4,0,0,0.035027708619372655,0.05707444708543577
19,111,7845,4759.00619047619,0,2,0,0,0.035528726401922006,0.058001910012973126
20,111,7848,4759.957272727272,0,3,0,0,0.036270598306895566,0.059375231904550324
21,111,7852,4760.929999999999,0,4,0,0,0.037242876239839184,0.06117507168963625
22,112,7861,4762.063333333333,1,9,0,0,0.03952128012357772,0.06539275658970553
23,112,7866,4763.225999999999,0,5,0,0,0.04066454708256851,0.06750912402749777
24,112,7870,4764.3915384615375,0,4,0,0,0.041563649459306434,0.06917350431803766
25,112,7870,4765.4707407407395,0,0,0,0,0.041563649459306434,0.06917350431803766
26,112,7876,4766.601428571427,0,6,0,0,0.042888431558616685,0.07162588490605466
27,112,7885,4767.840344827585,0,9,0,0,0.044826695851804654,0.07521391778295987
28,112,7893,4769.156666666666,0,8,0,0,0.04650527048930078,0.07832122415332557
29,112,7898,4770.484838709676,0,5,0,0,0.047535108639220044,0.08022761697745588
30,112,7904,4771.842499999999,0,6,0,0,0.04834901442820564,0.08173428494830344
31,112,7909,4773.208787878787,0,5,0,0,0.048752783902797504,0.08248172592145551
32,112,7914,4774.58294117647,0,5,0,0,0.048953893461046255,0.08285401142936713
33,112,7921,4775.998571428571,0,7,0,0,0.05001801070948596,0.08482386027077758
