,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4726.37,0,0,0,0,0.015,0.02
1,109,7790,4726.636666666666,0,2,1,0,0.016469507234240156,0.02272028963636921
2,109,7790,4726.77,0,0,0,0,0.016469507234240156,0.02272028963636921
3,109,7793,4727.21,0,3,0,0,0.018353436454032052,0.02620773972361084
4,109,7796,4727.803333333333,0,3,0,0,0.019846470918213975,0.028971581972918457
5,109,7799,4728.484285714286,0,3,0,0,0.021161449881025217,0.03140581540929116
6,109,7800,4729.07,0,1,0,0,0.021573020343182515,0.03216769724066649
7,109,7803,4729.725555555556,0,3,0,0,0.02274742986462231,0.03434171447282929
8,109,7809,4730.61,0,6,0,0,0.024896021245131912,0.03831909595759257
9,109,7813,4731.551818181818,0,4,0,0,0.02622162461334385,0.04077299684386322
10,109,7815,4732.4366666666665,0,2,0,0,0.0268595633247872,0.04195392200363311
11,109,7817,4733.277692307693,0,2,0,0,0.027483115317003825,0.04310821507728467
12,109,7820,4734.127142857143,0,3,0,0,0.028394275639409508,0.04479491652683053
13,109,7827,4735.1433333333325,0,7,0,0,0.030424753156775685,0.04855365062399743
14,109,7832,4736.22,0,5,0,0,0.0318069953954101,0.051112398991543385
15,109,7836,4737.311176470588,0,4,0,0,0.03287852044799261,0.05309596084665556
16,109,7841,4738.447777777777,0,5,0,0,0.03418048087347421,0.055506094917367896
17,109,7845,4739.591052631578,0,4,0,0,0.03519530552111006,0.057384695381096334
18,109,7851,4740.8,0,6,0,0,0.03667798238471476,0.060129364078310196
19,109,7854,4741.979523809523,0,3,0,0,0.03740314472392524,0.06147175392851023
20,109,7858,4743.160909090909,0,4,0,0,0.038354687952280746,0.06323321050547714
21,109,7863,4744.37,0,5,0,0,0.03952128012357807,0.06539275658970618
22,109,7871,4745.678333333333,0,8,0,0,0.04134011105840187,0.068759699485273
23,109,7881,4747.122,0,10,0,0,0.04354076257870572,0.07283345249883885
24,109,7884,4748.523846153846,0,3,0,0,0.04418676475137558,0.07402930439697157
25,109,7890,4749.955185185185,0,6,0,0,0.04546079564155981,0.07638773649327521
26,110,7898,4751.47,1,8,0,0,0.04726186669606839,0.07972180304959103
27,110,7906,4753.045862068965,0,8,0,0,0.04888691379794121,0.08273002151006172
28,110,7912,4754.636666666667,0,6,0,0,0.050084055745326574,0.08494612004762296
29,110,7922,4756.318387096774,0,10,0,0,0.05204144937622964,0.08856956434539394
30,111,7929,4758.03875,1,7,0,0,0.053258435066867976,0.0908223967811355
31,111,7935,4759.763939393939,0,6,0,0,0.054396251262661156,0.09292867399664692
32,111,7940,4761.475882352941,0,5,0,0,0.054772394834728975,0.09362497506753756
33,111,7950,4763.261428571428,0,10,0,0,0.05607710954177474,0.0960402077477838
34,111,7956,4765.047777777778,0,6,0,0,0.056630848370772376,0.0970652656465674
35,111,7963,4766.851081081081,0,7,0,0,0.0577289851395497,0.0990980899851053
36,114,7969,4768.685789473684,3,6,0,0,0.05863493497065805,0.10077514599354936
37,115,7980,4770.6058974358975,1,11,0,0,0.05965203401003733,0.10265795671507344
38,115,7985,4772.504999999999,0,5,0,0,0.05983048943123505,0.10298830584267679
39,116,7995,4774.46756097561,1,10,0,0,0.06136460559677618,0.10582819679991042
40,116,8001,4776.422380952381,0,6,0,0,0.06206534389344245,0.10712537389561481
41,116,8010,4778.411860465116,0,9,0,0,0.06310815786850307,0.10905578701840916
42,116,8014,4780.365454545455,0,4,0,0,0.06258797510913955,0.10809284669641324
43,116,8026,4782.392222222222,0,12,0,0,0.06379801051791965,0.11033281306435448
44,116,8038,4784.4873913043475,0,12,0,0,0.06516535814209207,0.11286398915160498
45,116,8048,4786.621063829787,0,10,0,0,0.06601188150268639,0.1144310373913912
46,116,8054,4788.740833333333,0,6,0,0,0.06634880666435009,0.1150547389997604
47,116,8062,4790.872040816326,0,8,0,0,0.06668478701363911,0.11567669161142433
48,116,8070,4793.013999999999,0,8,0,0,0.06752067839094708,0.11722405837345118
49,117,8081,4795.209215686275,1,11,0,0,0.06879143554006589,0.11957643025876374
50,117,8093,4797.458461538461,0,12,0,0,0.06994055284120394,0.12170362760248744
51,117,8099,4799.690754716981,0,6,0,0,0.06961329282960209,0.12109781771110646
52,118,8108,4801.947777777777,1,9,0,0,0.0695586678266735,0.1209966982161554
53,118,8115,4804.19909090909,0,7,0,0,0.07021263256241933,0.1222072900742623
54,118,8124,4806.466428571429,0,9,0,0,0.07070093456921715,0.12311121409556679
55,118,8130,4808.717368421052,0,6,0,0,0.07026697953006325,0.12230789488205439
56,118,8139,4810.983793103448,0,9,0,0,0.07042988323466609,0.1226094553296873
57,118,8144,4813.224237288136,0,5,0,0,0.07026697953006325,0.12230789488205439
58,118,8153,4815.48,0,9,0,0,0.07010386977695554,0.12200595300614449
59,118,8160,4819.253333333332,0,7,0,0,0.069995014910545,0.12180444548167282
60,118,8177,4823.196666666667,0,17,0,0,0.07177954895855267,0.12510789943101888
61,118,8187,4827.2266666666665,0,10,0,0,0.07258277636132476,0.12659480002497106
62,118,8195,4831.336666666666,0,8,0,0,0.07226206516489092,0.12600111302323425
63,118,8203,4835.496666666667,0,8,0,0,0.07258277636132501,0.1265948000249715
64,118,8209,4839.686666666666,0,6,0,0,0.07242251672086131,0.12629813415703714
65,118,8219,4843.946666666667,0,10,0,0,0.07274284507704701,0.12689111246109955
66,118,8227,4848.276666666667,0,8,0,0,0.07215499034778639,0.12580290065074726
67,118,8238,4852.686666666666,0,11,0,0,0.07311560176010226,0.12758114386630515
68,119,8248,4857.1433333333325,1,10,0,0,0.07311560176010248,0.12758114386630562
69,119,8259,4861.669999999999,0,11,0,0,0.07391094052049488,0.12905344133914984
70,119,8273,4866.316666666667,0,14,0,0,0.07470170367523188,0.13051726864433896
71,119,8283,4871.043333333333,0,10,0,0,0.07564473691828727,0.13226297189646463
72,119,8292,4875.83,0,9,0,0,0.0751740120407019,0.1313915859132995
73,119,8310,4880.7266666666665,0,18,0,0,0.07611390105932436,0.133131468710146
74,119,8318,4885.653333333333,0,8,0,0,0.07580129727362706,0.13255278980424604
75,120,8332,4890.686666666666,1,14,0,0,0.07715101112780659,0.13505132300234018
76,120,8345,4895.8,0,13,0,0,0.07792399817930008,0.13648224393707964
77,121,8354,4900.969999999999,1,9,0,0,0.07818075633847031,0.13695754378125166
78,123,8360,4906.153333333333,2,6,0,0,0.07751224811763016,0.13572002963868307
79,123,8370,4911.406666666666,0,10,0,0,0.0772026714144482,0.1351469543398992
80,123,8377,4916.69,0,7,0,0,0.07735754210045942,0.1354336444032874
81,123,8387,4922.023333333333,0,10,0,0,0.07740912903192584,0.13552913994884877
82,125,8395,4927.369999999999,2,8,0,0,0.07776972759947157,0.13619666476487424
83,125,8412,4932.786666666666,0,17,0,0,0.07899939899109826,0.13847298043371914
84,125,8423,4938.283333333332,0,11,0,0,0.07976282067098822,0.13988619435713207
85,126,8435,4943.846666666666,1,12,0,0,0.08032021955259207,0.14091802759049124
86,127,8446,4949.44,1,11,0,0,0.08132849058639756,0.14278449628149473
87,129,8462,4955.126666666666,2,16,0,0,0.08257967255864364,0.14510063142735052
88,128,8472,4960.846666666666,0,10,1,0,0.08292822385341274,0.14574585484157465
89,129,8487,4966.623333333333,1,15,0,0,0.08272914580370579,0.14537732997634903
90,129,8500,4972.453333333333,0,13,0,0,0.08317672038745687,0.14620586111475467
91,129,8511,4978.333333333333,0,11,0,0,0.08362303922135639,0.1470320676621495
92,129,8522,4984.273333333333,0,11,0,0,0.08406811743145283,0.1478559776192346
93,129,8533,4990.223333333332,0,11,0,0,0.08480719758156505,0.14922413153229516
94,130,8543,4996.219999999999,1,10,0,0,0.0849054879299583,0.14940608246786005
95,131,8557,5002.293333333333,1,14,0,0,0.08588516098953122,0.15121961179857088
96,131,8570,5008.416666666667,0,13,0,0,0.08617793128724319,0.1517615757904082
97,131,8578,5014.503333333332,0,8,0,0,0.08578745572050503,0.15103874393718328
98,132,8591,5020.676666666666,1,13,0,0,0.08617793128724319,0.1517615757904082
99,132,8601,5026.843333333333,0,10,0,0,0.08559187154107165,0.1506766867768281
100,132,8614,5033.08,0,13,0,0,0.08603161078355111,0.15149071346288265
101,132,8631,5039.3966666666665,0,17,0,0,0.08719859569540271,0.15365098657181406
102,132,8641,5045.773333333333,0,10,0,0,0.08603161078355111,0.15149071346288265
103,133,8655,5052.176666666666,1,14,0,0,0.08700466227768582,0.15329198523172624
104,134,8669,5058.606666666666,1,14,0,0,0.08700466227768602,0.15329198523172666
105,136,8681,5065.069999999999,2,12,0,0,0.08705316659908063,0.15338177437990808
106,136,8694,5071.603333333333,0,13,0,0,0.0875374432536659,0.15427824683945676
107,136,8704,5078.156666666666,0,10,0,0,0.08792386893807545,0.15499358172181255
108,136,8711,5084.7,0,7,0,0,0.08748907804698274,0.15418871521454502
109,137,8721,5091.233333333334,1,10,0,0,0.08802033821143797,0.1551721615603064
110,137,8735,5097.786666666666,0,14,0,0,0.08859801212128696,0.15624152706838138
111,137,8746,5104.389999999999,0,11,0,0,0.08883813636259864,0.15668603490737745
112,137,8759,5111.026666666667,0,13,0,0,0.0882612728564297,0.1556181695843174
113,137,8777,5117.773333333333,0,18,0,0,0.08926951915317267,0.15748459248311703
114,138,8789,5124.556666666666,1,12,0,0,0.08926951915317267,0.15748459248311703
115,139,8807,5131.466666666666,1,18,0,0,0.09027193302289042,0.15934021863970135
116,140,8824,5138.463333333333,1,17,0,0,0.09031952400418657,0.159428317051324
117,141,8841,5145.586666666666,1,17,0,0,0.09150515006873891,0.16162309787367132
118,141,8858,5152.789999999999,0,17,0,0,0.09169411842918979,0.16197290810975498
119,142,8869,5160.039999999999,1,11,0,0,0.09150515006873891,0.16162309787367132
120,142,8883,5167.259999999999,0,14,0,0,0.09193004867264422,0.162409652197311
121,142,8901,5174.5599999999995,0,18,0,0,0.09291759421316911,0.1642377547317783
122,142,8919,5181.96,0,18,0,0,0.09389980432554745,0.166055980547333
123,142,8933,5189.419999999999,0,14,0,0,0.09436568395063488,0.1669183972040133
124,143,8948,5196.9766666666665,1,15,0,0,0.09450521928567675,0.16717669911432542
125,144,8967,5204.63,1,19,0,0,0.09543279106451057,0.1688937807578567
126,145,8978,5212.319999999999,1,11,0,0,0.09594100476740318,0.16983456446876807
127,146,8989,5220.016666666666,1,11,0,0,0.09566396738981553,0.16932172459321057
128,146,9006,5227.776666666667,0,17,0,0,0.09663182849991958,0.17111338814267396
