,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4722.05,0,0,0,0,0.015,0.02
1,110,7788,4722.05,0,0,0,0,0.015,0.02
2,110,7789,4722.2,0,1,0,0,0.016201474652077174,0.02222411905722657
3,110,7792,4722.65,0,3,0,0,0.01817071061601957,0.025869485381025542
4,110,7793,4723.05,0,1,0,0,0.018706752727659155,0.02686178386515286
5,110,7795,4723.507142857144,0,2,0,0,0.019691192354021687,0.028684136862693478
6,111,7798,4724.125,1,3,0,0,0.021299915426653555,0.031662136970689765
7,111,7799,4724.672222222222,0,1,0,0,0.02170775768517797,0.0324171173091915
8,111,7802,4725.29,0,3,0,0,0.02287311523438021,0.034574377913218844
9,111,7804,4725.904545454545,0,2,0,0,0.023610110745691276,0.03593867283110454
10,111,7806,4726.516666666666,0,2,0,0,0.024320975219617753,0.03725459507784676
11,111,7809,4727.173076923077,0,3,0,0,0.025345919243085928,0.03915192810209739
12,111,7811,4727.821428571428,0,2,0,0,0.02600552028420898,0.04037295365032013
13,111,7815,4728.543333333333,0,4,0,0,0.027276777902065168,0.042726251982191044
14,111,7816,4729.2125,0,1,0,0,0.027585736946281744,0.04329818389682327
15,111,7817,4729.838235294118,0,1,0,0,0.027891478811034258,0.04386416030490847
16,111,7820,4730.4944444444445,0,3,0,0,0.028790753234108877,0.045528859080349815
17,111,7824,4731.207894736842,0,4,0,0,0.02995218335612923,0.04767884939729621
18,112,7828,4731.99,1,4,0,0,0.03126016371968739,0.050100127322750904
19,113,7832,4732.830952380952,1,4,0,0,0.03252447817804633,0.05244057277143491
20,113,7836,4733.704545454545,0,4,0,0,0.03357777145315798,0.0543903847312414
21,113,7839,4734.580434782608,0,3,0,0,0.03435119197901183,0.055822108095382114
22,113,7842,4735.458333333333,0,3,0,0,0.035111581890774804,0.05722970973787289
23,113,7845,4736.338,0,3,0,0,0.03585984230391804,0.058614857765559455
24,113,7851,4737.288461538461,0,6,0,0,0.03732307212390523,0.061323526918178994
25,113,7854,4738.2351851851845,0,3,0,0,0.038039383385739645,0.06264953202831393
26,113,7857,4739.178571428572,0,3,0,0,0.03874627302737603,0.06395809623364396
27,113,7860,4740.118965517241,0,3,0,0,0.039444255619206836,0.06525017208511483
28,113,7864,4741.076666666666,0,4,0,0,0.04036184445392537,0.06694877372474786
29,114,7869,4742.082258064515,1,5,0,0,0.04163798312803724,0.06931110766150556
30,114,7871,4743.0625,0,2,0,0,0.042082136381853874,0.07013330537864834
31,114,7874,4744.037878787879,0,3,0,0,0.04252318938034934,0.07094976403427186
32,114,7876,4744.991176470588,0,2,0,0,0.04230304457094014,0.07054224127454488
33,114,7881,4745.975714285714,0,5,0,0,0.043179155090136215,0.07216406001088846
34,114,7886,4746.988888888888,0,5,0,0,0.04382864023312259,0.07336635943635213
35,115,7891,4748.039189189189,1,5,0,0,0.04425816347902677,0.0741614747016519
36,115,7896,4749.113157894736,0,5,0,0,0.045109224252543184,0.07573692240832083
37,115,7905,4750.2705128205125,0,9,0,0,0.046366872457698896,0.0780650275710371
38,116,7907,4751.41,1,2,0,0,0.04650527048930078,0.07832122415332557
39,116,7913,4752.581707317073,0,6,0,0,0.04733026989305009,0.07984842815459779
40,117,7917,4753.7642857142855,1,4,0,0,0.04767136117059363,0.08047984190046982
41,117,7924,4754.989534883721,0,7,0,0,0.04868563325095426,0.08235741947503027
42,117,7931,4756.254545454545,0,7,0,0,0.049287947206491364,0.0834723975934846
43,119,7935,4757.5344444444445,2,4,0,0,0.050150047540439294,0.08506828126748477
44,119,7944,4758.876086956521,0,9,0,0,0.05171834424938426,0.08797144580093526
45,119,7948,4760.211702127659,0,4,0,0,0.05191235282692457,0.08833058627370911
46,120,7954,4761.575,1,6,0,0,0.052427588731274725,0.08928436918694109
47,120,7962,4762.980612244898,0,8,0,0,0.05306739265138039,0.09046874714209406
48,120,7969,4764.414,0,7,0,0,0.05351252431415094,0.09129275604850862
49,120,7972,4765.826470588235,0,3,0,0,0.053322025025217316,0.0909401118223713
50,120,7979,4767.265384615384,0,7,0,0,0.05408161887182753,0.09234623982272239
51,122,7986,4768.744339622641,2,7,0,0,0.055084686754868786,0.09420307666110846
52,122,7995,4770.268518518518,0,9,0,0,0.05620043786743053,0.09626850792782726
53,124,8007,4771.882727272727,2,12,0,0,0.05754680868930443,0.09876085264591726
54,125,8020,4773.585714285714,1,13,0,0,0.05947327240097237,0.10232704078544104
55,125,8029,4775.323684210526,0,9,0,0,0.06054129399477341,0.10430411718584254
56,125,8037,4777.08448275862,0,8,0,0,0.06142317318390387,0.1059366146399716
