,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4719.8,0,0,0,0,0.015,0.02
1,110,7788,4719.8,0,0,0,0,0.015,0.02
2,110,7789,4719.95,0,1,0,0,0.016201474652077174,0.02222411905722657
3,110,7792,4720.4,0,3,0,0,0.01817071061601957,0.025869485381025542
4,110,7793,4720.8,0,1,0,0,0.018706752727659155,0.02686178386515286
5,110,7795,4721.257142857144,0,2,0,0,0.019691192354021687,0.028684136862693478
6,111,7798,4721.875,1,3,0,0,0.021299915426653555,0.031662136970689765
7,111,7799,4722.422222222222,0,1,0,0,0.02170775768517797,0.0324171173091915
8,111,7802,4723.04,0,3,0,0,0.02287311523438021,0.034574377913218844
9,111,7804,4723.654545454545,0,2,0,0,0.023610110745691276,0.03593867283110454
10,111,7806,4724.266666666666,0,2,0,0,0.024320975219617753,0.03725459507784676
11,111,7809,4724.923076923077,0,3,0,0,0.025345919243085928,0.03915192810209739
12,111,7811,4725.571428571428,0,2,0,0,0.02600552028420898,0.04037295365032013
13,111,7815,4726.293333333333,0,4,0,0,0.027276777902065168,0.042726251982191044
14,111,7816,4726.9625,0,1,0,0,0.027585736946281744,0.04329818389682327
15,111,7817,4727.588235294118,0,1,0,0,0.027891478811034258,0.04386416030490847
16,111,7820,4728.2444444444445,0,3,0,0,0.028790753234108877,0.045528859080349815
17,111,7824,4728.957894736842,0,4,0,0,0.02995218335612923,0.04767884939729621
18,112,7828,4729.74,1,4,0,0,0.03126016371968739,0.050100127322750904
19,113,7832,4730.580952380952,1,4,0,0,0.03252447817804633,0.05244057277143491
20,113,7836,4731.454545454545,0,4,0,0,0.03357777145315798,0.0543903847312414
21,113,7839,4732.330434782608,0,3,0,0,0.03435119197901183,0.055822108095382114
22,113,7842,4733.208333333333,0,3,0,0,0.035111581890774804,0.05722970973787289
23,113,7845,4734.088,0,3,0,0,0.03585984230391804,0.058614857765559455
24,113,7851,4735.038461538461,0,6,0,0,0.03732307212390523,0.061323526918178994
25,113,7854,4735.9851851851845,0,3,0,0,0.038039383385739645,0.06264953202831393
26,113,7857,4736.928571428572,0,3,0,0,0.03874627302737603,0.06395809623364396
27,113,7860,4737.868965517241,0,3,0,0,0.039444255619206836,0.06525017208511483
28,113,7864,4738.826666666666,0,4,0,0,0.04036184445392537,0.06694877372474786
29,114,7869,4739.832258064515,1,5,0,0,0.04163798312803724,0.06931110766150556
30,114,7871,4740.8125,0,2,0,0,0.042082136381853874,0.07013330537864834
31,114,7874,4741.787878787879,0,3,0,0,0.04252318938034934,0.07094976403427186
32,114,7876,4742.741176470588,0,2,0,0,0.04230304457094014,0.07054224127454488
33,114,7881,4743.725714285714,0,5,0,0,0.043179155090136215,0.07216406001088846
34,114,7886,4744.738888888888,0,5,0,0,0.04382864023312259,0.07336635943635213
35,115,7891,4745.789189189189,1,5,0,0,0.04425816347902677,0.0741614747016519
36,115,7896,4746.863157894736,0,5,0,0,0.045109224252543184,0.07573692240832083
37,115,7905,4748.0205128205125,0,9,0,0,0.046366872457698896,0.0780650275710371
38,116,7907,4749.16,1,2,0,0,0.04650527048930078,0.07832122415332557
39,116,7913,4750.331707317073,0,6,0,0,0.04733026989305009,0.07984842815459779
40,117,7917,4751.5142857142855,1,4,0,0,0.04767136117059363,0.08047984190046982
41,117,7924,4752.739534883721,0,7,0,0,0.04868563325095426,0.08235741947503027
42,117,7931,4754.004545454545,0,7,0,0,0.049287947206491364,0.0834723975934846
43,119,7935,4755.2844444444445,2,4,0,0,0.050150047540439294,0.08506828126748477
44,119,7944,4756.626086956521,0,9,0,0,0.05171834424938426,0.08797144580093526
45,119,7948,4757.961702127659,0,4,0,0,0.05191235282692457,0.08833058627370911
46,120,7954,4759.325,1,6,0,0,0.052427588731274725,0.08928436918694109
47,120,7962,4760.730612244898,0,8,0,0,0.05306739265138039,0.09046874714209406
48,120,7969,4762.164,0,7,0,0,0.05351252431415094,0.09129275604850862
49,120,7972,4763.576470588235,0,3,0,0,0.053322025025217316,0.0909401118223713
50,120,7979,4765.015384615384,0,7,0,0,0.05408161887182753,0.09234623982272239
51,122,7986,4766.494339622641,2,7,0,0,0.055084686754868786,0.09420307666110846
52,122,7995,4768.018518518518,0,9,0,0,0.05620043786743053,0.09626850792782726
53,124,8007,4769.632727272727,2,12,0,0,0.05754680868930443,0.09876085264591726
54,125,8020,4771.335714285714,1,13,0,0,0.05947327240097237,0.10232704078544104
55,125,8029,4773.073684210526,0,9,0,0,0.06054129399477341,0.10430411718584254
56,125,8037,4774.83448275862,0,8,0,0,0.06142317318390387,0.1059366146399716
57,125,8045,4776.616949152542,0,8,0,0,0.062123536501569994,0.1072330975904114
58,126,8050,4778.3966666666665,1,5,0,0,0.06212353650156974,0.10723309759041093
59,126,8061,4781.233333333334,0,11,0,0,0.06368332653690253,0.1101205149294768
60,126,8070,4784.16,0,9,0,0,0.06471136976096799,0.11202358506278642
61,127,8079,4787.183333333333,1,9,0,0,0.06601188150268639,0.1144310373913912
62,127,8087,4790.276666666667,0,8,0,0,0.0665169142239028,0.1153659326035694
63,127,8096,4793.429999999999,0,9,0,0,0.06718701083093873,0.11660638709947975
64,127,8110,4796.713333333333,0,14,0,0,0.06857136505699142,0.11916904508880384
65,127,8116,4800.036666666666,0,6,0,0,0.06873645414517418,0.11947465102608486
66,128,8130,4803.469999999999,1,14,0,0,0.06966789442682186,0.12119889387839931
67,128,8146,4807.053333333332,0,16,0,0,0.07183324846183303,0.12520730568016694
68,128,8158,4810.7266666666665,1,12,1,0,0.07279615905784415,0.12698980504733307
69,129,8166,4814.466666666666,1,8,0,0,0.07343429370720864,0.128171092919095
70,130,8182,4818.3533333333335,1,16,0,0,0.07496429407763222,0.13100336489049255
71,130,8189,4822.28,0,7,0,0,0.07496429407763222,0.13100336489049255
72,130,8202,4826.316666666667,0,13,0,0,0.07616593503539926,0.13322779180577798
73,130,8216,4830.453333333334,0,14,0,0,0.0769441856006037,0.1346684563344687
74,131,8232,4834.746666666667,1,16,0,0,0.07889731493233546,0.13828400674198052
75,132,8243,4839.1466666666665,1,11,0,0,0.07966125467088063,0.13969817967366369
76,132,8253,4843.616666666667,0,10,0,0,0.0799657482135784,0.14026184524076135
77,132,8264,4848.156666666666,0,11,0,0,0.08057290931728933,0.14138579619489558
78,132,8280,4852.8099999999995,0,16,0,0,0.08252981665620919,0.14500834028951587
79,132,8290,4857.516666666666,0,10,0,0,0.0829779542920544,0.14583791372614283
80,132,8304,4862.323333333333,0,14,0,0,0.08382100403519718,0.14739853175222614
81,132,8318,4867.24,0,14,0,0,0.08456121172187546,0.14876877291328647
82,132,8328,4872.2266666666665,0,10,0,0,0.08406811743145283,0.1478559776192346
83,132,8345,4877.3533333333335,0,17,0,0,0.08456121172187546,0.14876877291328647
84,133,8361,4882.586666666667,1,16,0,0,0.08568969262055921,0.15085776902164336
85,133,8368,4887.86,0,7,0,0,0.08554293921237081,0.1505861053196248
86,134,8377,4893.2,1,9,0,0,0.08578745572050524,0.1510387439371837
87,135,8393,4898.676666666666,1,16,0,0,0.08739230611510213,0.15400957510740404
88,136,8399,4904.179999999999,1,6,0,0,0.08676193021239048,0.15284264989927462
89,136,8412,4909.756666666666,0,13,0,0,0.08734389935554095,0.15391996656156207
90,137,8425,4915.45,1,13,0,0,0.08792386893807567,0.15499358172181296
91,137,8438,4921.243333333333,0,13,0,0,0.0886460638028511,0.15633047830885394
92,137,8454,4927.176666666666,0,16,0,0,0.08965207090251541,0.15819275610073272
93,137,8466,4933.179999999999,0,12,0,0,0.08936523612066222,0.157661779684799
94,137,8478,4939.253333333333,0,12,0,0,0.09022432914255939,0.1592520963499309
95,139,8493,4945.433333333333,2,15,0,0,0.09046221970503322,0.15969246929714015
96,140,8500,4951.639999999999,1,7,0,0,0.0892695191531729,0.1574845924831174
97,141,8512,4957.883333333333,1,12,0,0,0.08936523612066222,0.157661779684799
98,142,8523,4964.216666666666,1,11,0,0,0.08979531125055193,0.15845791657438982
99,142,8537,4970.63,0,14,0,0,0.08941307480756427,0.15775033663856217
100,143,8555,4977.183333333333,1,18,0,0,0.0910792376888622,0.160834666890833
101,146,8569,4983.826666666666,3,14,0,0,0.09150515006873891,0.16162309787367132
102,148,8582,4990.543333333333,2,13,0,0,0.09155241089636132,0.16171058511877762
