,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4751.1728,0,0,0,0,0.015,0.02
1,109,7793,4752.039466666667,0,5,1,0,0.018353436454032052,0.02620773972361084
2,109,7796,4752.9228,0,3,0,0,0.019846470918213975,0.028971581972918457
3,109,7797,4753.5728,0,1,0,0,0.02030014487141976,0.029811404006074002
4,109,7799,4754.206133333334,0,2,0,0,0.021161449881025217,0.03140581540929116
5,109,7802,4754.915657142857,0,3,0,0,0.0223649826552397,0.03363374437516605
6,109,7809,4755.9728000000005,0,7,0,0,0.024896021245131912,0.03831909595759257
7,109,7810,4756.861688888889,0,1,0,0,0.025234242804282443,0.03894519740215577
8,110,7811,4757.6728,1,1,0,0,0.025787581702843072,0.03996951496663019
9,110,7815,4758.554618181818,0,4,0,0,0.027068943319786508,0.0423415173942432
10,110,7817,4759.3894666666665,0,2,0,0,0.0276880012075501,0.04348749117181815
11,110,7826,4760.511261538461,0,9,0,0,0.030330740426209788,0.048379618233624466
12,110,7831,4761.687085714286,0,5,0,0,0.03171639141765245,0.05094467674018925
13,110,7836,4762.906133333334,0,5,0,0,0.0330544174103105,0.05342157386339558
14,110,7841,4764.1603,0,5,0,0,0.03435119197901183,0.055822108095382114
15,110,7846,4765.443388235294,0,5,0,0,0.03561171877160675,0.058155541977410435
16,110,7852,4766.783911111112,0,6,0,0,0.03708211130260089,0.060877470437685266
17,110,7855,4768.078063157895,0,3,0,0,0.03780168673087183,0.06220951803466325
18,110,7861,4769.4228,0,6,0,0,0.039212554699618096,0.06482125714301155
19,111,7865,4770.7728,1,4,0,0,0.040285926964356386,0.06680823847913511
20,112,7870,4772.1546181818185,1,5,0,0,0.041563649459306434,0.06917350431803766
21,113,7873,4773.511930434783,1,3,0,0,0.04237651042981172,0.0706782381651071
22,114,7881,4774.9728000000005,1,8,0,0,0.04425816347902677,0.0741614747016519
23,114,7889,4776.5088,0,8,0,0,0.04595009645278483,0.07729350945908897
24,114,7891,4777.9728,0,2,0,0,0.04636687245769858,0.07806502757103652
25,114,7899,4779.506133333333,0,8,0,0,0.04801093304876747,0.0811084429984946
26,114,7908,4781.1228,0,9,0,0,0.04981955428544251,0.0844564861326874
27,114,7920,4782.876248275862,0,12,0,0,0.052170353386926265,0.0888081859977506
28,114,7927,4784.6528,0,7,0,0,0.05351252431415094,0.09129275604850862
29,114,7932,4786.411509677419,0,5,0,0,0.0544590484434798,0.09304492148164992
30,114,7943,4788.26655,0,11,0,0,0.05570616762416938,0.09535353575961998
31,115,7956,4790.257648484849,1,13,0,0,0.05766829670527004,0.09898574612250173
32,115,7961,4792.219858823529,0,5,0,0,0.05839414241741841,0.10032940100377982
33,115,7973,4794.275657142857,0,12,0,0,0.0601864907195417,0.1036473203698257
34,115,7981,4796.350577777778,0,8,0,0,0.06107129030589124,0.10528522393976283
35,115,7991,4798.475502702702,0,10,0,0,0.061598686343183814,0.10626151717676142
36,116,8000,4800.641221052631,1,9,0,0,0.06310815786850307,0.10905578701840916
37,116,8010,4802.8497230769235,0,10,0,0,0.064540665839048,0.11170758518278129
38,117,8018,4805.0778,1,8,0,0,0.0653351499973526,0.11317830065238774
39,117,8026,4807.314263414634,0,8,0,0,0.06634880666435033,0.11505473899976086
40,117,8044,4809.701371428571,0,18,0,0,0.0678534399158339,0.11784005243352808
41,117,8053,4812.10303255814,0,9,0,0,0.06851628690618036,0.11906708674565951
42,117,8064,4814.545527272728,0,11,0,0,0.06950401937449677,0.12089553531294803
43,118,8075,4817.035022222222,1,11,0,0,0.07059258201396429,0.12291063642826397
44,118,8086,4819.5597565217395,0,11,0,0,0.07156453281681319,0.12470987064395514
45,118,8104,4822.206842553192,0,18,0,0,0.0734873365763223,0.1282692836348473
46,119,8116,4824.901966666667,1,12,0,0,0.07501675300238311,0.13110047463313956
47,120,8128,4827.642187755102,1,12,0,0,0.07606184808927577,0.13303511045367328
48,120,8137,4830.3808,0,9,0,0,0.07673706368974376,0.13428504101370733
49,120,8146,4833.117898039216,0,9,0,0,0.07725431331991231,0.1352425516509999
50,120,8154,4835.84203076923,0,8,0,0,0.07792399817929985,0.13648224393707922
51,122,8163,4838.580347169811,2,9,0,0,0.07818075633847053,0.1369575437812521
52,123,8171,4841.313540740741,1,8,0,0,0.07828333441927787,0.13714743198570392
53,123,8177,4844.0128,0,6,0,0,0.07889731493233568,0.13828400674198094
54,123,8187,4846.7228000000005,0,10,0,0,0.07920335810193353,0.13885054091285154
55,123,8197,4849.4429754385965,0,10,0,0,0.0793561453625843,0.13913337422733496
56,124,8205,4852.159006896552,1,8,0,0,0.07884624668670956,0.13818947136570828
57,124,8218,4854.915172881356,0,13,0,0,0.07976282067098822,0.13988619435713207
58,124,8229,4857.689466666667,0,11,0,0,0.0806738683977959,0.14157268737446937
59,124,8237,4862.272800000001,0,8,0,0,0.08021902631764181,0.14073070295411533
60,124,8250,4866.986133333334,0,13,0,0,0.08011776574766269,0.140543253669982
61,125,8258,4871.742799999999,1,8,0,0,0.08067386839779613,0.1415726873744698
62,126,8267,4876.566133333333,1,9,0,0,0.08032021955259183,0.14091802759049082
63,128,8282,4881.542799999999,2,15,0,0,0.08157953141358733,0.14324921244253017
64,129,8294,4886.626133333333,1,12,0,0,0.08198035547771802,0.14399120099641838
65,129,8304,4891.779466666666,0,10,0,0,0.0820303861570142,0.14408381567378695
66,130,8313,4896.959466666666,1,9,0,0,0.08198035547771802,0.14399120099641838
67,130,8323,4902.229466666667,0,10,0,0,0.08218038229106267,0.1443614821727603
68,130,8334,4907.592799999999,0,11,0,0,0.08262951270300635,0.14519289339450928
69,131,8345,4913.0328,1,11,0,0,0.08167983418159964,0.14343488868417464
70,131,8357,4918.5728,0,12,0,0,0.08213039954156746,0.144268956221012
71,131,8365,4924.1028,0,8,0,0,0.08167983418159964,0.14343488868417464
72,131,8381,4929.742799999999,0,16,0,0,0.082330235032713,0.1446388832297913
73,132,8392,4935.449466666667,1,11,0,0,0.08243005749062218,0.14482367034168844
74,132,8404,4941.226133333333,0,12,0,0,0.08152935574013505,0.14315632935811265
75,132,8418,4947.092799999999,0,14,0,0,0.08172996132138848,0.1435276819251272
76,132,8425,4952.969466666666,0,7,0,0,0.0808755873334626,0.1419461009360823
77,132,8438,4958.946133333333,0,13,0,0,0.08147916384347292,0.14306341624197524
78,132,8448,4964.962799999999,0,10,0,0,0.08162969088652834,0.14334206553724646
79,132,8458,4971.0328,0,10,0,0,0.08193030877749327,0.14389855666178447
80,133,8468,4977.1528,1,10,0,0,0.0819803554777178,0.14399120099641796
81,135,8483,4983.399466666667,2,15,0,0,0.08312705217028572,0.14611391741194096
82,135,8496,4989.689466666667,0,13,0,0,0.08416685671617885,0.14803875960675006
83,136,8508,4996.026133333334,1,12,0,0,0.08456121172187546,0.14876877291328647
