,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4722.8,0,0,0,0,0.015,0.02
1,110,7790,4723.2,0,2,0,0,0.016951801330622955,0.023613092068029626
2,110,7790,4723.4,0,0,0,0,0.016951801330622955,0.023613092068029626
3,110,7793,4723.88,0,3,0,0,0.018706752727659155,0.02686178386515286
4,110,7794,4724.3,0,1,0,0,0.019211341771698684,0.0277958577609074
5,110,7799,4725.028571428571,0,5,0,0,0.02143708868292111,0.03191606630068356
6,110,7800,4725.65,0,1,0,0,0.02184134489187535,0.0326644082958999
7,110,7801,4726.200000000001,0,1,0,0,0.02223560681921071,0.03339424929971089
8,110,7802,4726.7,0,1,0,0,0.022620864462644327,0.034107421954016594
9,110,7806,4727.327272727272,0,4,0,0,0.024086682768268565,0.036820882801762406
10,110,7808,4727.95,0,2,0,0,0.024782179094850518,0.03810835618416601
11,110,7812,4728.661538461538,0,4,0,0,0.026113797565450486,0.040573391973556965
12,111,7814,4729.385714285714,1,2,0,0,0.026964449621680635,0.04214808308007306
13,111,7816,4730.093333333333,0,2,0,0,0.027585736946281744,0.04329818389682327
14,111,7821,4730.9,0,5,0,0,0.029084930102901953,0.046073426857078825
15,111,7825,4731.75294117647,0,4,0,0,0.03023647996424874,0.048205127253371075
16,112,7826,4732.566666666667,1,1,0,0,0.030705332653361932,0.04907304752042436
17,112,7828,4733.357894736841,0,2,0,0,0.03126016371968739,0.050100127322750904
18,112,7829,4734.1,0,1,0,0,0.031534548453407474,0.050608056736179505
19,112,7835,4734.942857142856,0,6,0,0,0.03314209079202139,0.0535838711193032
20,112,7838,4735.790909090909,0,3,0,0,0.033923185167656016,0.05502979998957774
21,112,7843,4736.695652173913,0,5,0,0,0.03519530552111006,0.057384695381096334
22,112,7850,4737.7,0,7,0,0,0.03692084317864884,0.06057893770777306
23,112,7853,4738.696,0,3,0,0,0.03764263094302229,0.061915080687768964
24,112,7855,4739.661538461538,0,2,0,0,0.03811838208663567,0.0627957710820095
25,112,7861,4740.688888888889,0,6,0,0,0.03952128012357772,0.06539275658970553
26,113,7870,4741.849999999999,1,9,0,0,0.04171222800454917,0.06944854663657352
27,113,7874,4743.013793103448,0,4,0,0,0.04259640330539151,0.0710852945555851
28,113,7879,4744.2,0,5,0,0,0.04368485618031123,0.07310019247941289
29,113,7889,4745.503225806452,0,10,0,0,0.04581063648654026,0.07703534706830654
30,113,7894,4746.818749999999,0,5,0,0,0.04643610411460416,0.07819318628601304
31,113,7904,4748.236363636363,0,10,0,0,0.04848383593051708,0.0819838608108457
32,113,7915,4749.764705882353,0,11,0,0,0.050084055745326574,0.08494612004762296
33,113,7921,4751.308571428571,0,6,0,0,0.05106844423390024,0.08676837838105178
34,113,7924,4752.816666666667,0,3,0,0,0.050676087256169025,0.08604206373937448
35,113,7931,4754.356756756756,0,7,0,0,0.05184773195946522,0.08821096285713319
36,114,7939,4755.952631578947,1,8,0,0,0.053322025025217316,0.0909401118223713
37,115,7947,4757.599999999999,1,8,0,0,0.05477239483472926,0.09362497506753809
38,115,7957,4759.315,0,10,0,0,0.055891818847716906,0.09569720545217292
39,115,7961,4761.0048780487805,0,4,0,0,0.05626204272077995,0.09638254822665106
40,115,7969,4762.728571428571,0,8,0,0,0.05699825904358138,0.09774540074372501
41,115,7981,4764.53953488372,0,12,0,0,0.058695044110682534,0.10088641749113014
42,115,7986,4766.336363636364,0,5,0,0,0.0592344433349218,0.10188493052010641
43,115,7996,4768.1866666666665,0,10,0,0,0.06012724083994321,0.10353763949880145
44,115,8005,4770.073913043479,0,9,0,0,0.061012531250107624,0.10517645166102435
45,115,8013,4771.982978723404,0,8,0,0,0.062123536501569994,0.1072330975904114
46,115,8021,4773.912499999999,0,8,0,0,0.06316580695640804,0.10916250457155895
47,116,8028,4775.857142857143,1,7,0,0,0.06431266761457705,0.1112855245132674
