,Mittelwert,Std.Abw.,Min,Max
Anbieter,393.6666666666667,11.150485789118486,381.0,402.0
Nachfrager,16468.0,680.6900910105861,15758.0,17115.0
Netzwerkeffekte,9208.906666666666,371.1300776607094,8828.6,9570.123333333333
Neue Anbieter,2.6666666666666665,1.5275252316519468,1.0,4.0
Neue Nachfrager,47.333333333333336,8.504900548115382,39.0,56.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.19939438980490287,0.0010489476274899454,0.1981831694147086,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,22058.0,1.0,22057.0,22059.0
