,Mittelwert,Std.Abw.,Min,Max
Anbieter,396.0,39.88734135035826,371.0,442.0
Nachfrager,16451.333333333332,567.6005050502804,15810.0,16889.0
Netzwerkeffekte,9211.904444444444,313.9648367489813,8861.576666666666,9467.856666666665
Neue Anbieter,2.0,1.7320508075688772,1.0,4.0
Neue Nachfrager,45.666666666666664,5.131601439446884,40.0,50.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,22070.0,1.0,22069.0,22071.0
