,Mittelwert,Std.Abw.,Min,Max
Anbieter,422.0,22.0,400.0,444.0
Nachfrager,16559.0,529.8556407173561,16226.0,17170.0
Netzwerkeffekte,9271.306133333333,286.29854559726857,9089.362799999999,9601.316133333334
Neue Anbieter,3.0,1.0,2.0,4.0
Neue Nachfrager,54.333333333333336,6.027713773341708,48.0,60.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,22046.0,1.0,22045.0,22047.0
