,Mittelwert,Std.Abw.,Min,Max
Anbieter,403.0,24.331050121192877,387.0,431.0
Nachfrager,16140.666666666666,89.09171304522847,16054.0,16232.0
Netzwerkeffekte,9029.475022222223,34.158989435568444,9001.409466666666,9067.509466666666
Neue Anbieter,1.0,1.0,0.0,2.0
Neue Nachfrager,55.0,6.082762530298219,51.0,62.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,22061.0,1.0,22060.0,22062.0
