Strategie,Netzwerkeffekte,Standardabweichung,Cluster-Effekt,Kategorie,Summe Cluster-Effekte,Anzahl Cluster
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9493.371688888887,165.4633703114223,,Kombination,58.476,2.0
Nachhaltigkeit & Lokalität,9436.269999999999,86.69570353316851,33.0,Cluster,,
Monetarisierung,9435.939999999999,86.69570353316918,31.900000000000002,Cluster,,
Sichtbarkeit & Nutzergewinnung,9434.0128,86.69570353316954,25.476000000000003,Cluster,,
Community & Nutzerbindung,9433.63,86.69570353316851,24.200000000000003,Cluster,,
Freemium Modell,9310.602222222222,94.01986021482287,25.0,Einzelmaßnahme,,
Treuepunkte,9309.102222222222,94.01986021482287,20.0,Einzelmaßnahme,,
Personalisierte Empfehlungen,9308.352222222222,94.01986021482287,17.5,Einzelmaßnahme,,
Affiliate-Marketing,9307.90222222222,94.01986021482236,16.0,Einzelmaßnahme,,
Nachhaltige Werte,9306.102222222222,94.01986021482287,10.0,Einzelmaßnahme,,
Regionale Kooperationen,9306.102222222222,94.01986021482287,10.0,Einzelmaßnahme,,
SEM,9304.650222222223,94.01986021482287,5.16,Einzelmaßnahme,,
CO2-Transparenz,9304.602222222222,94.01986021482287,5.0,Einzelmaßnahme,,
Nachhaltige Produktfilter,9304.602222222222,94.01986021482287,5.0,Einzelmaßnahme,,
Reduzierte Gebühren,9304.302222222223,94.01986021482287,4.0,Einzelmaßnahme,,
Social-Media-Marketing,9303.702222222222,94.01986021482341,2.0,Einzelmaßnahme,,
Eigenes Forum,9303.702222222222,94.01986021482341,2.0,Einzelmaßnahme,,
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",9271.306133333333,286.29854559726857,,Kombination,49.676,2.0
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9234.747244444443,177.86115597202127,,Kombination,57.376000000000005,2.0
"Monetarisierung, Community & Nutzerbindung",9218.78,255.12698435180246,,Kombination,56.10000000000001,2.0
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9211.904444444444,313.9648367489813,,Kombination,89.10000000000001,3.0
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9208.906666666666,371.1300776607094,,Kombination,57.2,2.0
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9093.246133333332,375.6214203305131,,Kombination,82.676,3.0
Alle Cluster,9067.18502222222,102.57297859103684,,Kombination,114.57600000000001,4.0
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9054.562800000002,158.35877255284726,,Kombination,90.376,3.0
"Monetarisierung, Nachhaltigkeit & Lokalität",9052.404444444444,295.5417213700463,,Kombination,64.9,2.0
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9029.475022222223,34.158989435568444,,Kombination,81.57600000000001,3.0
