,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4733.96,0,0,0,0,0.015,0.02
1,110,7788,4733.96,0,0,0,0,0.015,0.02
2,110,7788,4733.96,0,0,0,0,0.015,0.02
3,110,7791,4734.32,0,3,0,0,0.017592384947456,0.024798913364785527
4,110,7793,4734.759999999999,0,2,0,0,0.018706752727659155,0.02686178386515286
5,110,7793,4735.074285714285,0,0,0,0,0.018706752727659155,0.02686178386515286
6,111,7794,4735.4349999999995,1,1,0,0,0.01953367862518956,0.028392554110227848
7,111,7795,4735.782222222222,0,1,0,0,0.01999964559117679,0.029255132448687604
8,111,7796,4736.12,0,1,0,0,0.020447673591630453,0.030084502932914925
9,111,7799,4736.5599999999995,0,3,0,0,0.02170775768517797,0.0324171173091915
10,111,7802,4737.076666666667,0,3,0,0,0.02287311523438021,0.034574377913218844
11,111,7805,4737.652307692308,0,3,0,0,0.023968562586773864,0.036602223717901394
12,111,7808,4738.274285714286,0,3,0,0,0.025009304861783148,0.03852880179718725
13,111,7812,4738.973333333332,0,4,0,0,0.026329009429792674,0.040971783074024375
14,111,7816,4739.735,0,4,0,0,0.027585736946281744,0.04329818389682327
15,112,7821,4740.607058823529,1,5,0,0,0.029279591767141785,0.04643377629632729
16,112,7823,4741.448888888888,0,2,0,0,0.02985690283423175,0.0475024701252339
17,112,7826,4742.296842105262,0,3,0,0,0.030705332653361932,0.04907304752042436
18,112,7830,4743.179999999999,0,4,0,0,0.0318069953954101,0.051112398991543385
19,112,7835,4744.121904761904,0,5,0,0,0.03314209079202139,0.0535838711193032
20,112,7841,4745.141818181818,0,6,0,0,0.03469069555997171,0.056450582764493176
21,112,7846,4746.203478260869,0,5,0,0,0.03594226911367679,0.058767442789383215
22,112,7849,4747.251666666666,0,3,0,0,0.03667798238471476,0.060129364078310196
23,112,7854,4748.335999999999,0,5,0,0,0.0378810364571851,0.062356406891763944
24,112,7862,4749.5215384615385,0,8,0,0,0.03975173472598996,0.06581936440216708
25,112,7865,4750.685925925925,0,3,0,0,0.04043766467540405,0.06708912891178599
26,112,7870,4751.874285714285,0,5,0,0,0.041563649459306434,0.06917350431803766
27,112,7876,4753.104827586206,0,6,0,0,0.042888431558616685,0.07162588490605466
28,113,7885,4754.446666666667,1,9,0,0,0.04496810274447693,0.07547568424159624
29,113,7887,4755.74064516129,0,2,0,0,0.045390620993621886,0.07625783215318525
30,113,7889,4756.99125,0,2,0,0,0.04581063648654026,0.07703534706830654
31,113,7898,4758.329696969697,0,9,0,0,0.04767136117059332,0.08047984190046925
32,113,7902,4759.66,0,4,0,0,0.04787528475380851,0.08085733661237408
33,113,7913,4761.102857142857,0,11,0,0,0.049686980346334376,0.08421107086408207
34,113,7915,4762.498888888888,0,2,0,0,0.050084055745326574,0.08494612004762296
35,113,7918,4763.868108108108,0,3,0,0,0.05034770533054702,0.08543417700821292
36,115,7924,4765.281052631579,2,6,0,0,0.05158876084232974,0.08773156647877722
37,115,7932,4766.744615384615,0,8,0,0,0.05293980251078428,0.09023255767049478
38,115,7936,4768.195,0,4,0,0,0.05313111902069208,0.09058671470153358
39,115,7943,4769.677073170731,0,7,0,0,0.05389231759850735,0.09199581331241627
40,116,7953,4771.240952380952,1,10,0,0,0.05533377130356906,0.09466417144214871
41,117,7960,4772.839069767441,1,7,0,0,0.05620043786743053,0.09626850792782726
42,118,7970,4774.509999999999,1,10,0,0,0.05742517182091155,0.09853568362001541
43,118,7976,4776.1866666666665,0,6,0,0,0.057789636654952875,0.09921036550504629
44,119,7985,4777.91652173913,1,9,0,0,0.058514610075435694,0.10055240563688836
45,119,7992,4779.662127659574,0,7,0,0,0.05941361676133938,0.10221660878860334
46,119,8003,4781.4725,0,11,0,0,0.06083606071930938,0.10484977687857369
47,119,8008,4783.270204081632,0,5,0,0,0.061012531250107624,0.10517645166102435
48,119,8017,4785.103999999999,0,9,0,0,0.06171553785028898,0.10647782774425357
49,119,8026,4786.971764705882,0,9,0,0,0.06223982944341409,0.10744837416551785
50,120,8035,4788.87923076923,1,9,0,0,0.06305047915871653,0.1089490146304851
51,120,8040,4790.771320754717,0,5,0,0,0.0633961084015371,0.10958882886573595
52,120,8049,4792.693333333333,0,9,0,0,0.06408421670963921,0.11086262586082023
53,120,8058,4794.643636363636,0,9,0,0,0.06425559747926654,0.11117987869267258
54,120,8069,4796.642142857142,0,11,0,0,0.06561759248995508,0.11370114624824086
55,120,8079,4798.675789473684,0,10,0,0,0.06646090452652603,0.11526224982082421
56,120,8086,4800.71172413793,0,7,0,0,0.0666288554149897,0.11557315340173986
57,120,8093,4802.749830508475,0,7,0,0,0.06618046290557189,0.11474310815393572
58,120,8098,4804.7699999999995,0,5,0,0,0.06668478701363938,0.11567669161142481
59,120,8107,4808.026666666667,0,9,0,0,0.0678534399158339,0.11784005243352808
60,120,8114,4811.353333333333,0,7,0,0,0.06752067839094708,0.11722405837345118
61,120,8120,4814.74,0,6,0,0,0.0678534399158339,0.11784005243352808
62,120,8126,4818.186666666666,0,6,0,0,0.06701983392536943,0.11629691628296109
63,121,8137,4821.719999999999,1,11,0,0,0.06862641894963326,0.11927095852625132
64,121,8147,4825.333333333333,0,10,0,0,0.06977702757757867,0.12140091655108223
65,122,8154,4829.023333333333,1,7,0,0,0.06983155921748313,0.121501863216352
66,123,8164,4832.803333333332,1,10,0,0,0.07026697953006325,0.12230789488205439
67,123,8175,4836.683333333333,0,11,0,0,0.0714030405960065,0.12441092307542422
68,124,8186,4840.669999999999,1,11,0,0,0.07215499034778639,0.12580290065074726
69,124,8198,4844.746666666667,0,12,0,0,0.07236905424200532,0.1261991666774781
70,124,8210,4848.913333333333,0,12,0,0,0.07306241365238327,0.12748268429098988
71,125,8221,4853.166666666667,1,11,0,0,0.0732219154489282,0.12777794727031627
72,125,8232,4857.5,0,11,0,0,0.07401663748286273,0.1292491030852274
73,125,8239,4861.863333333333,0,7,0,0,0.07359336052365342,0.12846555068165835
74,126,8248,4866.283333333334,1,9,0,0,0.0740166374828625,0.12924910308522694
75,126,8254,4870.706666666666,0,6,0,0,0.07322191544892796,0.12777794727031583
76,127,8268,4875.256666666666,1,14,0,0,0.07475426130005781,0.13061456109639016
77,127,8276,4879.856666666666,0,8,0,0,0.07459652888265081,0.1303225735168846
78,127,8281,4884.466666666666,0,5,0,0,0.07396379915183807,0.12915129100173411
79,128,8291,4889.133333333333,1,10,0,0,0.07412225337881878,0.1294446147645922
80,129,8295,4893.786666666666,1,4,0,0,0.07406945554730904,0.12934687765208802
81,130,8308,4898.526666666667,1,13,0,0,0.07480679912046041,0.13071181688733055
82,132,8317,4903.339999999999,2,9,0,0,0.07501675300238311,0.13110047463313956
83,132,8328,4908.213333333333,0,11,0,0,0.07501675300238336,0.13110047463314
84,132,8338,4913.106666666666,0,10,0,0,0.07501675300238336,0.13110047463314
85,133,8346,4918.056666666666,1,8,0,0,0.07527875360352182,0.13158547906414436
86,133,8355,4923.046666666666,0,9,0,0,0.0755925116386232,0.13216629466771992
87,133,8363,4928.056666666666,0,8,0,0,0.07606184808927553,0.13303511045367283
88,133,8379,4933.13,0,16,0,0,0.07715101112780637,0.13505132300233977
89,133,8388,4938.273333333333,0,9,0,0,0.0774606976949826,0.13562460167670293
90,133,8400,4943.516666666666,0,12,0,0,0.07838584128996279,0.1373371883689891
91,134,8412,4948.796666666666,1,12,0,0,0.07940703990497472,0.13922758805152485
92,134,8424,4954.156666666666,0,12,0,0,0.07945791721736266,0.13932176998026286
93,138,8431,4959.503333333333,4,7,0,0,0.07940703990497448,0.1392275880515244
94,138,8446,4964.98,0,15,0,0,0.08052240479081643,0.14129230435167575
95,138,8457,4970.536666666666,0,11,0,0,0.08057290931728933,0.14138579619489558
96,138,8473,4976.179999999999,0,16,0,0,0.08132849058639756,0.14278449628149473
97,140,8487,4981.8966666666665,2,14,0,0,0.08188024603408484,0.14380588262868754
98,140,8497,4987.673333333333,0,10,0,0,0.08157953141358709,0.14324921244252975
99,140,8504,4993.45,0,7,0,0,0.08082518244361608,0.1418527935359709
100,140,8513,4999.21,0,9,0,0,0.08042134564611171,0.14110522793749072
101,140,8525,5005.013333333333,0,12,0,0,0.08057290931728933,0.14138579619489558
102,140,8533,5010.789999999999,0,8,0,0,0.08072432299937757,0.1416660867988422
