,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4734.0128,0,0,0,0,0.015,0.02
1,110,7790,4734.412800000001,0,2,0,0,0.016951801330622955,0.023613092068029626
2,110,7791,4734.7628,0,1,0,0,0.017592384947456,0.024798913364785527
3,110,7793,4735.2128,0,2,0,0,0.018706752727659155,0.02686178386515286
4,110,7794,4735.6128,0,1,0,0,0.019211341771698684,0.0277958577609074
5,110,7795,4735.9842285714285,0,1,0,0,0.019691192354021687,0.028684136862693478
6,110,7796,4736.3378,0,1,0,0,0.020150834592028103,0.029535007132231776
7,111,7802,4737.057244444444,1,6,0,0,0.02287311523438021,0.034574377913218844
8,111,7802,4737.6328,0,0,0,0,0.02287311523438021,0.034574377913218844
9,111,7807,4738.3764363636365,0,5,0,0,0.024667766277954757,0.03789656001684038
10,112,7807,4739.029466666667,1,0,0,0,0.024896021245131912,0.03831909595759257
11,112,7808,4739.628184615385,0,1,0,0,0.025234242804282443,0.03894519740215577
12,112,7813,4740.355657142857,0,5,0,0,0.0268595633247872,0.04195392200363311
13,112,7816,4741.106133333334,0,3,0,0,0.027789913431828683,0.04367614677082765
14,112,7821,4741.9503,0,5,0,0,0.029279591767141785,0.04643377629632729
15,112,7825,4742.836329411765,0,4,0,0,0.030424753156775685,0.04855365062399743
16,112,7831,4743.823911111112,0,6,0,0,0.03207756248904782,0.051613261351126
17,112,7833,4744.770694736842,0,2,0,0,0.03261327413876018,0.05260494809811116
18,112,7840,4745.8328,0,7,0,0,0.03443630575258788,0.05597966711297411
19,112,7843,4746.879466666667,0,3,0,0,0.03519530552111006,0.057384695381096334
20,112,7846,4747.9128,0,3,0,0,0.03594226911367679,0.058767442789383215
21,112,7848,4748.908452173913,0,2,0,0,0.0364339498668413,0.059677621403051065
22,112,7850,4749.871133333333,0,2,0,0,0.03692084317864884,0.06057893770777306
23,112,7855,4750.8768,0,5,0,0,0.03811838208663567,0.0627957710820095
24,113,7863,4752.005107692308,1,8,0,0,0.040133798003357854,0.06652662378112383
25,113,7867,4753.138725925926,0,4,0,0,0.04104078824285794,0.06820560574957657
26,113,7872,4754.298514285714,0,5,0,0,0.04215585797483437,0.0702697756733762
27,113,7877,4755.481765517241,0,5,0,0,0.04325163504555528,0.07229823183868007
28,113,7881,4756.666133333333,0,4,0,0,0.044115291090484454,0.0738969953790469
29,113,7887,4757.890219354838,0,6,0,0,0.045390620993621886,0.07625783215318525
30,113,7899,4759.2628,0,12,0,0,0.047466890622922336,0.08010133467109876
31,113,7910,4760.752193939394,0,11,0,0,0.0494877111141151,0.08384219208987609
32,114,7919,4762.324564705883,1,9,0,0,0.05100317883868149,0.08664756184194922
33,114,7927,4763.9442285714285,0,8,0,0,0.05236335109780286,0.08916545519691317
34,114,7930,4765.523911111111,0,3,0,0,0.05274807164277272,0.08987763359726039
35,115,7938,4767.158745945946,1,8,0,0,0.054207601638706054,0.09257945379208264
36,115,7946,4768.833852631579,0,8,0,0,0.0544590484434798,0.09304492148164992
37,116,7953,4770.541005128205,1,7,0,0,0.055891818847716906,0.09569720545217292
38,117,7960,4772.2778,1,7,0,0,0.05638513435583611,0.0966104102550678
39,118,7967,4774.042068292682,1,7,0,0,0.05766829670527004,0.09898574612250173
40,118,7973,4775.808038095238,0,6,0,0,0.0585747903226002,0.10066380876499913
41,119,7978,4777.570939534884,1,5,0,0,0.058695044110682534,0.10088641749113014
42,120,7993,4779.4673454545455,1,15,0,0,0.06095374001813035,0.1050676198190771
43,120,8004,4781.426133333333,0,11,0,0,0.06200712043298296,0.10701759308828632
44,120,8016,4783.456278260869,0,12,0,0,0.06339610840153684,0.10958882886573545
45,120,8023,4785.489395744681,0,7,0,0,0.06356852665470267,0.10990800224323191
46,120,8031,4787.5378,0,8,0,0,0.06459759511764404,0.11181297025538414
47,121,8037,4789.584228571429,1,6,0,0,0.06454066583904772,0.1117075851827808
48,121,8043,4791.620800000001,0,6,0,0,0.06505202663890663,0.11265419466648365
49,121,8057,4793.742211764706,0,14,0,0,0.06690825464455402,0.11609036543777747
50,121,8070,4795.932030769231,0,13,0,0,0.06873645414517393,0.11947465102608439
51,121,8080,4798.1524226415095,0,10,0,0,0.0700494538749901,0.12190522059005211
52,122,8088,4800.3868740740745,1,8,0,0,0.07064676959401718,0.12301094618448921
53,122,8098,4802.649163636364,0,10,0,0,0.07086329427311051,0.12341176751209586
54,122,8110,4804.959228571429,0,12,0,0,0.07215499034778664,0.1258029006507477
55,122,8120,4807.293501754386,0,10,0,0,0.07295597473287513,0.12728564906523676
56,122,8128,4809.630041379311,0,8,0,0,0.07343429370720886,0.12817109291909545
57,123,8132,4811.934833898305,1,4,0,0,0.07354035883692019,0.12836743620098684
58,124,8145,4814.299466666666,1,13,0,0,0.07475426130005805,0.13061456109639064
59,125,8156,4818.079466666666,1,11,0,0,0.07470170367523163,0.13051726864433855
60,125,8163,4821.9294666666665,0,7,0,0,0.07406945554730904,0.12934687765208802
61,126,8179,4825.926133333333,1,16,0,0,0.07517401204070143,0.1313915859132986
62,127,8192,4830.049466666666,1,13,0,0,0.07606184808927553,0.13303511045367283
63,127,8201,4834.242800000001,0,9,0,0,0.07699591969658004,0.13476422430474624
64,127,8211,4838.526133333334,0,10,0,0,0.0772026714144482,0.1351469543398992
65,127,8221,4842.899466666667,0,10,0,0,0.07751224811763016,0.13572002963868307
66,128,8233,4847.3894666666665,1,12,0,0,0.0782833344192781,0.13714743198570434
67,128,8240,4851.8828,0,7,0,0,0.07818075633847031,0.13695754378125166
68,128,8254,4856.5161333333335,0,14,0,0,0.0791523943857364,0.13875619903703654
69,128,8267,4861.229466666667,0,13,0,0,0.08021902631764181,0.14073070295411533
70,128,8276,4866.026133333334,0,9,0,0,0.08072432299937711,0.14166608679884138
71,129,8291,4870.969466666666,1,15,0,0,0.08072432299937735,0.1416660867988418
72,129,8302,4875.9728000000005,0,11,0,0,0.08072432299937757,0.1416660867988422
73,130,8315,4881.0828,1,13,0,0,0.08097634756613716,0.1421326240169601
74,131,8325,4886.249466666666,1,10,0,0,0.08152935574013481,0.14315632935811223
75,131,8340,4891.526133333334,0,15,0,0,0.08257967255864364,0.14510063142735052
76,131,8351,4896.8528,0,11,0,0,0.08322637310187782,0.14629777611953296
77,131,8361,4902.259466666667,0,10,0,0,0.08382100403519696,0.14739853175222573
78,131,8373,4907.716133333333,0,12,0,0,0.08352396500016297,0.1468486656544124
79,132,8384,4913.259466666667,1,11,0,0,0.08332563210620612,0.14648152018999358
80,132,8403,4918.962799999999,0,19,0,0,0.08465965073260469,0.14895099904627968
81,133,8412,4924.742800000001,1,9,0,0,0.08480719758156459,0.14922413153229436
82,134,8430,4930.689466666667,1,18,0,0,0.08608039862595163,0.15158102745315818
83,135,8439,4936.6828,1,9,0,0,0.08573858140867013,0.15094826987834828
84,135,8450,4942.699466666667,0,11,0,0,0.08588516098953122,0.15121961179857088
85,136,8468,4948.8628,1,18,0,0,0.0874406990065157,0.15409915798111773
86,136,8477,4955.066133333333,0,9,0,0,0.08806855236856682,0.15526141356867212
87,137,8487,4961.326133333334,1,10,0,0,0.08763413223414249,0.1544572333904672
88,137,8500,4967.676133333333,0,13,0,0,0.08782734494068756,0.1548149005805176
89,137,8518,4974.146133333333,0,18,0,0,0.08941307480756427,0.15775033663856217
90,138,8533,4980.6528,1,15,0,0,0.0892695191531729,0.1574845924831174
91,138,8546,4987.1794666666665,0,13,0,0,0.08917374928873498,0.15730730736084197
92,138,8560,4993.749466666666,0,14,0,0,0.08989073952953265,0.15863456936811496
93,139,8578,5000.426133333333,1,18,0,0,0.09112661167647317,0.16092236361292386
94,139,8597,5007.2627999999995,0,19,0,0,0.0924009818476976,0.16328142377193855
95,140,8618,5014.229466666667,1,21,0,0,0.09366642209439133,0.16562395323237047
96,141,8628,5021.2228000000005,1,10,0,0,0.09417947310658464,0.16657369156565602
97,141,8647,5028.329466666666,0,19,0,0,0.09487680171728587,0.16786455679492118
98,141,8660,5035.489466666667,0,13,0,0,0.09487680171728587,0.16786455679492118
99,142,8676,5042.739466666667,1,16,0,0,0.09594100476740318,0.16983456446876807
100,143,8688,5050.0561333333335,1,12,0,0,0.09552529572268963,0.16906502146841398
101,145,8703,5057.479466666667,2,15,0,0,0.09626370235419916,0.17043192859232503
102,146,8713,5064.8528,1,10,0,0,0.09584870418952364,0.16966370154302932
103,148,8724,5072.239466666667,2,11,0,0,0.0960793711258691,0.17009070241908697
104,149,8738,5079.6528,1,14,0,0,0.0960332602582732,0.17000534393134192
105,149,8756,5087.176133333333,0,18,0,0,0.09699924454317836,0.17179353318138105
106,149,8771,5094.769466666667,0,15,0,0,0.09768625614332878,0.17306529999709255
107,149,8784,5102.426133333333,0,13,0,0,0.09782336473764898,0.17331910962762442
108,150,8796,5110.149466666667,1,12,0,0,0.09796037612620144,0.17357273931495057
109,151,8804,5117.819466666667,1,8,0,0,0.09653986376789431,0.17094314692057533
110,151,8823,5125.549466666666,0,19,0,0,0.09782336473764898,0.17331910962762442
111,152,8834,5133.296133333333,1,11,0,0,0.09686154636582155,0.17153863213966938
112,152,8847,5141.086133333333,0,13,0,0,0.09732015571364491,0.1723875903665889
113,152,8863,5148.936133333334,0,16,0,0,0.09800602503931166,0.17365724265209095
