,Mittelwert,Std.Abw.,Min,Max
Anbieter,443.0,46.57252408878007,395.0,488.0
Nachfrager,16764.666666666668,463.3123496447438,16318.0,17243.0
Netzwerkeffekte,9390.592222222222,242.8765802792605,9166.46,9648.646666666666
Neue Anbieter,2.6666666666666665,1.5275252316519465,1.0,4.0
Neue Nachfrager,49.666666666666664,4.618802153517007,47.0,55.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.19935103357281905,0.0011240428242838515,0.19805310071845716,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,32052.0,1.0,32051.0,32053.0
