,Mittelwert,Std.Abw.,Min,Max
Anbieter,402.6666666666667,37.634204300520736,373.0,445.0
Nachfrager,16087.0,926.3174401899167,15175.0,17027.0
Netzwerkeffekte,8999.133333333331,506.86915150208483,8499.553333333333,9512.989999999998
Neue Anbieter,2.0,1.0,1.0,3.0
Neue Nachfrager,45.333333333333336,9.073771725877467,37.0,55.0
Abgewanderte Anbieter,0.0,0.0,0.0,0.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.1986882042578871,0.002272096874492053,0.19606461277366133,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,32055.0,1.0,32054.0,32056.0
