,Mittelwert,Std.Abw.,Min,Max
Anbieter,435.0,33.04542328371661,397.0,457.0
Nachfrager,16631.666666666668,138.12072014485491,16497.0,16773.0
Netzwerkeffekte,9292.729111111112,102.39295192396568,9179.301333333335,9378.338
Neue Anbieter,1.6666666666666667,2.0816659994661326,0.0,4.0
Neue Nachfrager,52.0,1.0,51.0,53.0
Abgewanderte Anbieter,0.3333333333333333,0.5773502691896258,0.0,1.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,30043.0,1.0,30042.0,30044.0
