,Mittelwert,Std.Abw.,Min,Max
Anbieter,419.6666666666667,27.00617213403879,393.0,447.0
Nachfrager,16493.0,287.31689821519376,16219.0,16792.0
Netzwerkeffekte,9220.11391111111,158.93858664882427,9074.7028,9389.789466666665
Neue Anbieter,1.6666666666666667,1.5275252316519465,0.0,3.0
Neue Nachfrager,47.0,6.557438524302,40.0,53.0
Abgewanderte Anbieter,0.3333333333333333,0.5773502691896258,0.0,1.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,31043.0,1.0,31042.0,31044.0
