,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4721.6,0,0,0,0,0.015,0.02
1,110,7788,4721.6,0,0,0,0,0.015,0.02
2,110,7789,4721.75,0,1,0,0,0.016201474652077174,0.02222411905722657
3,110,7791,4722.08,0,2,0,0,0.017592384947456,0.024798913364785527
4,110,7792,4722.400000000001,0,1,0,0,0.01817071061601957,0.025869485381025542
5,110,7795,4722.885714285714,0,3,0,0,0.019691192354021687,0.028684136862693478
6,110,7797,4723.4,0,2,0,0,0.02059350936299568,0.03035446794445968
7,110,7799,4723.933333333333,0,2,0,0,0.02143708868292111,0.03191606630068356
8,111,7803,4724.64,1,4,0,0,0.023245143812130182,0.03526306148067996
9,111,7806,4725.381818181818,0,3,0,0,0.024320975219617753,0.03725459507784676
10,111,7807,4726.05,0,1,0,0,0.024667766277954757,0.03789656001684038
11,111,7812,4726.846153846154,0,5,0,0,0.026329009429792674,0.040971783074024375
12,112,7813,4727.599999999999,1,1,0,0,0.0268595633247872,0.04195392200363311
13,112,7816,4728.373333333334,0,3,0,0,0.027789913431828683,0.04367614677082765
14,112,7818,4729.125,0,2,0,0,0.028394275639409508,0.04479491652683053
15,112,7820,4729.858823529412,0,2,0,0,0.028987166172161512,0.045892450403607024
16,112,7823,4730.611111111111,0,3,0,0,0.02985690283423175,0.0475024701252339
17,112,7828,4731.442105263158,0,5,0,0,0.03126016371968739,0.050100127322750904
18,112,7832,4732.3099999999995,0,4,0,0,0.03234630468100058,0.05211074552989714
19,112,7835,4733.1809523809525,0,3,0,0,0.03314209079202139,0.0535838711193032
20,112,7842,4734.163636363636,0,7,0,0,0.034943684540971805,0.05691890526546135
21,112,7848,4735.217391304348,0,6,0,0,0.0364339498668413,0.059677621403051065
22,112,7850,4736.233333333334,0,2,0,0,0.03692084317864884,0.06057893770777306
23,112,7853,4737.24,0,3,0,0,0.03764263094302229,0.061915080687768964
24,112,7862,4738.376923076923,0,9,0,0,0.03975173472598996,0.06581936440216708
25,112,7867,4739.540740740741,0,5,0,0,0.04089057312516775,0.06792753387734801
26,112,7875,4740.792857142857,0,8,0,0,0.0426695340798172,0.07122067115199411
27,112,7882,4742.103448275862,0,7,0,0,0.04418676475137558,0.07402930439697157
28,114,7887,4743.453333333334,2,5,0,0,0.045530901072215434,0.07651751270125987
29,114,7896,4744.890322580645,0,9,0,0,0.04739861112115431,0.07997493854543965
30,114,7903,4746.368750000001,0,7,0,0,0.04881987734826485,0.0826059264698574
31,114,7911,4747.90303030303,0,8,0,0,0.050215986280305956,0.08519034427371915
32,114,7919,4749.488235294118,0,8,0,0,0.05139401597584796,0.08737106301905767
33,114,7922,4751.034285714286,0,3,0,0,0.0517830624865594,0.08809124946421062
34,115,7932,4752.672222222222,1,10,0,0,0.05325843506686826,0.09082239678113603
35,116,7938,4754.32972972973,1,6,0,0,0.05414463197645449,0.09246288701674645
36,116,7942,4755.963157894737,0,4,0,0,0.05452180282258927,0.0931610897339393
37,117,7950,4757.646153846154,1,8,0,0,0.0552715621028586,0.09454901240105221
38,117,7953,4759.29,0,3,0,0,0.05527156210285888,0.09454901240105273
39,117,7956,4760.89756097561,0,3,0,0,0.0556442032378084,0.09523882990849235
40,117,7961,4762.5,0,5,0,0,0.0556442032378084,0.09523882990849235
41,117,7970,4764.153488372093,0,9,0,0,0.05699825904358138,0.09774540074372501
42,117,7976,4765.813636363637,0,6,0,0,0.05754680868930415,0.09876085264591675
43,117,7976,4767.4,0,0,0,0,0.05718144834509633,0.09808451303034299
44,117,7984,4769.021739130435,0,8,0,0,0.05827353125969044,0.10010613073007643
45,118,7991,4770.672340425532,1,7,0,0,0.05911482143033761,0.1016634915099804
46,118,7997,4772.329166666667,0,6,0,0,0.05929420231443074,0.10199555381535151
47,118,8005,4774.016326530613,0,8,0,0,0.06000864092427866,0.10331809235133649
48,119,8009,4775.692,1,4,0,0,0.0603048907282068,0.10386649745790871
49,119,8015,4777.3725490196075,0,6,0,0,0.06012724083994321,0.10353763949880145
50,119,8019,4779.034615384616,0,4,0,0,0.05977103817161252,0.10287825218546981
51,119,8035,4780.815094339623,0,16,0,0,0.06223982944341409,0.10744837416551785
52,119,8043,4782.618518518519,0,8,0,0,0.06310815786850335,0.10905578701840964
53,120,8051,4784.450909090909,1,8,0,0,0.06305047915871627,0.10894901463048462
54,120,8058,4786.292857142857,0,7,0,0,0.0633961084015371,0.10958882886573595
55,120,8065,4788.143859649123,0,7,0,0,0.06322342648824102,0.10926916741175839
56,120,8079,4790.075862068966,0,14,0,0,0.06442672306915513,0.11149665914658588
57,121,8093,4792.091525423729,1,14,0,0,0.06584306099510194,0.11411852400834137
58,122,8099,4794.1066666666675,1,6,0,0,0.06544820830121495,0.11338758940247763
59,122,8109,4797.3966666666665,0,10,0,0,0.06595563463993213,0.1143269155781306
60,122,8124,4800.836666666667,0,15,0,0,0.06713131073001169,0.11650327742858733
61,122,8137,4804.406666666667,0,13,0,0,0.06796416091541116,0.1180450144647863
62,122,8148,4808.076666666667,0,11,0,0,0.0692851901974855,0.12049044799626887
63,122,8162,4811.866666666667,0,14,0,0,0.06983155921748313,0.121501863216352
64,122,8172,4815.746666666667,0,10,0,0,0.07037560482452013,0.12250897743263565
65,122,8179,4819.666666666667,0,7,0,0,0.07086329427311051,0.12341176751209586
66,122,8191,4823.6866666666665,0,12,0,0,0.07140304059600625,0.12441092307542377
67,122,8201,4827.786666666667,0,10,0,0,0.07252937774377036,0.12649595076275233
68,122,8211,4831.9400000000005,0,10,0,0,0.07364634167107188,0.1285636271408191
69,122,8217,4836.123333333334,0,6,0,0,0.07380516222138925,0.12885762902594364
70,122,8231,4840.4366666666665,0,14,0,0,0.07459652888265081,0.1303225735168846
71,123,8241,4844.806666666667,1,10,0,0,0.07533109514080477,0.13168237150407583
72,123,8252,4849.27,0,11,0,0,0.07704763529737357,0.13485995803752365
73,123,8263,4853.8133333333335,0,11,0,0,0.07751224811763016,0.13572002963868307
74,123,8271,4858.416666666667,0,8,0,0,0.07756378032779376,0.13581542388648324
75,124,8280,4863.096666666666,1,9,0,0,0.07812944052717109,0.13686255012187623
76,125,8291,4867.863333333333,1,11,0,0,0.07869293677283885,0.1379056705376907
77,127,8309,4872.7733333333335,2,18,0,0,0.08092597569982063,0.14203937774861067
78,127,8320,4877.753333333333,0,11,0,0,0.08167983418159964,0.14343488868417464
79,127,8328,4882.783333333334,0,8,0,0,0.0822803000146784,0.14454644563650398
80,128,8340,4887.87,1,12,0,0,0.08178007232842446,0.14362044530181003
81,129,8355,4893.053333333333,1,15,0,0,0.08292822385341274,0.14574585484157465
82,129,8366,4898.326666666666,0,11,0,0,0.08327601033449568,0.14638966246505217
83,129,8383,4903.740000000001,0,17,0,0,0.08475803016152121,0.14913311488394135
84,129,8392,4909.153333333334,0,9,0,0,0.08505281251337514,0.14967880350530252
85,131,8400,4914.61,2,8,0,0,0.08436415432751551,0.14840398859977164
86,131,8413,4920.116666666667,0,13,0,0,0.0841174946303952,0.14794738260141244
87,131,8427,4925.693333333333,0,14,0,0,0.08520000443148085,0.1499512789583324
88,132,8442,4931.363333333333,1,15,0,0,0.08603161078355133,0.1514907134628831
89,133,8456,4937.09,1,14,0,0,0.08598280857558639,0.15140037287968233
90,133,8466,4942.846666666666,0,10,0,0,0.08554293921237059,0.15058610531962438
91,134,8476,4948.63,1,10,0,0,0.08549399233274396,0.1504954969263627
92,135,8491,4954.490000000001,1,15,0,0,0.08573858140867013,0.15094826987834828
93,136,8496,4960.376666666666,1,5,0,0,0.08510189120110569,0.1497696558961511
94,136,8512,4966.316666666667,0,16,0,0,0.08642151281950619,0.1522124836201805
95,136,8527,4972.34,0,15,0,0,0.08685906520054847,0.15302246208084014
96,137,8542,4978.48,1,15,0,0,0.08768245604207424,0.15454668837976138
97,138,8554,4984.66,1,12,0,0,0.08806855236856682,0.15526141356867212
98,139,8572,4990.996666666667,1,18,0,0,0.08989073952953265,0.15863456936811496
99,139,8582,4997.403333333334,0,10,0,0,0.08931738424112527,0.1575731983093882
100,139,8600,5003.9400000000005,0,18,0,0,0.09036710210158089,0.15951639161281253
101,139,8615,5010.536666666667,0,15,0,0,0.09093703979148207,0.16057143615773856
102,139,8630,5017.223333333333,0,15,0,0,0.09150515006873912,0.16162309787367168
103,139,8644,5024.05,0,14,0,0,0.09235394387484572,0.16319434906615737
104,139,8656,5030.916666666667,0,12,0,0,0.0926829529616544,0.1638033967715807
105,140,8668,5037.833333333333,1,12,0,0,0.0928237740999637,0.16406407890651598
106,140,8681,5044.820000000001,0,13,0,0,0.091930048672644,0.16240965219731057
107,140,8691,5051.826666666666,0,10,0,0,0.09178852780218205,0.1621476747478109
108,140,8710,5058.9766666666665,0,19,0,0,0.09333918745116507,0.16501819030185344
109,141,8724,5066.213333333333,1,14,0,0,0.0936197100469291,0.165537481865885
110,142,8746,5073.636666666667,1,22,0,0,0.09459818455769851,0.1673487924937458
111,142,8753,5080.97,0,7,0,0,0.09403969172832385,0.1663149341905439
112,143,8763,5088.33,1,10,0,0,0.09315193302595164,0.1646715528301871
113,143,8774,5095.713333333333,0,11,0,0,0.09343274274928866,0.1651913759126372
114,143,8785,5103.136666666667,0,11,0,0,0.09366642209439133,0.16562395323237047
115,143,8798,5110.62,0,13,0,0,0.09366642209439133,0.16562395323237047
116,145,8811,5118.1066666666675,2,13,0,0,0.09371312225734661,0.16571040259875944
117,146,8833,5125.673333333334,1,22,0,0,0.09469110331993018,0.1675207997762099
118,146,8845,5133.293333333333,0,12,0,0,0.09431914880767514,0.1668322533156603
119,147,8860,5140.97,1,15,0,0,0.09510866488131767,0.16829377207707502
120,148,8873,5148.633333333333,1,13,0,0,0.09552529572268963,0.16906502146841398
121,150,8888,5156.33,2,15,0,0,0.095617754860634,0.1692361779138382
122,151,8902,5164.0633333333335,1,14,0,0,0.09686154636582175,0.17153863213966977
123,151,8919,5171.826666666666,0,17,0,0,0.09699924454317814,0.1717935331813807
124,151,8929,5179.59,0,10,0,0,0.09630975715987632,0.17051718330061733
125,151,8941,5187.403333333334,0,12,0,0,0.09580253696308164,0.16957823872617214
126,152,8959,5195.283333333334,1,18,0,0,0.09663182849991979,0.17111338814267435
127,152,8977,5203.243333333333,0,18,0,0,0.0965398637678945,0.17094314692057572
128,152,8996,5211.293333333333,0,19,0,0,0.09777767268827559,0.17323452643845816
129,152,9008,5219.403333333334,0,12,0,0,0.09695335616908073,0.17170858656418925
130,152,9035,5227.6433333333325,0,27,0,0,0.09859848604066064,0.17475398139850204
131,153,9048,5235.913333333333,1,13,0,0,0.09841638252630319,0.17441687907514455
132,153,9060,5244.193333333333,0,12,0,0,0.09814290728334417,0.17391063327254416
133,153,9080,5252.5633333333335,0,20,0,0,0.0992345152781189,0.1759313718207956
