,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4717.400000000001,0,0,0,0,0.015,0.02
1,110,7788,4717.400000000001,0,0,0,0,0.015,0.02
2,110,7791,4717.85,0,3,0,0,0.017592384947456,0.024798913364785527
3,110,7798,4718.960000000001,0,7,0,0,0.021021637571482323,0.031147000775497924
4,110,7801,4720.0,0,3,0,0,0.02223560681921071,0.03339424929971089
5,110,7802,4720.828571428572,0,1,0,0,0.022620864462644327,0.034107421954016594
6,110,7806,4721.75,0,4,0,0,0.024086682768268565,0.036820882801762406
7,110,7811,4722.8,0,5,0,0,0.025787581702843072,0.03996951496663019
8,110,7813,4723.76,0,2,0,0,0.026435959768477305,0.04116976501732553
9,111,7816,4724.745454545455,1,3,0,0,0.027585736946281744,0.04329818389682327
10,111,7821,4725.816666666667,0,5,0,0,0.029084930102901953,0.046073426857078825
11,111,7827,4727.0,0,6,0,0,0.030798381880865686,0.04924529631468191
12,111,7833,4728.271428571429,0,6,0,0,0.03243548897071617,0.052275839714796296
13,111,7840,4729.653333333334,0,7,0,0,0.03426591746059347,0.05566425151373705
14,111,7845,4731.05,0,5,0,0,0.035528726401922006,0.058001910012973126
15,111,7850,4732.458823529412,0,5,0,0,0.03675906497113227,0.060279460732741166
16,111,7852,4733.777777777777,0,2,0,0,0.037242876239839184,0.06117507168963625
17,111,7857,4735.115789473684,0,5,0,0,0.03843322889667697,0.063378602179702
18,112,7861,4736.46,1,4,0,0,0.03952128012357772,0.06539275658970553
19,114,7869,4737.942857142857,2,8,0,0,0.04163798312803724,0.06931110766150556
20,114,7873,4739.400000000001,0,4,0,0,0.04252318938034934,0.07094976403427186
21,114,7880,4740.913043478261,0,7,0,0,0.04404374215437223,0.07376454701481686
22,114,7882,4742.35,0,2,0,0,0.044471913441463534,0.07455715959114598
23,114,7884,4743.72,0,2,0,0,0.04489743512766526,0.07534486733837828
24,114,7892,4745.169230769231,0,8,0,0,0.04657437184770398,0.07844914166522572
25,114,7899,4746.666666666667,0,7,0,0,0.04801093304876747,0.0811084429984946
26,114,7906,4748.2071428571435,0,7,0,0,0.04942117837171366,0.08371902949127381
27,114,7909,4749.703448275862,0,3,0,0,0.05001801070948596,0.08482386027077758
28,115,7914,4751.213333333333,1,5,0,0,0.051133659055329406,0.08688910130009421
29,116,7919,4752.735483870968,1,5,0,0,0.05223473357778364,0.08892736388398083
30,116,7923,4754.2375,0,4,0,0,0.05300362052897351,0.09035069488645994
31,116,7932,4755.812121212121,0,9,0,0,0.05414463197645449,0.09246288701674645
32,116,7939,4757.417647058824,0,7,0,0,0.05414463197645421,0.09246288701674592
33,117,7943,4759.011428571428,1,4,0,0,0.054459048443480075,0.09304492148165046
34,118,7952,4760.677777777778,1,9,0,0,0.05607710954177474,0.0960402077477838
35,118,7957,4762.335135135135,0,5,0,0,0.056262042720780225,0.09638254822665157
36,118,7967,4764.063157894737,0,10,0,0,0.05718144834509661,0.0980845130303435
37,121,7976,4765.871794871795,3,9,0,0,0.05881515622886861,0.1011087639639414
38,121,7981,4767.665,0,5,0,0,0.05905495833072253,0.10155267547199878
39,121,7989,4769.487804878048,0,8,0,0,0.059592480940336354,0.10254771459135548
40,121,8000,4771.380952380952,0,11,0,0,0.060482242572251994,0.10419480369016526
41,122,8010,4773.3348837209305,1,10,0,0,0.06130600628574059,0.10571972023389273
42,122,8020,4775.336363636364,0,10,0,0,0.061832264226091484,0.10669390667397093
43,122,8033,4777.422222222222,0,13,0,0,0.06322342648824128,0.10926916741175888
44,122,8049,4779.626086956522,0,16,0,0,0.06510870612210985,0.11275911732842088
45,122,8062,4781.902127659574,0,13,0,0,0.06696405712000751,0.11619366462006316
46,122,8077,4784.270833333333,0,15,0,0,0.0686264189496335,0.11927095852625177
47,123,8089,4786.697959183673,1,12,0,0,0.06994055284120394,0.12170362760248744
48,123,8098,4789.136,0,9,0,0,0.06988606762441418,0.12160276687372407
49,123,8105,4791.560784313726,0,7,0,0,0.0703756048245199,0.12250897743263521
50,123,8112,4793.973076923077,0,7,0,0,0.0703756048245199,0.12250897743263521
51,123,8123,4796.418867924529,0,11,0,0,0.07183324846183303,0.12520730568016694
52,124,8137,4798.937037037037,1,14,0,0,0.07385806155499179,0.1289555540348289
53,124,8145,4801.450909090909,0,8,0,0,0.07385806155499179,0.1289555540348289
54,124,8159,4804.025000000001,0,14,0,0,0.07496429407763222,0.13100336489049255
55,124,8175,4806.677192982457,0,16,0,0,0.07637388159865566,0.13361273368817536
56,125,8185,4809.348275862069,1,10,0,0,0.07756378032779376,0.13581542388648324
57,125,8199,4812.0711864406785,0,14,0,0,0.07884624668670956,0.13818947136570828
58,125,8211,4814.823333333334,0,12,0,0,0.07981357807666921,0.1399801543196459
59,126,8217,4819.22,1,6,0,0,0.08021902631764181,0.14073070295411533
60,126,8241,4823.8566666666675,0,24,0,0,0.08247994497409017,0.1449160199409966
61,126,8250,4828.583333333333,0,9,0,0,0.08277893880300662,0.14546950467056333
62,128,8261,4833.403333333334,2,11,0,0,0.08391989495472042,0.1475815944396645
63,128,8271,4838.253333333333,0,10,0,0,0.08396931761375796,0.14767308357564765
64,128,8277,4843.133333333333,0,6,0,0,0.0841174946303952,0.14794738260141244
65,129,8291,4848.15,1,14,0,0,0.08480719758156481,0.14922413153229477
66,129,8305,4853.266666666666,0,14,0,0,0.08524903901231327,0.15004204970035676
67,129,8316,4858.443333333334,0,11,0,0,0.0861291721210941,0.1516713148843964
68,132,8331,4863.77,3,15,0,0,0.08744069900651592,0.15409915798111815
69,133,8344,4869.196666666667,1,13,0,0,0.08782734494068734,0.1548149005805172
70,133,8355,4874.683333333333,0,11,0,0,0.08787561378829435,0.15490425382958287
71,133,8366,4880.22,0,11,0,0,0.08802033821143775,0.15517216156030597
72,134,8379,4885.833333333333,1,13,0,0,0.08811675289496534,0.1553506403444064
73,134,8396,4891.546666666666,0,17,0,0,0.0882612728564297,0.1556181695843174
74,136,8407,4897.333333333333,2,11,0,0,0.08816493980731663,0.15543984191839225
75,136,8414,4903.14,0,7,0,0,0.08700466227768582,0.15329198523172624
76,138,8429,4909.09,2,15,0,0,0.0875374432536659,0.15427824683945676
77,138,8445,4915.15,0,16,0,0,0.0885499469905396,0.15615255093134972
78,138,8460,4921.3133333333335,0,15,0,0,0.08969983076312525,0.15828116713459778
79,139,8474,4927.53,1,14,0,0,0.09079472768386879,0.16030799400349122
80,139,8484,4933.806666666667,0,10,0,0,0.09065230096745343,0.16004433969027707
81,139,8489,4940.0633333333335,0,5,0,0,0.08926951915317267,0.15748459248311703
82,139,8509,4946.5,0,20,0,0,0.09098445176102268,0.160659203190371
83,141,8531,4953.15,2,22,0,0,0.09230689364027919,0.16310725166200865
84,141,8540,4959.8099999999995,0,9,0,0,0.09131598145877076,0.16127291694415122
85,141,8554,4966.54,0,14,0,0,0.09178852780218205,0.1621476747478109
86,141,8562,4973.28,0,8,0,0,0.09093703979148185,0.16057143615773814
87,142,8582,4980.196666666667,1,20,0,0,0.09216566922752807,0.162845823002484
88,142,8603,4987.266666666666,0,21,0,0,0.09417947310658485,0.16657369156565638
89,143,8612,4994.376666666666,1,9,0,0,0.09216566922752807,0.162845823002484
90,146,8627,5001.616666666667,3,15,0,0,0.09329239184343932,0.16493156425214242
