,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4724.3,0,0,0,0,0.015,0.02
1,110,7788,4724.3,0,0,0,0,0.015,0.02
2,110,7791,4724.75,0,3,0,0,0.017592384947456,0.024798913364785527
3,110,7798,4725.86,0,7,0,0,0.021021637571482323,0.031147000775497924
4,110,7801,4726.900000000001,0,3,0,0,0.02223560681921071,0.03339424929971089
5,110,7802,4727.728571428571,0,1,0,0,0.022620864462644327,0.034107421954016594
6,110,7806,4728.65,0,4,0,0,0.024086682768268565,0.036820882801762406
7,110,7811,4729.7,0,5,0,0,0.025787581702843072,0.03996951496663019
8,110,7813,4730.66,0,2,0,0,0.026435959768477305,0.04116976501732553
9,111,7816,4731.645454545454,1,3,0,0,0.027585736946281744,0.04329818389682327
10,111,7821,4732.716666666666,0,5,0,0,0.029084930102901953,0.046073426857078825
11,111,7827,4733.9,0,6,0,0,0.030798381880865686,0.04924529631468191
12,111,7833,4735.171428571428,0,6,0,0,0.03243548897071617,0.052275839714796296
13,111,7840,4736.553333333332,0,7,0,0,0.03426591746059347,0.05566425151373705
14,111,7845,4737.95,0,5,0,0,0.035528726401922006,0.058001910012973126
15,111,7850,4739.358823529411,0,5,0,0,0.03675906497113227,0.060279460732741166
16,111,7852,4740.677777777778,0,2,0,0,0.037242876239839184,0.06117507168963625
17,111,7857,4742.015789473684,0,5,0,0,0.03843322889667697,0.063378602179702
18,112,7861,4743.36,1,4,0,0,0.03952128012357772,0.06539275658970553
19,114,7869,4744.842857142857,2,8,0,0,0.04163798312803724,0.06931110766150556
20,114,7873,4746.299999999999,0,4,0,0,0.04252318938034934,0.07094976403427186
21,114,7880,4747.813043478261,0,7,0,0,0.04404374215437223,0.07376454701481686
22,114,7882,4749.25,0,2,0,0,0.044471913441463534,0.07455715959114598
23,114,7884,4750.62,0,2,0,0,0.04489743512766526,0.07534486733837828
24,114,7892,4752.069230769231,0,8,0,0,0.04657437184770398,0.07844914166522572
25,114,7899,4753.566666666667,0,7,0,0,0.04801093304876747,0.0811084429984946
26,114,7906,4755.107142857143,0,7,0,0,0.04942117837171366,0.08371902949127381
27,114,7909,4756.603448275862,0,3,0,0,0.05001801070948596,0.08482386027077758
28,115,7914,4758.113333333333,1,5,0,0,0.051133659055329406,0.08688910130009421
29,116,7919,4759.635483870968,1,5,0,0,0.05223473357778364,0.08892736388398083
30,116,7923,4761.1375,0,4,0,0,0.05300362052897351,0.09035069488645994
31,116,7932,4762.712121212121,0,9,0,0,0.05414463197645449,0.09246288701674645
32,116,7939,4764.317647058823,0,7,0,0,0.05414463197645421,0.09246288701674592
33,117,7943,4765.911428571429,1,4,0,0,0.054459048443480075,0.09304492148165046
34,118,7952,4767.577777777778,1,9,0,0,0.05607710954177474,0.0960402077477838
35,118,7957,4769.235135135134,0,5,0,0,0.056262042720780225,0.09638254822665157
36,118,7967,4770.9631578947365,0,10,0,0,0.05718144834509661,0.0980845130303435
37,121,7976,4772.771794871795,3,9,0,0,0.05881515622886861,0.1011087639639414
38,121,7981,4774.565,0,5,0,0,0.05905495833072253,0.10155267547199878
39,121,7989,4776.387804878049,0,8,0,0,0.059592480940336354,0.10254771459135548
40,121,8000,4778.280952380952,0,11,0,0,0.060482242572251994,0.10419480369016526
