,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4733.63,0,0,0,0,0.015,0.02
1,110,7791,4734.23,0,3,0,0,0.017592384947456,0.024798913364785527
2,111,7792,4734.78,1,1,0,0,0.01853198913910148,0.026538268901979536
3,111,7794,4735.35,0,2,0,0,0.01953367862518956,0.028392554110227848
4,112,7796,4735.996666666666,1,2,0,0,0.0207377332842794,0.030621449167309866
5,112,7799,4736.715714285713,0,3,0,0,0.021973823334110562,0.03290964678473329
6,112,7800,4737.33,0,1,0,0,0.0223649826552397,0.03363374437516605
7,113,7803,4738.052222222223,1,3,0,0,0.023730293769987504,0.036161150562307814
8,113,7805,4738.75,0,2,0,0,0.024437177714084622,0.03746970422059414
9,114,7808,4739.520909090908,1,3,0,0,0.025677903050096568,0.03976648248373702
10,115,7811,4740.346666666666,1,3,0,0,0.026859563324786725,0.04195392200363223
11,116,7813,4741.168461538461,1,2,0,0,0.0276880012075501,0.04348749117181815
12,116,7814,4741.915714285714,0,1,0,0,0.02799270240312776,0.04405154113714399
13,116,7824,4742.963333333333,0,10,0,0,0.03089119682275599,0.04941711140932141
14,116,7827,4743.992499999999,0,3,0,0,0.03171639141765245,0.05094467674018925
15,116,7833,4745.112352941176,0,6,0,0,0.033316895545296155,0.05390746228485964
16,116,7837,4746.2411111111105,0,4,0,0,0.03435119197901183,0.055822108095382114
17,116,7844,4747.472105263158,0,7,0,0,0.03610670732416826,0.05907184384941225
18,116,7847,4748.67,0,3,0,0,0.036840018272922756,0.060429318060938944
19,116,7850,4749.839523809524,0,3,0,0,0.03756292333062068,0.06176752932707903
20,116,7856,4751.066363636363,0,6,0,0,0.03897989959082893,0.06439057584621972
21,116,7865,4752.421304347826,0,9,0,0,0.04104078824285794,0.06820560574957657
22,116,7869,4753.763333333333,0,4,0,0,0.04193443443787912,0.06985988578730222
23,116,7873,4755.094,0,4,0,0,0.04281554780401267,0.07149096558229136
24,116,7878,4756.437692307692,0,5,0,0,0.04390041707466562,0.07349922968947596
25,116,7886,4757.859629629629,0,8,0,0,0.04560093758046926,0.0766471613230095
26,116,7892,4759.308571428571,0,6,0,0,0.046850132370255954,0.07895961788074825
27,116,7899,4760.802413793103,0,7,0,0,0.04828151603756572,0.08160933478252605
28,116,7908,4762.376666666666,0,9,0,0,0.050084055745326574,0.08494612004762296
29,116,7914,4763.965483870968,0,6,0,0,0.05126393765335051,0.08713026753036512
30,116,7919,4765.54875,0,5,0,0,0.051653577088197615,0.08785155157159913
31,116,7925,4767.145151515151,0,6,0,0,0.05249177914849924,0.08940319577224903
32,116,7933,4768.788823529411,0,8,0,0,0.053639299730635956,0.09152743733729377
33,117,7940,4770.469999999999,1,7,0,0,0.0545845145261203,0.09327717898700293
34,117,7949,4772.207777777778,0,9,0,0,0.05570616762416938,0.09535353575961998
35,117,7959,4774.013783783783,0,10,0,0,0.05736429731936034,0.09842299531754883
36,117,7963,4775.787894736842,0,4,0,0,0.05742517182091155,0.09853568362001541
37,117,7972,4777.609487179487,0,9,0,0,0.058695044110682534,0.10088641749113014
38,117,7978,4779.429999999999,0,6,0,0,0.05911482143033788,0.10166349150998091
39,117,7988,4781.308048780487,0,10,0,0,0.060245707322017256,0.10375693963964748
40,118,7997,4783.234761904761,1,9,0,0,0.06148170912141112,0.1060449738915941
41,118,8006,4785.197441860465,0,9,0,0,0.06287726463606462,0.1086283672325958
42,118,8015,4787.193636363636,0,9,0,0,0.06270378112223171,0.10830722188960971
43,118,8025,4789.234444444444,0,10,0,0,0.06391257910311096,0.11054489758336031
44,118,8034,4791.303913043478,0,9,0,0,0.06442672306915513,0.11149665914658588
45,119,8046,4793.4470212765955,1,12,0,0,0.065899361155633,0.11422274448419209
46,119,8054,4795.600833333333,0,8,0,0,0.0660681017983832,0.11453511002483877
47,120,8062,4797.772857142857,1,8,0,0,0.06701983392536968,0.11629691628296154
48,120,8071,4799.965999999999,0,9,0,0,0.06801948422533798,0.11814742663611622
49,122,8078,4802.171176470588,2,7,0,0,0.0684060576443494,0.11886303499851829
50,122,8084,4804.360769230769,0,6,0,0,0.06790881282829575,0.11794255642697284
51,122,8091,4806.546981132075,0,7,0,0,0.06840605764434915,0.11886303499851783
52,122,8096,4808.707777777778,0,5,0,0,0.06857136505699116,0.11916904508880337
53,122,8106,4810.89909090909,0,10,0,0,0.0693946519475233,0.120693078958042
54,122,8115,4813.108571428571,0,9,0,0,0.06955866782667375,0.12099669821615586
55,123,8126,4815.363333333333,1,11,0,0,0.07048413887542251,0.12270989107700814
56,123,8138,4817.664482758621,0,12,0,0,0.07129526895432056,0.12421142077074565
57,124,8151,4820.0266101694915,1,13,0,0,0.07204782949214575,0.12560452900736133
58,125,8160,4822.406666666666,1,9,0,0,0.07263615376509325,0.12669361001712656
59,126,8169,4826.323333333333,1,9,0,0,0.07338123019482368,0.12807286398939208
60,126,8176,4830.3099999999995,0,7,0,0,0.07354035883691994,0.1283674362009864
61,127,8187,4834.383333333333,1,11,0,0,0.074122253378819,0.12944461476459268
62,127,8194,4838.509999999999,0,7,0,0,0.0740166374828625,0.12924910308522694
63,127,8198,4842.656666666666,0,4,0,0,0.07322191544892845,0.12777794727031672
64,127,8210,4846.8966666666665,0,12,0,0,0.07354035883692019,0.12836743620098684
65,127,8221,4851.216666666666,0,11,0,0,0.07464912621359066,0.13041993947121439
66,127,8228,4855.596666666666,0,7,0,0,0.07433324304488656,0.1298351899102001
67,128,8238,4860.046666666666,1,10,0,0,0.07506919228326966,0.13119754801189573
68,128,8253,4864.626666666666,0,15,0,0,0.075853445666454,0.13264932470332993
69,129,8265,4869.296666666666,1,12,0,0,0.076321923299338,0.13351655068215548
70,129,8271,4873.99,0,6,0,0,0.07585344566645423,0.13264932470333038
71,130,8288,4878.833333333333,1,17,0,0,0.07720267141444845,0.13514695433989965
72,131,8302,4883.8133333333335,1,14,0,0,0.07792399817929985,0.13648224393707922
73,131,8311,4888.783333333334,0,9,0,0,0.07792399817929985,0.13648224393707922
74,131,8318,4893.793333333333,0,7,0,0,0.07704763529737357,0.13485995803752365
