,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4736.27,0,0,0,0,0.015,0.02
1,110,7789,4736.47,0,1,0,0,0.016201474652077174,0.02222411905722657
2,110,7791,4736.87,0,2,0,0,0.017592384947456,0.024798913364785527
3,110,7792,4737.2300000000005,0,1,0,0,0.01817071061601957,0.025869485381025542
4,110,7792,4737.47,0,0,0,0,0.01817071061601957,0.025869485381025542
5,110,7793,4737.727142857143,0,1,0,0,0.018706752727659155,0.02686178386515286
6,111,7794,4738.045,1,1,0,0,0.01953367862518956,0.028392554110227848
7,111,7796,4738.425555555556,0,2,0,0,0.020447673591630453,0.030084502932914925
8,111,7801,4739.030000000001,0,5,0,0,0.022493391686713278,0.03387144974292112
9,111,7806,4739.797272727273,0,5,0,0,0.024320975219617753,0.03725459507784676
10,111,7808,4740.536666666667,0,2,0,0,0.025009304861783148,0.03852880179718725
11,111,7813,4741.393076923077,0,5,0,0,0.026648586850925304,0.041563371278878776
12,111,7819,4742.384285714286,0,6,0,0,0.02849386180760132,0.04497926622919724
13,111,7823,4743.403333333334,0,4,0,0,0.029665550808691196,0.047148247349157964
14,111,7825,4744.37,0,2,0,0,0.03023647996424874,0.048205127253371075
15,111,7829,4745.364117647059,0,4,0,0,0.031351844314938496,0.05026984256287133
16,111,7832,4746.347777777777,0,3,0,0,0.032167343355171296,0.051779459893038046
17,111,7839,4747.448947368421,0,7,0,0,0.03400911610022367,0.055188871697331665
18,111,7843,4748.5599999999995,0,4,0,0,0.035027708619372655,0.05707444708543577
19,111,7848,4749.708095238095,0,5,0,0,0.036270598306895566,0.059375231904550324
20,111,7849,4750.779090909091,0,1,0,0,0.03651542574886625,0.05982844610967536
21,111,7851,4751.809130434783,0,2,0,0,0.03700154056612375,0.06072832129821422
22,111,7855,4752.8533333333335,0,4,0,0,0.03796026842428364,0.06250307775798718
23,111,7865,4754.054,0,10,0,0,0.040285926964356386,0.06680823847913511
24,111,7874,4755.37,0,9,0,0,0.04230304457093981,0.07054224127454425
25,111,7878,4756.677407407407,0,4,0,0,0.043179155090136215,0.07216406001088846
26,112,7883,4758.012857142857,1,5,0,0,0.04440073748887432,0.07442540167823765
27,112,7892,4759.442413793103,0,9,0,0,0.04629757525073728,0.07793674751256942
28,113,7900,4760.95,1,8,0,0,0.048078667656898076,0.08123383044009948
29,113,7903,4762.4183870967745,0,3,0,0,0.04868563325095395,0.0823574194750297
30,114,7911,4763.9574999999995,1,8,0,0,0.050215986280305956,0.08519034427371915
31,114,7918,4765.530606060606,0,7,0,0,0.051198823472352745,0.08700973091263253
32,114,7930,4767.22294117647,0,12,0,0,0.053322025025217316,0.0909401118223713
33,114,7938,4768.955714285715,0,8,0,0,0.05483493708419763,0.0937407506344083
34,114,7949,4770.775555555556,0,11,0,0,0.05669217973842769,0.09717879968024186
35,114,7960,4772.675405405405,0,11,0,0,0.058394142417418964,0.10032940100378084
36,115,7967,4774.596315789474,1,7,0,0,0.05941361676133966,0.10221660878860385
37,115,7974,4776.526410256411,0,7,0,0,0.05977103817161279,0.10287825218547031
38,116,7978,4778.43,1,4,0,0,0.05971155305911049,0.10276813586124413
39,117,7987,4780.382195121952,1,9,0,0,0.06107129030589151,0.10528522393976333
40,118,7997,4782.39380952381,1,10,0,0,0.06206534389344272,0.10712537389561531
41,118,8007,4784.451395348838,0,10,0,0,0.06276163895995755,0.10841432587159842
42,118,8017,4786.551818181818,0,10,0,0,0.06379801051791992,0.11033281306435497
43,119,8023,4788.647777777777,1,6,0,0,0.06459759511764454,0.11181297025538509
44,119,8038,4790.848260869565,0,15,0,0,0.06646090452652655,0.11526224982082517
45,121,8047,4793.087021276596,2,9,0,0,0.06768717174229835,0.11753226382331369
46,121,8057,4795.3575,0,10,0,0,0.0681853059710947,0.11845438883810899
47,121,8064,4797.6210204081635,0,7,0,0,0.06868144863033612,0.11937282714358151
48,121,8076,4799.938,0,12,0,0,0.06983155921748288,0.12150186321635152
49,122,8087,4802.301372549019,1,11,0,0,0.07156453281681342,0.1247098706439556
50,122,8096,4804.677692307692,0,9,0,0,0.07268950999154711,0.1267923808067329
51,124,8106,4807.092641509434,2,10,0,0,0.07385806155499179,0.1289555540348289
52,124,8115,4809.518148148149,0,9,0,0,0.07369930231362148,0.1286616656422339
53,124,8127,4811.986363636363,0,12,0,0,0.07417503101093599,0.12954231448483539
54,124,8134,4814.441428571428,0,7,0,0,0.0746491262135909,0.13041993947121483
55,124,8141,4816.88403508772,0,7,0,0,0.07485931716873598,0.13080903607694563
56,125,8152,4819.363103448276,1,11,0,0,0.07527875360352182,0.13158547906414436
57,125,8159,4821.829322033898,0,7,0,0,0.07501675300238311,0.13110047463313956
