,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4741.602800000001,0,0,0,0,0.015,0.02
1,110,7791,4742.2028,0,3,0,0,0.017592384947456,0.024798913364785527
2,110,7792,4742.6528,0,1,0,0,0.01817071061601957,0.025869485381025542
3,110,7798,4743.6428,0,6,0,0,0.021021637571482323,0.031147000775497924
4,110,7800,4744.5028,0,2,0,0,0.02184134489187535,0.0326644082958999
5,111,7801,4745.259942857143,1,1,0,0,0.022493391686713278,0.03387144974292112
6,111,7804,4746.0528,0,3,0,0,0.023610110745691276,0.03593867283110454
7,111,7808,4746.936133333333,0,4,0,0,0.025009304861783148,0.03852880179718725
8,111,7812,4747.8828,0,4,0,0,0.026329009429792674,0.040971783074024375
9,111,7816,4748.875527272728,0,4,0,0,0.027585736946281744,0.04329818389682327
10,111,7818,4749.8028,0,2,0,0,0.02819414381723811,0.04442444096259009
11,111,7821,4750.725876923077,0,3,0,0,0.029084930102901953,0.046073426857078825
12,111,7822,4751.559942857143,0,1,0,0,0.029376496798931694,0.04661316279239065
13,111,7824,4752.3628,0,2,0,0,0.02995218335612923,0.04767884939729621
14,111,7825,4753.1028,0,1,0,0,0.03023647996424874,0.048205127253371075
15,111,7831,4753.967505882353,0,6,0,0,0.031897390525766234,0.05127973463342146
16,111,7839,4755.002799999999,0,8,0,0,0.03400911610022367,0.055188871697331665
17,111,7846,4756.1501684210525,0,7,0,0,0.035777275668383304,0.05846201390217341
18,111,7853,4757.3928,0,7,0,0,0.037483094856980426,0.06161975423317617
19,111,7859,4758.688514285714,0,6,0,0,0.03890213287760026,0.06424661739598467
20,111,7865,4760.030072727272,0,6,0,0,0.040285926964356386,0.06680823847913511
21,111,7868,4761.333234782608,0,3,0,0,0.040965727238431254,0.06806665599303255
22,111,7871,4762.6028,0,3,0,0,0.041637983128036904,0.06931110766150493
23,112,7875,4763.882799999999,1,4,0,0,0.0426695340798172,0.07122067115199411
24,112,7881,4765.2028,0,6,0,0,0.04397211759828447,0.0736319586660866
25,112,7888,4766.580577777778,0,7,0,0,0.04546079564155981,0.07638773649327521
26,112,7895,4768.009942857143,0,7,0,0,0.046918912569754515,0.07908694087686816
27,114,7900,4769.471765517241,2,5,0,0,0.048213958927052436,0.08148427591700277
28,114,7903,4770.896133333333,0,3,0,0,0.04881987734826485,0.0826059264698574
29,114,7910,4772.3640903225805,0,7,0,0,0.050215986280305956,0.08519034427371915
30,114,7918,4773.8903,0,8,0,0,0.051198823472352745,0.08700973091263253
31,114,7922,4775.396739393939,0,4,0,0,0.0517830624865594,0.08809124946421062
32,114,7926,4776.885152941177,0,4,0,0,0.05139401597584766,0.08737106301905714
33,114,7933,4778.408514285715,0,7,0,0,0.05236335109780286,0.08916545519691317
34,115,7939,4779.9583555555555,1,6,0,0,0.053322025025217316,0.0909401118223713
