,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4741.2728,0,0,0,0,0.015,0.02
1,109,7789,4741.339466666666,0,1,1,0,0.015556839114885725,0.02103079701688702
2,109,7792,4741.8228,0,3,0,0,0.017790806555652138,0.025166223053251786
3,109,7794,4742.3528,0,2,0,0,0.01887805284103499,0.027178887389563956
4,109,7797,4743.006133333333,0,3,0,0,0.02030014487141976,0.029811404006074002
5,109,7800,4743.729942857142,0,3,0,0,0.021573020343182515,0.03216769724066649
6,109,7806,4744.7228,0,6,0,0,0.023849771858737913,0.036382323346645276
7,109,7810,4745.761688888889,0,4,0,0,0.025234242804282443,0.03894519740215577
8,109,7810,4746.5928,0,0,0,0,0.025234242804282443,0.03894519740215577
9,109,7814,4747.490981818181,0,4,0,0,0.026542483145749862,0.04136695658771983
10,109,7817,4748.3894666666665,0,3,0,0,0.027483115317003825,0.04310821507728467
11,109,7826,4749.565107692308,0,9,0,0,0.03014196891702408,0.04803017240027667
12,110,7829,4750.729942857142,1,3,0,0,0.031168261045239502,0.04993000097901469
13,111,7835,4752.006133333332,1,6,0,0,0.03296656118363399,0.053258938132621364
14,111,7839,4753.2728,0,4,0,0,0.03400911610022367,0.055188871697331665
15,112,7845,4754.62574117647,1,6,0,0,0.03569456817337786,0.0583089092856931
16,113,7849,4755.9839111111105,1,4,0,0,0.036840018272922756,0.060429318060938944
17,114,7854,4757.378063157894,1,5,0,0,0.03819726526369974,0.06294179628287365
18,114,7857,4758.7228,0,3,0,0,0.03890213287760062,0.06424661739598532
19,114,7861,4760.053752380952,0,4,0,0,0.0398283486047601,0.0659611887740139
20,114,7863,4761.318254545454,0,2,0,0,0.04028592696435674,0.06680823847913575
21,114,7866,4762.551060869565,0,3,0,0,0.040965727238431254,0.06806665599303255
22,114,7872,4763.831133333333,0,6,0,0,0.04230304457094014,0.07054224127454488
23,114,7875,4765.0808,0,3,0,0,0.042961233772358026,0.07176065328482192
24,114,7883,4766.418953846153,0,8,0,0,0.04468500105667376,0.0749516183714695
25,114,7887,4767.746874074074,0,4,0,0,0.045530901072215434,0.07651751270125987
26,115,7892,4769.101371428571,1,5,0,0,0.046712380569763436,0.07870461757415584
27,115,7899,4770.50728275862,0,7,0,0,0.04814634287466065,0.08135910794076708
28,115,7900,4771.839466666666,0,1,0,0,0.04834901442820564,0.08173428494830344
29,115,7906,4773.201832258063,0,6,0,0,0.04955418889341363,0.08396525294310701
30,115,7915,4774.6478,0,9,0,0,0.051263937653350806,0.08713026753036567
31,116,7922,4776.145527272727,1,7,0,0,0.05217035338692597,0.08880818599775006
32,116,7927,4777.643388235294,0,5,0,0,0.052748071642772426,0.08987763359725985
33,116,7936,4779.209942857142,0,9,0,0,0.05389231759850678,0.0919958133124152
34,116,7945,4780.839466666666,0,9,0,0,0.05502231199300147,0.0940876111402011
35,116,7955,4782.54307027027,0,10,0,0,0.05576809161211226,0.0954681668269048
36,116,7964,4784.299115789473,0,9,0,0,0.05669217973842741,0.09717879968024135
37,116,7970,4786.057415384615,0,6,0,0,0.057789636654952604,0.09921036550504578
38,116,7978,4787.8478,0,8,0,0,0.058514610075435416,0.10055240563688785
39,116,7984,4789.638653658536,0,6,0,0,0.05905495833072226,0.10155267547199828
40,116,7993,4791.4728,0,9,0,0,0.05905495833072253,0.10155267547199878
41,117,7997,4793.286753488372,1,4,0,0,0.0592344433349218,0.10188493052010641
42,117,8009,4795.181890909091,0,12,0,0,0.0601864907195417,0.1036473203698257
43,118,8017,4797.108355555555,1,8,0,0,0.061012531250107624,0.10517645166102435
44,118,8024,4799.042365217391,0,7,0,0,0.06107129030589124,0.10528522393976283
45,118,8031,4800.9834382978715,0,7,0,0,0.06148170912141112,0.1060449738915941
46,118,8038,4802.931133333333,0,7,0,0,0.06171553785028898,0.10647782774425357
47,118,8048,4804.921779591836,0,10,0,0,0.06293503260895882,0.10873530486060917
48,119,8055,4806.924799999999,1,7,0,0,0.06356852665470267,0.10990800224323191
49,119,8064,4808.9551529411765,0,9,0,0,0.06476821524455376,0.11212881501761049
50,119,8076,4811.045876923076,0,12,0,0,0.06629271839348083,0.11495091076508936
51,119,8085,4813.15959245283,0,9,0,0,0.0667965724781002,0.1158836241350518
52,119,8100,4815.361688888888,0,15,0,0,0.06879143554006614,0.11957643025876422
53,119,8112,4817.614618181818,0,12,0,0,0.06944934742938888,0.12079432892062016
54,119,8124,4819.915657142857,0,12,0,0,0.07075507698037078,0.12321144023703619
55,120,8133,4822.237712280701,1,9,0,0,0.0714030405960065,0.12441092307542422
56,120,8144,4824.593489655172,0,11,0,0,0.07204782949214575,0.12560452900736133
57,120,8151,4826.9405966101685,0,7,0,0,0.0730092046551735,0.1273841860459328
58,120,8156,4829.259466666666,0,5,0,0,0.07284945197007836,0.1270884586323341
59,122,8166,4833.119466666666,2,10,0,0,0.0732219154489282,0.12777794727031627
60,123,8178,4837.106133333333,1,12,0,0,0.07401663748286273,0.1292491030852274
61,123,8190,4841.209466666666,0,12,0,0,0.07512161195212783,0.13129458508569447
62,124,8198,4845.369466666666,1,8,0,0,0.07506919228327015,0.13119754801189662
63,124,8211,4849.639466666666,0,13,0,0,0.07569694293017926,0.13235961345752467
64,124,8227,4854.039466666666,0,16,0,0,0.07663339101333347,0.13409312654017336
65,124,8240,4858.539466666666,0,13,0,0,0.07725431331991278,0.13524255165100077
66,124,8251,4863.089466666666,0,11,0,0,0.07802675522795369,0.1366724634392387
67,124,8264,4867.729466666667,0,13,0,0,0.07879516092896437,0.13809490357174148
68,124,8275,4872.479466666667,0,11,0,0,0.0795596202530604,0.13951003833821954
69,124,8287,4877.309466666667,0,12,0,0,0.08001643764806515,0.14035567937787538
70,125,8296,4882.206133333332,1,9,0,0,0.080774761006776,0.1417594555047649
71,125,8315,4887.202799999999,0,19,0,0,0.08183016722518358,0.1437131788558298
72,125,8331,4892.322799999999,0,16,0,0,0.08292822385341274,0.14574585484157465
73,126,8344,4897.5127999999995,1,13,0,0,0.08391989495472066,0.1475815944396649
74,126,8356,4902.7828,0,12,0,0,0.08465965073260448,0.14895099904627926
75,126,8369,4908.116133333332,0,13,0,0,0.08554293921237059,0.15058610531962438
76,127,8380,4913.519466666666,1,11,0,0,0.08578745572050524,0.1510387439371837
77,127,8392,4918.986133333333,0,12,0,0,0.08642151281950619,0.1522124836201805
78,128,8399,4924.499466666665,1,7,0,0,0.0862266761426236,0.15185181020493027
79,128,8411,4930.092799999999,0,12,0,0,0.0862266761426236,0.15185181020493027
80,129,8421,4935.7728,1,10,0,0,0.08647018639297342,0.15230258608063993
81,129,8430,4941.5127999999995,0,9,0,0,0.08559187154107187,0.15067668677682852
82,129,8442,4947.3128,0,12,0,0,0.08559187154107187,0.15067668677682852
83,129,8453,4953.1928,0,11,0,0,0.08544503088342312,0.1504048615622993
84,129,8464,4959.102799999999,0,11,0,0,0.08564078933757348,0.1507672413326393
85,129,8480,4965.1327999999985,0,16,0,0,0.08637282502577857,0.15212235483577655
86,129,8492,4971.226133333333,0,12,0,0,0.08710165693086008,0.15347153763110563
87,130,8498,4977.316133333332,1,6,0,0,0.08734389935554115,0.15391996656156248
88,130,8505,4983.466133333332,0,7,0,0,0.08671334158430449,0.15275270468611202
89,130,8521,4989.716133333332,0,16,0,0,0.08719859569540271,0.15365098657181406
90,131,8536,4996.032799999999,1,15,0,0,0.08773076608449752,0.15463611788692852
91,131,8545,5002.3628,0,9,0,0,0.08777906237838892,0.15472552194339492
92,131,8564,5008.832799999999,0,19,0,0,0.08864606380285088,0.15633047830885352
93,131,8570,5015.2728,0,6,0,0,0.08719859569540271,0.15365098657181406
94,131,8580,5021.7228,0,10,0,0,0.08676193021239026,0.1528426498992742
95,131,8591,5028.182799999999,0,11,0,0,0.08676193021239026,0.1528426498992742
96,131,8607,5034.712799999999,0,16,0,0,0.08719859569540271,0.15365098657181406
97,132,8616,5041.279466666666,1,9,0,0,0.08700466227768582,0.15329198523172624
