,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4743.9128,0,0,0,0,0.015,0.02
1,110,7790,4744.3128,0,2,0,0,0.016951801330622955,0.023613092068029626
2,110,7790,4744.5128,0,0,0,0,0.016951801330622955,0.023613092068029626
3,111,7793,4745.0728,1,3,0,0,0.019046168637155438,0.02749009624055875
4,111,7795,4745.646133333333,0,2,0,0,0.01999964559117679,0.029255132448687604
5,111,7796,4746.141371428572,0,1,0,0,0.020447673591630453,0.030084502932914925
6,111,7800,4746.8128,0,4,0,0,0.0221052318205086,0.03315290461657676
7,111,7803,4747.535022222222,0,3,0,0,0.023245143812130182,0.03526306148067996
8,112,7807,4748.3928,1,4,0,0,0.024896021245131912,0.03831909595759257
9,112,7810,4749.258254545454,0,3,0,0,0.02589678450792652,0.040171666580456414
10,112,7812,4750.079466666666,0,2,0,0,0.026542483145749862,0.04136695658771983
11,112,7815,4750.9128,0,3,0,0,0.027483115317003825,0.04310821507728467
12,112,7820,4751.841371428571,0,5,0,0,0.028987166172161512,0.045892450403607024
13,112,7823,4752.7661333333335,0,3,0,0,0.02985690283423175,0.0475024701252339
14,113,7829,4753.8252999999995,1,6,0,0,0.03171639141765245,0.05094467674018925
15,113,7830,4754.795152941176,0,1,0,0,0.031987578878922965,0.05144668749809403
16,113,7831,4755.690577777777,0,1,0,0,0.03225692344204924,0.051945286760903125
17,113,7836,4756.6496421052625,0,5,0,0,0.03357777145315798,0.0543903847312414
18,113,7839,4757.6028,0,3,0,0,0.03435119197901183,0.055822108095382114
19,113,7839,4758.46518095238,0,0,0,0,0.03435119197901183,0.055822108095382114
20,114,7845,4759.430981818182,1,6,0,0,0.036024557118010475,0.058919770862475115
21,115,7851,4760.486713043478,1,6,0,0,0.03764263094302193,0.0619150806877683
22,116,7855,4761.571133333333,1,4,0,0,0.03874627302737603,0.06395809623364396
23,116,7861,4762.712799999999,0,6,0,0,0.04013379800335751,0.06652662378112319
24,116,7868,4763.928184615384,0,7,0,0,0.04171222800454917,0.06944854663657352
25,116,7875,4765.209096296296,0,7,0,0,0.04325163504555528,0.07229823183868007
26,116,7881,4766.527085714285,0,6,0,0,0.044543015801660535,0.07468878127293054
27,116,7884,4767.816248275862,0,3,0,0,0.0451796787635724,0.07586734481912803
28,117,7888,4769.1128,1,4,0,0,0.04615878310548904,0.07767982136376864
29,118,7895,4770.47409032258,1,7,0,0,0.04773939615917648,0.0806057853936627
30,118,7906,4771.95655,0,11,0,0,0.04955418889341363,0.08396525294310701
31,118,7914,4773.494618181818,0,8,0,0,0.051133659055329406,0.08688910130009421
32,118,7922,4775.083388235294,0,8,0,0,0.0519769252468445,0.08845012000624927
33,118,7929,4776.701371428571,0,7,0,0,0.05293980251078399,0.09023255767049423
34,119,7936,4778.357244444444,1,7,0,0,0.054207601638706054,0.09257945379208264
35,120,7943,4780.047935135135,1,7,0,0,0.054897437278993065,0.09385644835144674
36,121,7950,4781.7706947368415,1,7,0,0,0.05576809161211226,0.0954681668269048
37,121,7963,4783.605107692308,0,13,0,0,0.05730338530653356,0.0983102375757955
38,121,7972,4785.4828,0,9,0,0,0.05839414241741841,0.10032940100377982
39,121,7980,4787.385970731707,0,8,0,0,0.05947327240097209,0.10232704078544054
40,122,7988,4789.322323809523,1,8,0,0,0.060482242572251994,0.10419480369016526
41,123,7993,4791.24768372093,1,5,0,0,0.060600312620038614,0.10441336996862638
42,123,8000,4793.180981818182,0,7,0,0,0.061306006285740317,0.10571972023389224
43,123,8009,4795.148355555555,0,9,0,0,0.06171553785028898,0.10647782774425357
44,124,8019,4797.16932173913,1,10,0,0,0.0633961084015371,0.10958882886573595
45,124,8028,4799.2191829787225,0,9,0,0,0.06476821524455428,0.11212881501761146
46,124,8037,4801.296133333333,0,9,0,0,0.0654482083012152,0.11338758940247809
47,124,8045,4803.3862693877545,0,8,0,0,0.06629271839348108,0.11495091076508984
48,125,8060,4805.5808,1,15,0,0,0.06890132615291975,0.11977985511324238
49,125,8067,4807.771623529412,0,7,0,0,0.06895623546195159,0.11988150090362648
50,125,8080,4810.028184615385,0,13,0,0,0.069995014910545,0.12180444548167282
51,125,8093,4812.346762264151,0,13,0,0,0.07134916581734371,0.12431119236390187
52,125,8103,4814.690577777777,0,10,0,0,0.071994216706075,0.12550528328544389
53,125,8111,4817.036436363635,0,8,0,0,0.07215499034778639,0.12580290065074726
54,125,8119,4819.384228571428,0,8,0,0,0.07231557040235921,0.12610015965572785
55,126,8128,4821.751396491228,1,9,0,0,0.0729027238497814,0.12718707328280296
56,127,8137,4824.1369379310345,1,9,0,0,0.0739637991518383,0.12915129100173456
57,127,8147,4826.543308474576,0,10,0,0,0.07480679912046018,0.1307118168873301
58,127,8158,4828.979466666667,0,11,0,0,0.07533109514080501,0.13168237150407627
59,127,8169,4832.9028,0,11,0,0,0.07533109514080501,0.13168237150407627
60,128,8173,4836.872799999999,1,4,0,0,0.07480679912046041,0.13071181688733055
61,130,8187,4840.976133333333,2,14,0,0,0.07595768504684872,0.13284228823531005
62,130,8195,4845.159466666666,0,8,0,0,0.07611390105932436,0.133131468710146
63,130,8206,4849.416133333333,0,11,0,0,0.07663339101333322,0.1340931265401729
64,130,8215,4853.742799999999,0,9,0,0,0.07684066180823519,0.1344768174687755
65,130,8223,4858.139466666666,0,8,0,0,0.0768924329807476,0.13457265407356842
66,130,8237,4862.636133333333,0,14,0,0,0.07704763529737357,0.13485995803752365
67,130,8247,4867.2028,0,10,0,0,0.07720267141444845,0.13514695433989965
