,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4734.3428,0,0,0,0,0.015,0.02
1,110,7789,4734.5428,0,1,0,0,0.016201474652077174,0.02222411905722657
2,110,7791,4734.9428,0,2,0,0,0.017592384947456,0.024798913364785527
3,110,7796,4735.7828,0,5,0,0,0.020150834592028103,0.029535007132231776
4,110,7797,4736.4428,0,1,0,0,0.02059350936299568,0.03035446794445968
5,110,7798,4736.999942857144,0,1,0,0,0.021021637571482323,0.031147000775497924
6,110,7800,4737.5678,0,2,0,0,0.02184134489187535,0.0326644082958999
7,111,7804,4738.3205777777775,1,4,0,0,0.023610110745691276,0.03593867283110454
8,111,7804,4738.9228,0,0,0,0,0.023610110745691276,0.03593867283110454
9,110,7809,4739.651890909091,0,5,1,0,0.025122041628724286,0.038737495331728655
10,110,7817,4740.659466666667,0,8,0,0,0.0276880012075501,0.04348749117181815
11,110,7818,4741.558184615385,0,1,0,0,0.02799270240312822,0.04405154113714484
12,110,7821,4742.457085714285,0,3,0,0,0.028889108503611437,0.045710930195126245
13,110,7827,4743.476133333333,0,6,0,0,0.030612046555786483,0.04890036024230897
14,110,7832,4744.5553,0,5,0,0,0.031987578878922965,0.05144668749809403
15,110,7837,4745.683976470587,0,5,0,0,0.033316895545296155,0.05390746228485964
16,111,7840,4746.809466666667,1,3,0,0,0.03426591746059347,0.05566425151373705
17,111,7847,4748.0375368421055,0,7,0,0,0.0360245571180101,0.05891977086247442
18,111,7850,4749.2328,0,3,0,0,0.03675906497113227,0.060279460732741166
19,111,7855,4750.457085714285,0,5,0,0,0.03796026842428364,0.06250307775798718
20,111,7859,4751.679163636363,0,4,0,0,0.03890213287760026,0.06424661739598467
21,111,7870,4753.081930434782,0,11,0,0,0.04141471389292126,0.06889780109706381
22,111,7878,4754.5678,0,8,0,0,0.043179155090136215,0.07216406001088846
23,112,7885,4756.1188,1,7,0,0,0.044826695851804654,0.07521391778295987
24,113,7888,4757.635107692307,1,3,0,0,0.045600937580469576,0.0766471613230101
25,113,7895,4759.194651851852,0,7,0,0,0.047056282840989,0.0793412349126356
26,113,7899,4760.7285142857145,0,4,0,0,0.0478752847538082,0.0808573366123735
27,113,7907,4762.322110344828,0,8,0,0,0.0494877111141148,0.08384219208987553
28,113,7913,4763.9294666666665,0,6,0,0,0.050676087256169025,0.08604206373937448
29,114,7925,4765.678283870968,1,12,0,0,0.05313111902069208,0.09058671470153358
30,115,7930,4767.42405,1,5,0,0,0.054018562194652744,0.09222951196904079
31,117,7936,4769.197345454546,2,6,0,0,0.055022311993001755,0.09408761114020163
32,117,7948,4771.078094117647,0,12,0,0,0.056323608180606874,0.09649651560185223
33,117,7955,4772.971371428571,0,7,0,0,0.05742517182091155,0.09853568362001541
34,117,7960,4774.8428,0,5,0,0,0.058152775858577345,0.09988259343911957
35,117,7965,4776.694151351351,0,5,0,0,0.058695044110682534,0.10088641749113014
36,117,7972,4778.558589473684,0,7,0,0,0.05911482143033815,0.10166349150998141
37,118,7981,4780.476133333334,1,9,0,0,0.0608360607193091,0.10484977687857319
38,118,7990,4782.4328000000005,0,9,0,0,0.06165712777449716,0.10636970148251512
39,119,7998,4784.420848780488,1,8,0,0,0.06177391664332994,0.10658589609668685
40,119,8007,4786.4428,0,9,0,0,0.0631658069564083,0.10916250457155942
41,119,8016,4788.496288372093,0,9,0,0,0.06419849899080671,0.11107418038592694
42,119,8029,4790.633709090909,0,13,0,0,0.06539169273802864,0.11328297018234242
43,120,8044,4792.885022222223,1,15,0,0,0.06718701083093873,0.11660638709947975
44,120,8051,4795.129756521739,0,7,0,0,0.06752067839094708,0.11722405837345118
45,121,8065,4797.466204255319,1,14,0,0,0.06933993288492797,0.12059178534381433
46,122,8074,4799.826133333333,1,9,0,0,0.06977702757757892,0.12140091655108269
47,122,8088,4802.261167346939,0,14,0,0,0.07156453281681342,0.1247098706439556
48,123,8095,4804.6908,1,7,0,0,0.07199421670607477,0.12550528328544341
49,123,8108,4807.178094117648,0,13,0,0,0.07343429370720886,0.12817109291909545
50,124,8118,4809.6928,1,10,0,0,0.07338123019482393,0.12807286398939252
51,124,8128,4812.225818867924,0,10,0,0,0.07369930231362148,0.1286616656422339
52,124,8142,4814.8205777777775,0,14,0,0,0.07470170367523163,0.13051726864433855
53,124,8150,4817.408254545455,0,8,0,0,0.07538341722387795,0.13177922793119698
54,124,8161,4820.021371428571,0,11,0,0,0.07600977609517226,0.13293871698067478
55,125,8170,4822.644554385965,1,9,0,0,0.0768924329807476,0.13457265407356842
56,125,8180,4825.280731034483,0,10,0,0,0.07720267141444845,0.13514695433989965
57,126,8194,4827.976698305085,1,14,0,0,0.07853946854421463,0.1376215766440977
58,126,8207,4830.712799999999,0,13,0,0,0.07859064225471595,0.13771630725248646
59,126,8216,4835.099466666667,0,9,0,0,0.07910141331230626,0.138661825030246
60,126,8227,4839.5961333333335,0,11,0,0,0.0796612546708804,0.13969817967366327
61,127,8242,4844.239466666667,1,15,0,0,0.08021902631764181,0.14073070295411533
62,128,8258,4849.029466666666,2,16,1,0,0.08167983418159964,0.14343488868417464
63,128,8274,4853.9294666666665,0,16,0,0,0.08332563210620589,0.14648152018999316
64,128,8288,4858.959466666667,0,14,0,0,0.08465965073260448,0.14895099904627926
65,128,8300,4864.099466666667,0,12,0,0,0.08539605484559562,0.15031419919260947
66,128,8315,4869.369466666667,0,15,0,0,0.0861779312872434,0.15176157579040858
67,128,8330,4874.742800000001,0,15,0,0,0.08705316659908087,0.1533817743799085
68,128,8343,4880.246133333333,0,13,0,0,0.08768245604207403,0.15454668837976096
69,128,8362,4885.896133333333,0,19,0,0,0.08912584448052248,0.15721862800610567
70,129,8380,4891.6528,1,18,0,0,0.09050975924119956,0.15978047247571445
71,130,8391,4897.5161333333335,1,11,0,0,0.09031952400418657,0.159428317051324
72,131,8407,4903.5161333333335,1,16,0,0,0.09046221970503301,0.15969246929713973
73,131,8418,4909.566133333333,0,11,0,0,0.09103185105525922,0.16074694675901668
74,131,8432,4915.706133333334,0,14,0,0,0.09093703979148185,0.16057143615773814
75,131,8444,4921.916133333333,0,12,0,0,0.09126865790931482,0.16118531359103966
76,131,8454,4928.189466666667,0,10,0,0,0.09069978929860727,0.16013224808029808
77,132,8467,4934.529466666666,1,13,0,0,0.09155241089636132,0.16171058511877762
78,132,8482,4940.989466666667,0,15,0,0,0.09183571383670044,0.16223502353908656
79,132,8488,4947.459466666667,0,6,0,0,0.0911739730327027,0.1610100369523356
80,132,8501,4954.019466666667,0,13,0,0,0.09159965922277064,0.16179804922216706
81,132,8510,4960.5594666666675,0,9,0,0,0.09088961513193528,0.1604836456339034
82,132,8522,4967.1394666666665,0,12,0,0,0.09145787672555832,0.16153558746029306
83,132,8536,4973.7828,0,14,0,0,0.091882887455473,0.1623223493468587
84,132,8549,4980.519466666667,0,13,0,0,0.09235394387484551,0.16319434906615699
85,133,8559,4987.2928,1,10,0,0,0.09244800757267023,0.16336847580496375
86,133,8579,4994.226133333334,0,20,0,0,0.09319876464416992,0.16475824554099877
87,133,8586,5001.149466666667,0,7,0,0,0.09235394387484551,0.16319434906615699
88,134,8602,5008.1794666666665,1,16,0,0,0.09343274274928907,0.16519137591263797
89,134,8617,5015.2328,0,15,0,0,0.09399307439177787,0.16622863814890054
90,135,8630,5022.366133333333,1,13,0,0,0.09371312225734661,0.16571040259875944
91,136,8637,5029.5028,1,7,0,0,0.09244800757267023,0.16336847580496375
92,137,8649,5036.646133333333,1,12,0,0,0.09197719750232919,0.1624969321165727
93,137,8670,5043.9294666666665,0,21,0,0,0.09296448611676045,0.16432455904032267
94,138,8680,5051.269466666667,1,10,0,0,0.09277684586325027,0.16397720733963278
95,138,8695,5058.709466666667,0,15,0,0,0.09277684586325027,0.16397720733963278
96,138,8709,5066.219466666666,0,14,0,0,0.09263598826951162,0.16371645771994867
97,139,8724,5073.789466666667,1,15,0,0,0.093011365936365,0.16441134097950177
98,139,8734,5081.369466666667,0,10,0,0,0.09174132933774588,0.16206030294679716
99,140,8747,5088.999466666666,1,13,0,0,0.091031851055259,0.16074694675901627
100,141,8759,5096.666133333333,1,12,0,0,0.0911739730327027,0.1610100369523356
