,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4724.4428,0,0,0,0,0.015,0.02
1,110,7790,4724.842799999999,0,2,0,0,0.016951801330622955,0.023613092068029626
2,110,7791,4725.1928,0,1,0,0,0.017592384947456,0.024798913364785527
3,110,7794,4725.7627999999995,0,3,0,0,0.019211341771698684,0.0277958577609074
4,110,7796,4726.342799999999,0,2,0,0,0.020150834592028103,0.029535007132231776
5,110,7802,4727.271371428571,0,6,0,0,0.022620864462644327,0.034107421954016594
6,110,7805,4728.1928,0,3,0,0,0.023730293769987504,0.036161150562307814
7,111,7807,4729.087244444444,1,2,0,0,0.024667766277954757,0.03789656001684038
8,111,7813,4730.1628,0,6,0,0,0.026648586850925304,0.041563371278878776
9,111,7816,4731.2064363636355,0,3,0,0,0.027585736946281744,0.04329818389682327
10,111,7823,4732.4261333333325,0,7,0,0,0.029665550808691196,0.047148247349157964
11,112,7829,4733.765876923077,1,6,0,0,0.031534548453407474,0.050608056736179505
12,112,7833,4735.085657142857,0,4,0,0,0.03261327413876018,0.05260494809811116
13,112,7840,4736.509466666666,0,7,0,0,0.03443630575258788,0.05597966711297411
14,112,7849,4738.092799999999,0,9,0,0,0.03667798238471476,0.060129364078310196
15,112,7853,4739.631035294116,0,4,0,0,0.03764263094302229,0.061915080687768964
16,112,7861,4741.265022222222,0,8,0,0,0.03952128012357772,0.06539275658970553
17,112,7864,4742.821747368421,0,3,0,0,0.04020991166364642,0.06666752216967524
18,112,7867,4744.3128,0,3,0,0,0.04089057312516775,0.06792753387734801
19,114,7869,4745.7570857142855,2,2,0,0,0.04163798312803724,0.06931110766150556
20,114,7875,4747.233709090909,0,6,0,0,0.042961233772358026,0.07176065328482192
21,114,7881,4748.738452173912,0,6,0,0,0.04425816347902677,0.0741614747016519
22,114,7885,4750.217799999999,0,4,0,0,0.045109224252543184,0.07573692240832083
23,114,7892,4751.746799999999,0,7,0,0,0.04657437184770398,0.07844914166522572
24,114,7900,4753.342799999999,0,8,0,0,0.048213958927052436,0.08148427591700277
25,114,7908,4754.9983555555555,0,8,0,0,0.04981955428544251,0.0844564861326874
26,114,7916,4756.707085714285,0,8,0,0,0.05139401597584766,0.08737106301905714
27,115,7924,4758.47728275862,1,8,0,0,0.05306739265138039,0.09046874714209406
28,115,7931,4760.269466666666,0,7,0,0,0.054396251262661156,0.09292867399664692
29,115,7936,4762.042799999999,0,5,0,0,0.05533377130356878,0.0946641714421482
30,115,7947,4763.91155,0,11,0,0,0.05699825904358138,0.09774540074372501
31,115,7954,4765.794315151515,0,7,0,0,0.05809234383248383,0.09977072422850493
32,115,7961,4767.689858823529,0,7,0,0,0.05881515622886889,0.10110876396394192
33,115,7971,4769.648514285714,0,10,0,0,0.060245707322016985,0.10375693963964698
34,115,7975,4771.565022222221,0,4,0,0,0.05988990692130437,0.10309829698711524
35,116,7981,4773.486043243242,1,6,0,0,0.06054129399477314,0.10430411718584207
36,116,7987,4775.400694736842,0,6,0,0,0.061130017261652625,0.10539393679629791
37,116,7997,4777.371005128205,0,10,0,0,0.06183226422609121,0.10669390667397043
38,117,8005,4779.372799999999,1,8,0,0,0.06281946677543876,0.10852137427767772
39,119,8018,4781.486702439024,2,13,0,0,0.06408421670963947,0.11086262586082071
40,120,8029,4783.666609523809,1,11,0,0,0.06493858505148456,0.11244419639807966
41,120,8039,4785.884660465115,0,10,0,0,0.06595563463993213,0.1143269155781306
42,120,8052,4788.179163636363,0,13,0,0,0.06696405712000725,0.11619366462006268
