,Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager
0,110,7788,4717.400000000001,0,0,0,0,0.015,0.02
1,110,7788,4717.400000000001,0,0,0,0,0.015,0.02
2,110,7789,4717.55,0,1,0,0,0.016201474652077174,0.02222411905722657
3,110,7791,4717.88,0,2,0,0,0.017592384947456,0.024798913364785527
4,110,7792,4718.2,0,1,0,0,0.01817071061601957,0.025869485381025542
5,110,7795,4718.685714285714,0,3,0,0,0.019691192354021687,0.028684136862693478
6,110,7797,4719.200000000001,0,2,0,0,0.02059350936299568,0.03035446794445968
7,110,7799,4719.733333333334,0,2,0,0,0.02143708868292111,0.03191606630068356
8,111,7803,4720.4400000000005,1,4,0,0,0.023245143812130182,0.03526306148067996
9,111,7806,4721.181818181818,0,3,0,0,0.024320975219617753,0.03725459507784676
10,111,7807,4721.85,0,1,0,0,0.024667766277954757,0.03789656001684038
11,111,7812,4722.6461538461535,0,5,0,0,0.026329009429792674,0.040971783074024375
12,112,7813,4723.400000000001,1,1,0,0,0.0268595633247872,0.04195392200363311
13,112,7816,4724.173333333334,0,3,0,0,0.027789913431828683,0.04367614677082765
14,112,7818,4724.925,0,2,0,0,0.028394275639409508,0.04479491652683053
15,112,7820,4725.658823529411,0,2,0,0,0.028987166172161512,0.045892450403607024
16,112,7823,4726.4111111111115,0,3,0,0,0.02985690283423175,0.0475024701252339
17,112,7828,4727.242105263158,0,5,0,0,0.03126016371968739,0.050100127322750904
18,112,7832,4728.110000000001,0,4,0,0,0.03234630468100058,0.05211074552989714
19,112,7835,4728.980952380953,0,3,0,0,0.03314209079202139,0.0535838711193032
20,112,7842,4729.963636363637,0,7,0,0,0.034943684540971805,0.05691890526546135
21,112,7848,4731.017391304348,0,6,0,0,0.0364339498668413,0.059677621403051065
22,112,7850,4732.033333333334,0,2,0,0,0.03692084317864884,0.06057893770777306
23,112,7853,4733.040000000001,0,3,0,0,0.03764263094302229,0.061915080687768964
24,112,7862,4734.176923076923,0,9,0,0,0.03975173472598996,0.06581936440216708
25,112,7867,4735.340740740741,0,5,0,0,0.04089057312516775,0.06792753387734801
26,112,7875,4736.592857142858,0,8,0,0,0.0426695340798172,0.07122067115199411
27,112,7882,4737.9034482758625,0,7,0,0,0.04418676475137558,0.07402930439697157
28,114,7887,4739.253333333333,2,5,0,0,0.045530901072215434,0.07651751270125987
29,114,7896,4740.690322580646,0,9,0,0,0.04739861112115431,0.07997493854543965
30,114,7903,4742.168750000001,0,7,0,0,0.04881987734826485,0.0826059264698574
31,114,7911,4743.703030303031,0,8,0,0,0.050215986280305956,0.08519034427371915
32,114,7919,4745.288235294118,0,8,0,0,0.05139401597584796,0.08737106301905767
33,114,7922,4746.834285714286,0,3,0,0,0.0517830624865594,0.08809124946421062
34,115,7932,4748.472222222223,1,10,0,0,0.05325843506686826,0.09082239678113603
35,116,7938,4750.129729729731,1,6,0,0,0.05414463197645449,0.09246288701674645
36,116,7942,4751.763157894737,0,4,0,0,0.05452180282258927,0.0931610897339393
37,117,7950,4753.446153846155,1,8,0,0,0.0552715621028586,0.09454901240105221
38,117,7953,4755.09,0,3,0,0,0.05527156210285888,0.09454901240105273
39,117,7956,4756.69756097561,0,3,0,0,0.0556442032378084,0.09523882990849235
40,117,7961,4758.3,0,5,0,0,0.0556442032378084,0.09523882990849235
41,117,7970,4759.953488372093,0,9,0,0,0.05699825904358138,0.09774540074372501
42,117,7976,4761.613636363636,0,6,0,0,0.05754680868930415,0.09876085264591675
43,117,7976,4763.2,0,0,0,0,0.05718144834509633,0.09808451303034299
44,117,7984,4764.821739130435,0,8,0,0,0.05827353125969044,0.10010613073007643
45,118,7991,4766.472340425532,1,7,0,0,0.05911482143033761,0.1016634915099804
46,118,7997,4768.129166666667,0,6,0,0,0.05929420231443074,0.10199555381535151
47,118,8005,4769.816326530612,0,8,0,0,0.06000864092427866,0.10331809235133649
48,119,8009,4771.492,1,4,0,0,0.0603048907282068,0.10386649745790871
49,119,8015,4773.172549019609,0,6,0,0,0.06012724083994321,0.10353763949880145
50,119,8019,4774.834615384616,0,4,0,0,0.05977103817161252,0.10287825218546981
51,119,8035,4776.615094339622,0,16,0,0,0.06223982944341409,0.10744837416551785
52,119,8043,4778.418518518519,0,8,0,0,0.06310815786850335,0.10905578701840964
53,120,8051,4780.25090909091,1,8,0,0,0.06305047915871627,0.10894901463048462
54,120,8058,4782.092857142858,0,7,0,0,0.0633961084015371,0.10958882886573595
55,120,8065,4783.943859649124,0,7,0,0,0.06322342648824102,0.10926916741175839
56,120,8079,4785.875862068966,0,14,0,0,0.06442672306915513,0.11149665914658588
57,121,8093,4787.891525423729,1,14,0,0,0.06584306099510194,0.11411852400834137
58,122,8099,4789.906666666667,1,6,0,0,0.06544820830121495,0.11338758940247763
59,122,8109,4793.196666666668,0,10,0,0,0.06595563463993213,0.1143269155781306
60,122,8124,4796.636666666667,0,15,0,0,0.06713131073001169,0.11650327742858733
61,122,8137,4800.206666666667,0,13,0,0,0.06796416091541116,0.1180450144647863
62,122,8148,4803.876666666667,0,11,0,0,0.0692851901974855,0.12049044799626887
63,122,8162,4807.666666666667,0,14,0,0,0.06983155921748313,0.121501863216352
64,122,8172,4811.546666666667,0,10,0,0,0.07037560482452013,0.12250897743263565
65,122,8179,4815.466666666666,0,7,0,0,0.07086329427311051,0.12341176751209586
66,122,8191,4819.486666666667,0,12,0,0,0.07140304059600625,0.12441092307542377
67,122,8201,4823.586666666667,0,10,0,0,0.07252937774377036,0.12649595076275233
68,122,8211,4827.740000000001,0,10,0,0,0.07364634167107188,0.1285636271408191
69,122,8217,4831.923333333334,0,6,0,0,0.07380516222138925,0.12885762902594364
70,122,8231,4836.236666666667,0,14,0,0,0.07459652888265081,0.1303225735168846
71,123,8241,4840.6066666666675,1,10,0,0,0.07533109514080477,0.13168237150407583
72,123,8252,4845.070000000001,0,11,0,0,0.07704763529737357,0.13485995803752365
73,123,8263,4849.613333333334,0,11,0,0,0.07751224811763016,0.13572002963868307
74,123,8271,4854.216666666666,0,8,0,0,0.07756378032779376,0.13581542388648324
75,124,8280,4858.896666666667,1,9,0,0,0.07812944052717109,0.13686255012187623
76,125,8291,4863.663333333334,1,11,0,0,0.07869293677283885,0.1379056705376907
77,127,8309,4868.573333333334,2,18,0,0,0.08092597569982063,0.14203937774861067
78,127,8320,4873.553333333333,0,11,0,0,0.08167983418159964,0.14343488868417464
79,127,8328,4878.583333333333,0,8,0,0,0.0822803000146784,0.14454644563650398
80,128,8340,4883.67,1,12,0,0,0.08178007232842446,0.14362044530181003
81,129,8355,4888.8533333333335,1,15,0,0,0.08292822385341274,0.14574585484157465
82,129,8366,4894.126666666667,0,11,0,0,0.08327601033449568,0.14638966246505217
83,129,8383,4899.54,0,17,0,0,0.08475803016152121,0.14913311488394135
84,129,8392,4904.953333333334,0,9,0,0,0.08505281251337514,0.14967880350530252
85,131,8400,4910.410000000001,2,8,0,0,0.08436415432751551,0.14840398859977164
86,131,8413,4915.916666666667,0,13,0,0,0.0841174946303952,0.14794738260141244
87,131,8427,4921.493333333334,0,14,0,0,0.08520000443148085,0.1499512789583324
88,132,8442,4927.163333333333,1,15,0,0,0.08603161078355133,0.1514907134628831
89,133,8456,4932.89,1,14,0,0,0.08598280857558639,0.15140037287968233
