Strategie,Netzwerkeffekte,Standardabweichung,Summe Cluster-Effekte,Anzahl Cluster
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",9402.168355555556,471.81437811134276,49.676,2
"Monetarisierung, Community & Nutzerbindung",9390.592222222222,242.8765802792605,56.10000000000001,2
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9369.061688888889,71.62131156555455,81.57600000000001,3
Alle Cluster,9305.417244444443,405.8981852951863,114.57600000000001,4
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9258.756133333334,391.82836323233914,58.476,2
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9210.287244444442,359.90488703935995,57.376000000000005,2
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9197.923333333332,369.2235991163686,89.10000000000001,3
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9172.919466666666,222.66178031065698,82.676,3
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9132.706666666665,62.68758152758511,57.2,2
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9069.388355555557,224.38096305498317,90.376,3
"Monetarisierung, Nachhaltigkeit & Lokalität",8999.133333333331,506.86915150208483,64.9,2
