Strategie,Netzwerkeffekte,Standardabweichung,Cluster-Effekt
Freemium Modell,9298.681111111111,102.39295192396744,25.0
Treuepunkte,9297.181111111111,102.39295192396744,20.0
Personalisierte Empfehlungen,9296.431111111111,102.39295192396744,17.5
Affiliate-Marketing,9295.98111111111,102.39295192396543,16.0
Regionale Kooperationen,9294.181111111111,102.39295192396744,10.0
Nachhaltige Werte,9294.181111111111,102.39295192396744,10.0
SEM,9292.729111111112,102.39295192396568,5.16
CO2-Transparenz,9292.681111111111,102.39295192396744,5.0
Nachhaltige Produktfilter,9292.681111111111,102.39295192396744,5.0
Reduzierte Gebühren,9292.381111111112,102.39295192396568,4.0
Social-Media-Marketing,9291.78111111111,102.39295192396744,2.0
Eigenes Forum,9291.78111111111,102.39295192396744,2.0
