Strategie,Netzwerkeffekte_mean,Netzwerkeffekte_std,Netzwerkeffekte_min,Netzwerkeffekte_max,Kategorie_first,Cluster-Effekt_first
Freemium Modell,9213.276666666667,136.23778950080677,9016.505555555554,9310.602222222222,Einzelmaßnahme,25.0
Treuepunkte,9211.776666666667,136.23778950080677,9015.005555555554,9309.102222222222,Einzelmaßnahme,20.0
Personalisierte Empfehlungen,9211.026666666667,136.23778950080677,9014.255555555554,9308.352222222222,Einzelmaßnahme,17.5
Affiliate-Marketing,9210.576666666666,136.23778950080467,9013.805555555557,9307.90222222222,Einzelmaßnahme,16.0
Regionale Kooperationen,9208.776666666667,136.23778950080677,9012.005555555554,9306.102222222222,Einzelmaßnahme,10.0
Nachhaltige Werte,9208.776666666667,136.23778950080677,9012.005555555554,9306.102222222222,Einzelmaßnahme,10.0
SEM,9207.324666666667,136.2377895008061,9010.553555555556,9304.650222222224,Einzelmaßnahme,5.16
CO2-Transparenz,9207.276666666667,136.23778950080677,9010.505555555554,9304.602222222222,Einzelmaßnahme,5.0
Nachhaltige Produktfilter,9207.276666666667,136.23778950080677,9010.505555555554,9304.602222222222,Einzelmaßnahme,5.0
Reduzierte Gebühren,9206.976666666667,136.23778950080634,9010.205555555556,9304.302222222224,Einzelmaßnahme,4.0
Eigenes Forum,9206.376666666667,136.2377895008054,9009.605555555556,9303.702222222222,Einzelmaßnahme,2.0
Social-Media-Marketing,9206.376666666667,136.2377895008054,9009.605555555556,9303.702222222222,Einzelmaßnahme,2.0
