Strategie,Netzwerkeffekte_mean,Netzwerkeffekte_std,Netzwerkeffekte_min,Netzwerkeffekte_max,Kategorie_first,Summe Cluster-Effekte_first,Anzahl Cluster_first
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9283.057799999999,143.9131583865425,9187.791688888889,9493.371688888888,Kombination,58.476,2
Alle Cluster,9267.77502222222,136.27132077227682,9067.18502222222,9369.001688888888,Kombination,114.576,4
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9231.774466666666,147.68528756016246,9029.475022222225,9369.061688888887,Kombination,81.57600000000001,3
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9221.947244444444,29.11136663727242,9187.896133333334,9254.858355555554,Kombination,57.376000000000005,2
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9210.558888888889,123.8968522768656,9064.833333333332,9367.574444444444,Kombination,89.10000000000001,3
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",9198.5978,207.19925817252093,8912.299466666665,9402.168355555556,Kombination,49.676,2
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9197.869444444443,89.86916312199045,9129.024444444443,9320.839999999998,Kombination,57.2,2
"Monetarisierung, Community & Nutzerbindung",9183.82138888889,183.07751305925768,8945.996666666668,9390.592222222222,Kombination,56.10000000000001,2
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9141.686966666668,139.18433220731333,9054.562800000002,9349.0528,Kombination,90.376,3
"Monetarisierung, Nachhaltigkeit & Lokalität",9136.166388888887,130.1100172531271,8999.133333333331,9264.12111111111,Kombination,64.9,2
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9124.225577777777,49.95095044758727,9070.660577777777,9172.919466666666,Kombination,82.676,3
