Strategie,Netzwerkeffekte,Standardabweichung,Cluster-Effekt,Iteration,Kategorie
Freemium Modell,9227.317777777776,219.5559928667484,25.0,1,Einzelmaßnahme
Treuepunkte,9225.817777777776,219.5559928667484,20.0,1,Einzelmaßnahme
Personalisierte Empfehlungen,9225.067777777776,219.5559928667484,17.5,1,Einzelmaßnahme
Affiliate-Marketing,9224.617777777776,219.5559928667485,16.0,1,Einzelmaßnahme
Regionale Kooperationen,9222.817777777776,219.5559928667484,10.0,1,Einzelmaßnahme
Nachhaltige Werte,9222.817777777776,219.5559928667484,10.0,1,Einzelmaßnahme
SEM,9221.365777777775,219.5559928667485,5.16,1,Einzelmaßnahme
CO2-Transparenz,9221.317777777776,219.5559928667484,5.0,1,Einzelmaßnahme
Nachhaltige Produktfilter,9221.317777777776,219.5559928667484,5.0,1,Einzelmaßnahme
Reduzierte Gebühren,9221.017777777775,219.5559928667485,4.0,1,Einzelmaßnahme
Social-Media-Marketing,9220.41777777778,219.5559928667484,2.0,1,Einzelmaßnahme
Eigenes Forum,9220.41777777778,219.5559928667484,2.0,1,Einzelmaßnahme
Freemium Modell,9016.505555555554,127.92644094397608,25.0,2,Einzelmaßnahme
Treuepunkte,9015.005555555554,127.92644094397608,20.0,2,Einzelmaßnahme
Personalisierte Empfehlungen,9014.255555555554,127.92644094397608,17.5,2,Einzelmaßnahme
Affiliate-Marketing,9013.805555555557,127.92644094397556,16.0,2,Einzelmaßnahme
Regionale Kooperationen,9012.005555555554,127.92644094397608,10.0,2,Einzelmaßnahme
Nachhaltige Werte,9012.005555555554,127.92644094397608,10.0,2,Einzelmaßnahme
SEM,9010.553555555556,127.92644094397768,5.16,2,Einzelmaßnahme
CO2-Transparenz,9010.505555555554,127.92644094397608,5.0,2,Einzelmaßnahme
Nachhaltige Produktfilter,9010.505555555554,127.92644094397608,5.0,2,Einzelmaßnahme
Reduzierte Gebühren,9010.205555555556,127.92644094397713,4.0,2,Einzelmaßnahme
Social-Media-Marketing,9009.605555555556,127.92644094397662,2.0,2,Einzelmaßnahme
Eigenes Forum,9009.605555555556,127.92644094397662,2.0,2,Einzelmaßnahme
Freemium Modell,9310.602222222222,94.01986021482288,25.0,3,Einzelmaßnahme
Treuepunkte,9309.102222222222,94.01986021482288,20.0,3,Einzelmaßnahme
Personalisierte Empfehlungen,9308.352222222222,94.01986021482288,17.5,3,Einzelmaßnahme
Affiliate-Marketing,9307.90222222222,94.01986021482236,16.0,3,Einzelmaßnahme
Regionale Kooperationen,9306.102222222222,94.01986021482288,10.0,3,Einzelmaßnahme
Nachhaltige Werte,9306.102222222222,94.01986021482288,10.0,3,Einzelmaßnahme
SEM,9304.650222222224,94.01986021482288,5.16,3,Einzelmaßnahme
CO2-Transparenz,9304.602222222222,94.01986021482288,5.0,3,Einzelmaßnahme
Nachhaltige Produktfilter,9304.602222222222,94.01986021482288,5.0,3,Einzelmaßnahme
Reduzierte Gebühren,9304.302222222224,94.01986021482288,4.0,3,Einzelmaßnahme
Social-Media-Marketing,9303.702222222222,94.0198602148234,2.0,3,Einzelmaßnahme
Eigenes Forum,9303.702222222222,94.0198602148234,2.0,3,Einzelmaßnahme
Freemium Modell,9298.681111111113,102.39295192396744,25.0,4,Einzelmaßnahme
Treuepunkte,9297.181111111113,102.39295192396744,20.0,4,Einzelmaßnahme
Personalisierte Empfehlungen,9296.431111111113,102.39295192396744,17.5,4,Einzelmaßnahme
Affiliate-Marketing,9295.98111111111,102.39295192396544,16.0,4,Einzelmaßnahme
Regionale Kooperationen,9294.181111111113,102.39295192396744,10.0,4,Einzelmaßnahme
Nachhaltige Werte,9294.181111111113,102.39295192396744,10.0,4,Einzelmaßnahme
SEM,9292.729111111112,102.39295192396568,5.16,4,Einzelmaßnahme
CO2-Transparenz,9292.681111111113,102.39295192396744,5.0,4,Einzelmaßnahme
Nachhaltige Produktfilter,9292.681111111113,102.39295192396744,5.0,4,Einzelmaßnahme
Reduzierte Gebühren,9292.381111111112,102.39295192396568,4.0,4,Einzelmaßnahme
Social-Media-Marketing,9291.78111111111,102.39295192396744,2.0,4,Einzelmaßnahme
Eigenes Forum,9291.78111111111,102.39295192396744,2.0,4,Einzelmaßnahme
