Strategie,Netzwerkeffekte,Standardabweichung,Cluster-Effekt,Kategorie,Summe Cluster-Effekte,Anzahl Cluster,Iteration
Nachhaltigkeit & Lokalität,9423.702222222222,248.92934210184904,33.0,Cluster,,,1
Monetarisierung,9423.372222222222,248.9293421018476,31.9,Cluster,,,1
Sichtbarkeit & Nutzergewinnung,9421.44502222222,248.92934210184865,25.476000000000003,Cluster,,,1
Community & Nutzerbindung,9421.062222222225,248.92934210184836,24.200000000000003,Cluster,,,1
Alle Cluster,9369.001688888888,260.667222981788,,Kombination,114.576,4.0,1
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9367.574444444444,187.2320667672244,,Kombination,89.10000000000001,3.0,1
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9306.391688888889,198.94151249197057,,Kombination,81.57600000000001,3.0,1
"Monetarisierung, Nachhaltigkeit & Lokalität",9264.12111111111,336.1111223379253,,Kombination,64.9,2.0,1
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9254.858355555554,244.4993292500076,,Kombination,57.376000000000005,2.0,1
Freemium Modell,9227.317777777776,219.5559928667484,25.0,Einzelmaßnahme,,,1
Treuepunkte,9225.817777777776,219.5559928667484,20.0,Einzelmaßnahme,,,1
Personalisierte Empfehlungen,9225.067777777776,219.5559928667484,17.5,Einzelmaßnahme,,,1
Affiliate-Marketing,9224.617777777776,219.5559928667485,16.0,Einzelmaßnahme,,,1
Regionale Kooperationen,9222.817777777776,219.5559928667484,10.0,Einzelmaßnahme,,,1
Nachhaltige Werte,9222.817777777776,219.5559928667484,10.0,Einzelmaßnahme,,,1
SEM,9221.365777777775,219.5559928667485,5.16,Einzelmaßnahme,,,1
CO2-Transparenz,9221.317777777776,219.5559928667484,5.0,Einzelmaßnahme,,,1
Nachhaltige Produktfilter,9221.317777777776,219.5559928667484,5.0,Einzelmaßnahme,,,1
Reduzierte Gebühren,9221.017777777775,219.5559928667485,4.0,Einzelmaßnahme,,,1
Social-Media-Marketing,9220.41777777778,219.5559928667484,2.0,Einzelmaßnahme,,,1
Eigenes Forum,9220.41777777778,219.5559928667484,2.0,Einzelmaßnahme,,,1
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",9208.617244444444,223.93434033546785,,Kombination,49.676,2.0,1
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9187.791688888889,94.80167663386892,,Kombination,58.476,2.0,1
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9160.076133333334,84.19850242795985,,Kombination,82.676,3.0,1
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9129.024444444443,244.8845921910824,,Kombination,57.2,2.0,1
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9093.74391111111,335.68718435030723,,Kombination,90.376,3.0,1
"Monetarisierung, Community & Nutzerbindung",8945.996666666668,163.96780673182258,,Kombination,56.10000000000001,2.0,1
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9349.0528,245.3032360841034,,Kombination,90.376,3.0,2
Alle Cluster,9329.496133333332,223.15814708657027,,Kombination,114.576,4.0,2
Nachhaltigkeit & Lokalität,9322.095555555554,208.36317323188212,33.0,Cluster,,,2
Monetarisierung,9321.765555555556,208.363173231882,31.9,Cluster,,,2
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9320.839999999998,191.89786088206148,,Kombination,57.2,2.0,2
Sichtbarkeit & Nutzergewinnung,9319.838355555554,208.36317323188212,25.476000000000003,Cluster,,,2
Community & Nutzerbindung,9319.455555555554,208.3631732318813,24.200000000000003,Cluster,,,2
"Monetarisierung, Nachhaltigkeit & Lokalität",9229.006666666666,322.1221862896122,,Kombination,64.9,2.0,2
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9222.169466666664,210.57219580097572,,Kombination,81.57600000000001,3.0,2
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9192.311688888887,147.6630395466247,,Kombination,58.476,2.0,2
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9187.896133333334,262.8137331098038,,Kombination,57.376000000000005,2.0,2
"Monetarisierung, Community & Nutzerbindung",9179.916666666666,308.6448401930242,,Kombination,56.10000000000001,2.0,2
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9070.660577777777,414.6865740308954,,Kombination,82.676,3.0,2
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9064.833333333332,234.4942120347061,,Kombination,89.10000000000001,3.0,2
Freemium Modell,9016.505555555554,127.92644094397608,25.0,Einzelmaßnahme,,,2
Treuepunkte,9015.005555555554,127.92644094397608,20.0,Einzelmaßnahme,,,2
Personalisierte Empfehlungen,9014.255555555554,127.92644094397608,17.5,Einzelmaßnahme,,,2
Affiliate-Marketing,9013.805555555557,127.92644094397556,16.0,Einzelmaßnahme,,,2
Regionale Kooperationen,9012.005555555554,127.92644094397608,10.0,Einzelmaßnahme,,,2
Nachhaltige Werte,9012.005555555554,127.92644094397608,10.0,Einzelmaßnahme,,,2
SEM,9010.553555555556,127.92644094397768,5.16,Einzelmaßnahme,,,2
Nachhaltige Produktfilter,9010.505555555554,127.92644094397608,5.0,Einzelmaßnahme,,,2
CO2-Transparenz,9010.505555555554,127.92644094397608,5.0,Einzelmaßnahme,,,2
Reduzierte Gebühren,9010.205555555556,127.92644094397713,4.0,Einzelmaßnahme,,,2
Social-Media-Marketing,9009.605555555556,127.92644094397662,2.0,Einzelmaßnahme,,,2
Eigenes Forum,9009.605555555556,127.92644094397662,2.0,Einzelmaßnahme,,,2
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",8912.299466666665,304.7492222759197,,Kombination,49.676,2.0,2
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9493.371688888888,165.4633703114223,,Kombination,58.476,2.0,3
Nachhaltigkeit & Lokalität,9436.27,86.69570353316851,33.0,Cluster,,,3
Monetarisierung,9435.94,86.69570353316918,31.9,Cluster,,,3
Sichtbarkeit & Nutzergewinnung,9434.0128,86.69570353316954,25.476000000000003,Cluster,,,3
Community & Nutzerbindung,9433.63,86.69570353316851,24.200000000000003,Cluster,,,3
Freemium Modell,9310.602222222222,94.01986021482288,25.0,Einzelmaßnahme,,,3
Treuepunkte,9309.102222222222,94.01986021482288,20.0,Einzelmaßnahme,,,3
Personalisierte Empfehlungen,9308.352222222222,94.01986021482288,17.5,Einzelmaßnahme,,,3
Affiliate-Marketing,9307.90222222222,94.01986021482236,16.0,Einzelmaßnahme,,,3
Nachhaltige Werte,9306.102222222222,94.01986021482288,10.0,Einzelmaßnahme,,,3
Regionale Kooperationen,9306.102222222222,94.01986021482288,10.0,Einzelmaßnahme,,,3
SEM,9304.650222222224,94.01986021482288,5.16,Einzelmaßnahme,,,3
CO2-Transparenz,9304.602222222222,94.01986021482288,5.0,Einzelmaßnahme,,,3
Nachhaltige Produktfilter,9304.602222222222,94.01986021482288,5.0,Einzelmaßnahme,,,3
Reduzierte Gebühren,9304.302222222224,94.01986021482288,4.0,Einzelmaßnahme,,,3
Social-Media-Marketing,9303.702222222222,94.0198602148234,2.0,Einzelmaßnahme,,,3
