Strategie,Netzwerkeffekte,Standardabweichung,Summe Cluster-Effekte,Anzahl Cluster,Iteration,Kategorie
Alle Cluster,9369.001688888888,260.667222981788,114.576,4,1,Kombination
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9367.574444444444,187.2320667672244,89.10000000000001,3,1,Kombination
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9306.391688888889,198.94151249197057,81.57600000000001,3,1,Kombination
"Monetarisierung, Nachhaltigkeit & Lokalität",9264.12111111111,336.1111223379253,64.9,2,1,Kombination
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9254.858355555554,244.4993292500076,57.376000000000005,2,1,Kombination
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",9208.617244444444,223.93434033546785,49.676,2,1,Kombination
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9187.791688888889,94.80167663386892,58.476,2,1,Kombination
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9160.076133333334,84.19850242795985,82.676,3,1,Kombination
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9129.024444444443,244.8845921910824,57.2,2,1,Kombination
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9093.74391111111,335.68718435030723,90.376,3,1,Kombination
"Monetarisierung, Community & Nutzerbindung",8945.996666666668,163.96780673182258,56.10000000000001,2,1,Kombination
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9349.0528,245.3032360841034,90.376,3,2,Kombination
Alle Cluster,9329.496133333332,223.15814708657027,114.576,4,2,Kombination
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9320.839999999998,191.89786088206148,57.2,2,2,Kombination
"Monetarisierung, Nachhaltigkeit & Lokalität",9229.006666666666,322.1221862896122,64.9,2,2,Kombination
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9222.169466666664,210.57219580097572,81.57600000000001,3,2,Kombination
